reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
368,Iraq,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",49387199.000,Tons,34765871.000,Tons,61012802.000,Tons,49204962.000,Tons,66113509.000,Tons,73648027.000,Tons,82761703.000,Tons,83169542.000,Tons,88852675.000,Tons,101244547.000,Tons,113955872.000,Tons,115635479.000,Tons,117738879.000,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed
368,Iraq,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",536836.000,Tons,0,,1306511.000,Tons,1170434.000,Tons,1045842.000,Tons,1412108.000,Tons,1860080.000,Tons,7162811.000,Tons,11237565.000,Tons,13773637.000,Tons,15683601.000,Tons,23512941.000,Tons,28577809.000,Tons,32112551.000,Tons,36211801.000,Tons,36818551.000,Tons,45044468.000,Tons,51798043.000,Tons,60114056.000,Tons,54079431.000,Tons,55486666.000,Tons,59257789.000,Tons,63835228.000,Tons,64630657.000,Tons
368,Iraq,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,10041286.000,Tons,11620220.000,Tons,14135285.000,Tons,12799414.000,Tons,12777238.000,Tons,22849841.000,Tons,24240221.000,Tons,26669942.000,Tons,22794198.000,Tons,32345298.000,Tons,37999619.000,Tons,42171183.000,Tons,47837758.000,Tons,49202610.000,Tons,47282660.000,Tons,51882662.000,Tons,54595390.000,Tons,48829932.000,Tons,50739315.000,Tons,50168909.000,Tons
368,Iraq,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",234678.000,Tons,267283.000,Tons,1568390.000,Tons,2034338.000,Tons,2074362.000,Tons,6385595.000,Tons,5816290.000,Tons,8756751.000,Tons,7930992.000,Tons,12009052.000,Tons,12968690.000,Tons,12608348.000,Tons,9691630.000,Tons,17844952.000,Tons,19226191.000,Tons,17835415.000,Tons,19584361.000,Tons,16655920.000,Tons,11022091.000,Tons,8489718.000,Tons,12452980.000,Tons,13050406.000,Tons,13904949.000,Tons,15499287.000,Tons
368,Iraq,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",23451311.000,Tons,22603628.000,Tons,33771108.000,Tons,25746219.000,Tons,26652916.000,Tons,23468419.000,Tons,30610906.000,Tons,22583017.000,Tons,21897022.000,Tons,22204483.000,Tons,24210030.000,Tons,17110804.000,Tons,16958605.000,Tons,13435059.000,Cubic meters,24452365.000,Cubic meters,35493184.000,Cubic meters,29181419.000,Cubic meters,18221438.000,Cubic meters,10248417.000,Cubic meters,9249218.000,Cubic meters,13554478.000,Cubic meters,12416853.000,Cubic meters,11211280.000,Cubic meters,10386060.000,Cubic meters
368,Iraq,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",636876.000,Tons,252968.000,Tons,255504.000,Tons,112968.000,Tons,0,,87322.000,Tons,117631.000,Tons,1442965.000,Tons,1568318.000,Tons,1568682.000,Tons,2909584.000,Tons,6317355.000,Tons,7669287.000,Tons,10023691.000,Tons,9758826.000,Tons,9991429.000,Tons,11314460.000,Tons,11915773.000,Tons,8239154.000,Tons,10167341.000,Tons,10483455.000,Tons,9139170.000,Tons,8229894.000,Tons,6408822.000,Tons
368,Iraq,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3383534.000,Tons,1304685.000,Tons,1138946.000,Tons,763617.000,Tons,1184115.000,Tons,2039016.000,Tons,1913761.000,Tons,1521024.000,Tons,1926199.000,Tons,3346950.000,Tons,3025594.000,Tons,1262170.000,Tons,3191243.000,Tons,5189570.000,Tons,6676590.000,Tons,8391450.000,Tons,5469100.000,Tons,5429430.000,Tons,2433130.000,Tons,996212.000,Tons,5861986.000,Tons,8798960.000,Tons,7172631.000,Tons,6171187.000,Tons
368,Iraq,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",274244.000,Tons,0,,0,,0,,0,,1959809.000,Tons,877998.000,Tons,1001869.000,Tons,2114580.000,Tons,376299.000,Tons,1361414.000,Tons,3596179.000,Tons,3196300.000,Tons,2578217.000,Tons,1386384.000,Tons,989588.000,Tons,1305370.000,Tons,2729691.000,Tons,959071.000,Tons,760444.000,Tons,1269282.000,Tons,929170.000,Tons,1548173.000,Tons,3941297.000,Tons
368,Iraq,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4374545.000,Tons,847553.000,Tons,1259917.000,Tons,1501302.000,Tons,2147159.000,Tons,2650214.000,Tons,2889798.000,Tons,2486100.000,Tons,2355779.000,Tons,1482856.000,Tons,1685210.000,Tons,1402167.000,Tons,1374191.000,Tons,2451698.000,Tons,733069.000,Tons,399117.000,Tons,1107387.000,Tons,2236233.000,Tons,955126.000,Tons,2335614.000,Tons,2172455.000,Tons,3368472.000,Tons,3755610.000,Tons,3509670.000,Tons
368,Iraq,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",42504.000,Tons,51834.000,Tons,0,,0,,21244.000,Tons,113145.000,Tons,271955.000,Tons,260417.000,Tons,379157.000,Tons,631319.000,Tons,824013.000,Tons,719069.000,Tons,808342.000,Tons,1503507.000,Tons,2383262.000,Tons,3074564.000,Tons,2483064.000,Tons,1673838.000,Tons,1804148.000,Tons,2245874.000,Tons,3351577.000,Tons,2969157.000,Tons,3305485.000,Tons,3144075.000,Tons
