reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
699,India,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0.000,Tons,33111.000,Tons,94795.000,Tons,204522.000,Tons,63305.000,Tons,141838.000,Tons,212.460,Tons,153.000,Tons,46999.000,Tons,1430.000,Tons,115059.000,Tons,265.000,Tons,,Mixed,,Mixed,405.000,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,2875.000,Tons,,Mixed,133398.651,Tons,,Mixed
699,India,428,Latvia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1333.000,Tons
699,India,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,346807.000,Cubic meters,561389.000,Cubic meters,133816.000,Cubic meters,0,,0,,0,,22.000,Cubic meters,0,,218.000,Cubic meters
699,India,222,El Salvador,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,60.000,Tons,36.000,Tons,36.000,Tons,8.000,Tons,9.000,Tons,36.000,Tons,52.000,Tons,0,,33.000,Tons,22.000,Tons
699,India,554,New Zealand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5.000,Tons,39.000,Tons,13.000,Tons,0,,36.651,Tons,5.544,Tons
699,India,512,Oman,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4.000,Tons
699,India,454,Malawi,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,2.000,Tons,3.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.000,Tons
699,India,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,44518.000,Cubic meters,68743.000,Cubic meters,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
699,India,044,Bahamas,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3958.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
699,India,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
