reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand)
364,"Iran, Islamic Republic of",000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",19219000,26124000,34289000,48286000,50223930,60382065,81415379,49408527,72350088,87530139,83674104,46904434,38938377,19257358,35074034,47186277,50823249,16859951,6019227,19511060,32988793,40285896
364,"Iran, Islamic Republic of",946,Asia not elsewhere specified,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",6173470,5985092,7855261,6039531,14077151,24934618,36876829,34030249,44003867,53912369,73204889,41878670,34831972,17272516,20561126,25857586,34906887,4513820,4710700,11074917,19092882,22587706
364,"Iran, Islamic Republic of",156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,516733,250377,459925,7017972,1167285,5921274,10189588,14772464
364,"Iran, Islamic Republic of",879,West Asia not elsewhere specified,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85330,1741737,2040588,2487789
364,"Iran, Islamic Republic of",473,LAIA not elsewhere specified,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",321296,572345,751162,0,0,56297,0,0,0,0,0,0,0,0,0,0,0,0,0,652778,1611125,164975
364,"Iran, Islamic Republic of",637,"North America and Central America, nes",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71531,36471,142392
364,"Iran, Islamic Republic of",839,Special categories,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64768
364,"Iran, Islamic Republic of",784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153016,2336406,1568449,0,0,8636,7906,30839
364,"Iran, Islamic Republic of",050,Bangladesh,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
364,"Iran, Islamic Republic of",702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15628
364,"Iran, Islamic Republic of",860,Uzbekistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,660
364,"Iran, Islamic Republic of",586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,239
364,"Iran, Islamic Republic of",004,Afghanistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,3399,1551,215
364,"Iran, Islamic Republic of",036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,15263,20440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,"Iran, Islamic Republic of",051,Armenia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,1173,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,"Iran, Islamic Republic of",251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",700425,1214461,1594302,4248845,4343783,3235846,2958695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,"Iran, Islamic Republic of",276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",11934,5451,6387,294415,105637,205606,300545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,"Iran, Islamic Republic of",344,"Hong Kong, China",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,194115,0,0,0,0,0,0,0
364,"Iran, Islamic Republic of",368,Iraq,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,1134,0,0,639,0
364,"Iran, Islamic Republic of",381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1734998,2204345,2893506,5924588,6164960,4709356,5409804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,"Iran, Islamic Republic of",392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4869927,7110158,9332035,16577958,14457444,11024396,14616488,0,0,0,0,0,0,0,1106556,377205,177763,29366,0,0,0,0
364,"Iran, Islamic Republic of",410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529763,3941052,2460377,1700107,0,0,0,0
364,"Iran, Islamic Republic of",458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125788,0,0,0,0,0
364,"Iran, Islamic Republic of",470,Malta,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34767,0,0,0,0,0,0,0
364,"Iran, Islamic Republic of",528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",278150,505844,664293,852996,264092,0,123557,0,0,0,0,0,0,0,47371,0,0,0,0,0,0,0
364,"Iran, Islamic Republic of",568,Europe Othr. Nes,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4027214,5447633,7151366,14347667,7538237,12590917,16192678,12567738,24592868,28699041,6448718,4941249,4106405,1984842,7182529,14249983,10980239,1344067,55912,36787,0,0
364,"Iran, Islamic Republic of",577,Africa not elsewhere specified,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1101586,1814061,2379956,0,3152200,3625029,4908896,2810040,3753353,4918729,4020497,84515,0,0,11554,0,0,0,0,0,6884,0
364,"Iran, Islamic Republic of",699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,641096,173477,0,2110797,0,0,0,0
364,"Iran, Islamic Republic of",826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,26715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,"Iran, Islamic Republic of",838,Free Zones,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,95409,0,0,0,0,0,0,0
364,"Iran, Islamic Republic of",899,Area Nes,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,1249347,1640292,0,120426,0,0,0,0,0,0,0,0,0,0,0,142687,142687,0,0,0,0
