reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
360,Indonesia,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4831446,5405526,6460110,8539680,8271709,8864033,12465641,7999468,10868077,12483628,13240673,12616416,10415887,6676905,5426241,5816653,6058095,2127341,1523275,3134188,2200405,2192383,2773748,8644992
360,Indonesia,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",590661,732545,958873,1592098,968611,1185539,1148588,1459435,821396,573963,475822,573183,275120,575570,914694,593199,252009,140593,421432,468256,448830,76989,92112,6742476
360,Indonesia,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",144642,199894,160140,359699,540470,353482,408253,539835,579066,441994,1316820,1571080,1164964,1090662,951292,1152126,1269367,781384,627135,1523897,1380631,1683344,1875027,1639856
360,Indonesia,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1021905,1027755,1457444,1953873,1447776,1022651,1554581,1182390,2385379,2317455,1778764,1217741,746927,444133,260808,448144,563287,178878,14038,35672,0,84587,116414,132070
360,Indonesia,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",117128,29996,93916,21357,239535,500301,257194,251867,20234,204203,58745,202985,120409,196357,136839,292738,381992,58358,16254,70533,37178,37079,104677,76509
360,Indonesia,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,312542,271746,265381,239757,208041,979071,554881,710121,664914,318299,781453,1265360,550046,422992,661366,454242,291175,146290,286749,65120,100779,242959,29660
360,Indonesia,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",965504,826815,932781,1511711,1396767,1755394,2089150,1766516,2451709,2629290,2694245,2097799,1622627,1109665,657610,648635,801593,402877,119413,248629,148360,29677,97559,13251
360,Indonesia,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1364710,1754300,1866692,2128262,2667083,2918783,4731447,1372379,2406021,4481688,5899242,4913999,3560370,1559327,850278,782834,617068,128892,0,80827,43016,168620,114065,11170
360,Indonesia,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,33321,77687,0,77864,0,0,0,0,0,0,0,0,0,0,0
360,Indonesia,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106844,0
