reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
702,Singapore,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,No quantity,3.000,Tons,3.000,Tons,164920.000,Tons,190280.000,Tons,88979.000,Tons,64471.000,Tons,42818.000,Tons,37510.000,Tons,147.000,Tons,30.000,Tons,79.000,Tons,56.000,Tons,57756.000,Tons,44.000,Tons,145499.000,Tons,102778.000,Tons,10.000,Tons,1.000,Tons,304442.000,Tons,117.000,Tons,6292.000,Tons,3795.000,Tons,131.000,Tons
702,Singapore,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0.000,Tons,28445.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,17420.000,Tons,0.000,Tons,0.000,Tons,0,,0,,0,,0,,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,72833.000,Tons,0.000,Tons,0.000,Tons,3389.000,Tons,0,
702,Singapore,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,3.000,Tons,0.000,Tons,78895.000,Tons,13346.000,Tons,25.000,Tons,20301.000,Tons,6.000,Tons,39.000,Tons,8.000,Tons,9.000,Tons,22.000,Tons,16.000,Tons,14.000,Tons,5.000,Tons,5.000,Tons,25.000,Tons,2.000,Tons,0.000,Tons,80312.000,Tons,5.000,Tons,1605.000,Tons,407.000,Tons,131.000,Tons
702,Singapore,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,85993.000,Tons,135582.000,Tons,88935.000,Tons,43118.000,Tons,20105.000,Tons,19987.000,Tons,0.000,Tons,0,,0,,0,,0,,0,,145489.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,79876.000,Tons,0.000,Tons,0.000,Tons,0,,0,
702,Singapore,050,Bangladesh,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,
702,Singapore,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,3.000,Tons,0.000,Tons,0.000,Tons,0,,0,,0,,0,,0,,0,,0.000,Tons,0.000,Tons,0,,0,
702,Singapore,104,Myanmar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,2.000,Tons,2.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
702,Singapore,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0.000,Tons,0.000,Tons,0,,0,,0,,0,,6.000,Tons,0,,0,,8.000,Tons,0,,0,,0.000,Tons
702,Singapore,144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
702,Singapore,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,31.000,Tons,360.000,Tons,12.000,Tons,0,,0,,0.000,Tons,0.000,Tons,0,,5.000,Tons,25.000,Tons,6.000,Tons,0,,0.000,Tons,89098.000,Tons,0.000,Tons,0,,0,,0,,0,,0,,0,
702,Singapore,162,Christmas Island,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,3.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
702,Singapore,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,
702,Singapore,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,
702,Singapore,344,"Hong Kong, China",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
702,Singapore,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,3.000,Tons,0,,18.000,Tons,0.000,Tons,46.000,Tons,1.000,Tons,0.000,Tons,22.000,Tons,0.000,Tons,32.000,Tons,11.000,Tons,1.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0,,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons
702,Singapore,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0.000,Tons,963.000,Tons,0.000,Tons,0,,0.000,Tons,0.000,Tons,0.000,Tons,0,,0,,0.000,Tons,0,,0.000,Tons,0.000,Tons,0.000,Tons,0,,0,,4686.000,Tons,0,,0.000,Tons
702,Singapore,400,Jordan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,
702,Singapore,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,5.000,Tons,0,,0,,1.000,Tons,646.000,Tons,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
702,Singapore,414,Kuwait,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,
702,Singapore,462,Maldives,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0,,0,,0,,0,,5.000,Tons,0.000,Tons,0,,0,,0,,0,,0,,0,,0,
702,Singapore,484,Mexico,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,
702,Singapore,490,Chinese Taipei,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
702,Singapore,496,Mongolia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,39.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
