reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
414,Kuwait,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",50557590.000,Tons,51496235.882,Tons,55254105.951,Tons,67884636.823,Tons,80446402.000,Tons,80910114.000,Tons,86078908.000,Tons,82003384.000,Tons,83320702.000,Tons,87698264.000,Tons,102336502.000,Tons,100473569.000,Tons,95734543.000,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed
414,Kuwait,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1069696.000,Tons,907244.000,Tons,1253980.000,Tons,1645741.000,Tons,2809168.000,Tons,3632297.000,Tons,5896301.000,Tons,7075508.000,Tons,9830660.000,Tons,9541459.000,Tons,10489792.000,Tons,9343321.000,Tons,10618718.000,Tons,14427930.000,Tons,16339030.000,Tons,18244101.000,Tons,23212383.000,Tons,22688739.000,Tons,27497493.000,Tons,30163415.000,Tons,33283297.000,Tons,24532733.000,Tons,15970073.000,Tons,19021757.000,Tons
414,Kuwait,704,Viet Nam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,542868.000,Tons,4726467.000,Tons,7403296.000,Tons,9610246.000,Tons,8762730.000,Tons,8348035.000,Tons,9127655.000,Tons,11480772.000,Tons,,
414,Kuwait,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",8892561.000,Tons,11161143.000,Tons,11113405.000,Tons,13115821.000,Tons,15062915.000,Tons,13892949.000,Tons,14297804.000,Tons,14041104.000,Tons,15231960.000,Tons,17815475.000,Tons,19812651.000,Tons,20069132.000,Tons,19514397.000,Tons,19799943.000,Tons,22100756.000,Tons,22245172.000,Tons,22386801.000,Tons,20788111.000,Tons,17957557.000,Tons,14048874.000,Tons,14386876.000,Tons,13546446.000,Tons,11291658.000,Tons,11930874.000,Tons
414,Kuwait,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",17084366.000,Tons,15572630.000,Tons,16620144.000,Tons,17038911.000,Tons,15645076.000,Tons,15236647.000,Tons,16356137.000,Tons,15858302.000,Tons,14075492.000,Tons,12245096.000,Tons,14228263.000,Tons,13550437.000,Tons,12793633.000,Tons,13268753.000,Tons,11518509.000,Tons,11534817.000,Tons,11676330.000,Tons,12589837.000,Tons,11260844.000,Tons,10505934.000,Tons,11178683.000,Tons,11485589.000,Tons,8086065.000,Tons,7403204.000,Tons
414,Kuwait,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,8068322.000,Tons,10634013.000,Tons,13287763.000,Tons,15793954.000,Tons,13559679.000,Tons,16466833.000,Tons,19908997.000,Tons,20468389.000,Tons,18327836.000,Tons,12581450.000,Tons,10107303.000,Tons,11175742.000,Tons,11381325.000,Tons,10625812.000,Tons,9891577.000,Tons,13568828.000,Tons,12758908.000,Tons,8072599.000,Tons,6230969.000,Tons,8776033.000,Tons
414,Kuwait,490,Chinese Taipei,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",598298.000,Tons,1099236.882,Tons,1131377.951,Tons,6497787.823,Tons,9396733.000,Tons,9554180.000,Tons,9197730.000,Tons,8687654.000,Tons,9483804.000,Tons,9270987.000,Tons,9326376.000,Tons,9239353.000,Tons,8333925.000,Tons,9089412.000,Tons,9225790.000,Tons,8664774.000,Tons,9397677.000,Tons,8799881.000,Tons,7289847.000,Tons,8292971.000,Tons,8504302.000,Tons,7087695.000,Tons,5234036.000,Tons,4966014.000,Tons
414,Kuwait,512,Oman,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,35436.000,Tons,0,,892311.000,Tons,2988350.000,Tons,6154052.000,Tons
414,Kuwait,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",11257498.000,Tons,10499709.000,Tons,11862389.000,Tons,10993331.000,Tons,9235311.000,Tons,8440215.000,Tons,10069239.000,Tons,8910380.000,Tons,9465331.000,Tons,9877458.000,Tons,15795424.000,Tons,15868500.000,Tons,13868728.000,Tons,12372295.000,Cubic meters,12988371.000,Cubic meters,8996488.000,Cubic meters,4522572.000,Cubic meters,2797709.000,Cubic meters,1254466.000,Cubic meters,1270906.000,Cubic meters,1540538.000,Cubic meters,1186957.000,Cubic meters,1244929.000,Cubic meters,894622.000,Cubic meters
414,Kuwait,634,Qatar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,298920.000,Tons,1053899.000,Tons,,
414,Kuwait,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,637424.000,Tons,612130.000,Tons,1166027.000,Tons,642505.000,Tons,507913.000,Tons,416436.000,Tons,314438.000,Tons,464942.000,Tons,403310.000,Tons,519353.000,Tons,727019.000,Tons,338726.000,Tons,197863.000,Tons,349008.000,Tons,138330.000,Tons,144247.000,Tons,152785.000,Tons,787566.000,Tons,619432.000,Tons,286184.000,Tons,751436.000,Tons
414,Kuwait,818,Egypt,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,2273000.000,Tons,2407000.000,Tons,2643316.000,Tons,2087053.000,Tons,2378384.000,Tons,2437000.000,Tons,2600380.000,Tons,2055804.000,Tons,2256000.000,Tons,3227000.000,Tons,2526902.000,Tons,2656429.000,Tons,2519185.000,Tons,3400119.000,Tons,3488908.000,Tons,5087023.000,Tons,1563519.000,Tons,2842396.000,Tons,1385370.000,Tons,38049.000,Tons,24282.000,Tons
414,Kuwait,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4909322.000,Tons,5433293.000,Tons,6407378.000,Tons,7528307.000,Tons,9518722.000,Tons,9082315.000,Tons,7269259.000,Tons,4742811.000,Tons,3872940.000,Tons,3976850.000,Tons,4303115.000,Tons,3484024.000,Tons,2906336.000,Tons,5406964.000,Tons,6389682.000,Tons,6450512.000,Tons,6955922.000,Tons,2732886.000,Tons,3166740.000,Tons,523871.000,Tons,19833.000,Tons,59658.000,Tons,34477.000,Tons,238651.000,Tons
414,Kuwait,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",311875.000,Tons,128164.000,Tons,225535.000,Tons,417575.000,Tons,246634.000,Tons,116945.000,Tons,0,,511286.000,Tons,276995.000,Tons,334600.000,Tons,619497.000,Tons,431864.000,Tons,178671.000,Tons,381169.000,Cubic meters,700186.000,Cubic meters,419877.000,Cubic meters,561067.000,Cubic meters,828873.000,Cubic meters,820653.000,Cubic meters,503978.000,Cubic meters,576514.000,Cubic meters,0,,29667.000,Cubic meters,250581.000,Cubic meters
414,Kuwait,586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,0,,5241.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,288277.000,Tons,626237.000,Tons,285240.000,Tons,50821.000,Tons,5082.000,Tons,78453.000,Tons
414,Kuwait,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,,,8.000,Tons,,,1098.000,Tons,24.000,Tons,,,,,,,35.000,Tons,136.000,Tons,0,,0.000,Tons,0,,1.000,Tons,0.000,Tons,0,,0.000,No quantity,222.000,Tons,2320.000,Tons,195.000,Tons,192.000,Tons,,
414,Kuwait,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4446770.000,Tons,4009812.000,Tons,4526621.000,Tons,4864640.000,Tons,5059083.000,Tons,4589102.000,Tons,4310353.000,Tons,2040537.000,Tons,3381897.000,Tons,3849232.000,Tons,3613416.000,Tons,3390997.000,Tons,3275232.000,Tons,5714950.000,Tons,3245490.000,Tons,3708290.000,Tons,3168051.000,Tons,4268462.000,Tons,1264600.000,Tons,2.000,Tons,0,,76865.000,Tons,3.000,Tons,0,
414,Kuwait,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",113939.000,Tons,44795.000,Tons,0,,89930.000,Tons,26971.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
414,Kuwait,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,417877.000,Tons,398096.000,Tons,498567.000,Tons,35944.000,Tons,0,,0,,0,,1199.000,Tons,0,,0,,0,,0,,0,,0,
414,Kuwait,048,Bahrain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,235.000,Tons,2.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
414,Kuwait,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,145337.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
