reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
528,Netherlands,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,No quantity,54937.000,Tons,136202.000,Tons,14143.000,Tons,45351.000,Tons,207858.000,Tons,328795.000,Tons,184860.000,Tons,340357.000,Tons,0.000,No quantity,400769.000,Tons,400601.000,Tons,498828.000,Tons,418867.000,Tons,263535.000,Tons,163662.000,Tons,226240.000,Tons,205409.000,Tons,191920.000,Tons,379109.000,Tons,0.000,No quantity,0.000,No quantity,28308946.000,Tons,29173792.000,Tons
528,Netherlands,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,5946.000,Tons,42592.000,Tons,0,,2661.000,Tons,0,,0,,0,,4079.000,Tons,7488.000,Tons,157437.000,Tons,24448.000,Tons,55561.000,Tons,70369.000,Tons,18038.000,Tons,10274.000,Tons,343.000,Tons,20562.000,Tons,58204.000,Tons,103990.000,Tons,12121624.000,Tons,15170397.000,Tons,15028858.000,Tons,15366602.000,Tons
528,Netherlands,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0.000,Tons,0,,0,,0,,131581.000,Tons,206690.000,Tons,122036.000,Tons,188075.000,Tons,5797.000,Tons,239228.000,Tons,210919.000,Tons,290427.000,Tons,304541.000,Tons,238852.000,Tons,122084.000,Tons,94083.000,Tons,3025.000,Tons,77460.000,Tons,3.000,Tons,69962.000,Tons,12581910.000,Tons,13161364.000,Tons,13739981.000,Tons
528,Netherlands,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,18084.000,Tons,34013.000,Tons,0,,0,,0,,0,,0,,0,,371.000,Tons,0,,0.000,Tons,0.000,Tons,4563.000,Tons,709.000,Tons,0,,1095.000,Tons,74.000,Tons,52287.000,Tons,30394.000,Tons
528,Netherlands,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,30631.000,Tons,0,
528,Netherlands,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,48991.000,Tons,18394.000,Tons,4642.000,Tons,0,,31554.000,Tons,17777.000,Tons,45790.000,Tons,75804.000,Tons,0,,0.000,Tons,156023.000,Tons,41937.000,Tons,6170.000,Tons,6284.000,Tons,30506.000,Tons,115596.000,Tons,55201.000,Tons,42665.000,Tons,113650.000,Tons,20116.000,Tons,31912.000,Tons,23243.000,Tons,35462.000,Tons
528,Netherlands,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,75217.000,Tons,0.000,Tons,42690.000,Tons,0.000,Tons,0,,0,,0,,0.000,Tons,0.000,Tons,0,,110381.000,Tons,36190.000,Tons,0,,0.000,Tons,0,,0,,4.000,Tons,0.000,Tons,0.000,No quantity,0,,12483.000,Tons,0.000,Tons
528,Netherlands,196,Cyprus,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,5.000,Tons,0,,0.000,Tons,0.000,Tons,0,,0,,0,,0,,0.000,Tons,41.000,Tons,3.000,Tons
528,Netherlands,442,Luxembourg,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,39.000,Tons,4.000,Tons,0.000,Tons,0,,0,,0.000,Tons,0,,6.000,Tons,0,,9.000,Tons,103.000,Tons
528,Netherlands,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7.000,Tons,0,,0.000,Tons,0,,0,,0,,0,,1.000,Tons,0,,8.000,Tons,66.000,Tons
