reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
528,Netherlands,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,12680,34834,7298,25079,128219,262925,130644,180616,62785,332238,304572,370062,184061,77531,65164,119443,75437,67889,189906,9020873,17016670,17039634,15859161
528,Netherlands,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,391,12020,0,1145,0,0,0,2345,5815,133176,16342,47708,32672,7005,4446,243,11006,23101,52289,8930946,9150456,8968204,8054972
528,Netherlands,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,1,0,0,0,72772,166666,86245,105792,4018,194631,168240,209479,123946,68722,49264,46219,1491,22243,1,59069,7804383,7998799,7768306
528,Netherlands,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,9790,26692,0,0,0,0,0,0,260,0,0,0,1660,443,0,91,53,29645,16448
528,Netherlands,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20763,0
528,Netherlands,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,12288,7421,2077,0,23164,12998,32361,37740,0,0,112657,22564,2293,1556,11166,59794,21603,15850,54186,10856,17058,12588,18593
528,Netherlands,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,15391,1,23935,4,0,0,0,0,0,0,89167,24053,0,0,0,0,2,2,0,0,9580,0
528,Netherlands,196,Cyprus,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,27,2
528,Netherlands,442,Luxembourg,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,5,0,6,60
528,Netherlands,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,40
