reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit
364,"Iran, Islamic Republic of",000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",104036344.000,Tons,119078282.000,Tons,133379800.000,Tons,118988835.000,Tons,114337284.781,Tons,123615939.000,Tons,122169286.000,Tons,111895841.000,Tons,129433690.000,Tons,113248215.000,Tons,105330862.000,Tons,60903988.000,Tons,55580588.000,Tons,54176002.000,Tons,114956774.000,Tons,123699932.000,Tons,102168562.000,Tons,36781493.000,Tons,20268896.000,Tons,38372039.000,Tons,45408541.000,Tons,66592736.000,Tons
364,"Iran, Islamic Republic of",946,Asia not elsewhere specified,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",33418247.000,Tons,27281215.000,Tons,30555955.000,Tons,14882922.000,Tons,29963820.296,Tons,51046884.000,Tons,55336285.000,Tons,77068918.000,Tons,78722543.000,Tons,69752883.000,Tons,92151977.000,Tons,54378185.000,Tons,49719110.000,Tons,48592120.000,Tons,71336354.000,Tons,68650467.000,Tons,70505649.000,Tons,10019236.000,Tons,15862615.000,Tons,21782872.000,Tons,26233070.000,Tons,37303056.000,Tons
364,"Iran, Islamic Republic of",156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1320271.000,Tons,601042.000,Tons,883224.000,Tons,15491611.000,Tons,3930669.000,Tons,11643321.000,Tons,14077084.000,Tons,24406870.000,Tons
364,"Iran, Islamic Republic of",879,West Asia not elsewhere specified,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,287337.000,Tons,3425763.000,Tons,2803710.000,Tons,4108525.000,Tons
364,"Iran, Islamic Republic of",473,LAIA not elsewhere specified,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1739240.000,Tons,2608859.000,Tons,2921923.000,Tons,0,,0,,115253.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1283927.000,Tons,2213640.000,Tons,272452.000,Tons
364,"Iran, Islamic Republic of",637,"North America and Central America, nes",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,140692.000,Tons,50110.000,Tons,235157.000,Tons
364,"Iran, Islamic Republic of",839,Special categories,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,124406.000,Tons
364,"Iran, Islamic Republic of",784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5505242.000,Tons,5677241.000,Tons,3012655.000,Tons,0,,0,,16587.000,Tons,15035.000,Tons,73932.000,Tons
364,"Iran, Islamic Republic of",050,Bangladesh,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,35000.000,Tons
364,"Iran, Islamic Republic of",702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,31142.000,Tons
364,"Iran, Islamic Republic of",860,Uzbekistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2225.000,Tons,1268.000,Tons
364,"Iran, Islamic Republic of",586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,98.000,Tons,0,,0,,0,,0,,0,,517.000,Tons
364,"Iran, Islamic Republic of",004,Afghanistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,357.000,Tons,0,,0,,0,,6522.000,Tons,2999.000,Tons,412.000,Tons
364,"Iran, Islamic Republic of",036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,69570.000,Tons,79508.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
364,"Iran, Islamic Republic of",051,Armenia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,1521.000,Tons,592.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
