reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
024,Angola,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",7194752,8837283,12527656,21867666,31341688,38782753,66791503,37724813,51242794,63122512,70082782,67304660,61306556,33241630,25098865,31368132,38464547,32825516,20480938,27398203,41352184,32810833,33278652,26219270
024,Angola,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1086813,2205655,4716808,6575939,10930839,12879534,22358968,14599867,22748977,24809999,33373390,31808647,30893003,15914201,13774201,19809906,24863019,23224441,14158847,19855580,22567161,18554232,17207492,15594931
024,Angola,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,179719,916375,1280282,3389551,4820640,5944949,7951255,6729543,5462948,3049339,1687698,3129344,3445094,2796554,1396442,1597998,3146054,2505552,3619931,3384003
024,Angola,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,94687,332723,0,0,0,0,0,0,110611,498858,210746,205875,639167,232949,348867,683011,47730,0,431985,837639,1135640,1713005,1942806
024,Angola,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",10871,0,259913,294078,363623,1626436,2596899,1351467,1961558,1569669,2763327,1935817,1998881,1344793,1248513,1328014,1219377,544677,33427,342356,413201,336045,792958,848709
024,Angola,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3148583,4334268,4555342,8500825,11718487,12525659,19113790,9366377,11833108,13151475,9450712,8285066,5260505,2603015,2545934,2480175,2487663,774845,469475,996156,1388874,974247,1695324,783760
024,Angola,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",306196,27307,201951,645119,436232,632668,1751953,742105,585051,546646,1399199,2857232,3568432,2221047,861563,977715,1376192,984168,572758,312343,1653800,2580666,2231216,756541
024,Angola,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",634962,693178,813524,1743028,1493005,2340737,3932793,3280516,2101882,1744176,1124374,1189267,2058559,1606103,1025791,327522,570245,447134,463181,206078,2381262,1372905,1671717,684127
024,Angola,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",26663,9897,0,70668,56360,0,1802415,645825,569401,879633,712809,1319817,1185812,0,162554,0,24423,58603,286807,164776,1788763,1741031,650487,631419
024,Angola,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,460029,851971,2199027,78319,369523,304552,0,621597,1051806,0,0,0,0,0,17378,0,507192,640397,1011170,406376
024,Angola,620,Portugal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",63830,0,0,29052,47033,504239,597267,196350,740347,1628465,2245760,3447322,2126872,1250810,855555,286042,1147165,1186598,418617,64271,628516,251411,73678,211058
024,Angola,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,44346,0,0,0,0,11903,129974,65050,130259,92453,0,408112,209059
024,Angola,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",280042,196394,26026,68516,0,150594,435949,20461,334569,2052528,856308,700010,1216620,950780,413829,367746,482741,519980,272524,134158,1493626,898054,514661,196899
024,Angola,191,Croatia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159535
024,Angola,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",63530,0,0,44964,10100,4804,0,0,3,0,0,140173,103927,0,0,0,0,224288,245369,432348,297873,479384,672217,141482
