Country,Jan2002,Feb2002,Mar2002,Apr2002,May2002,Jun2002,Jul2002,Aug2002,Sep2002,Oct2002,Nov2002,Dec2002,Jan2003,Feb2003,Mar2003,Apr2003,May2003,Jun2003,Jul2003,Aug2003,Sep2003,Oct2003,Nov2003,Dec2003,Jan2004,Feb2004,Mar2004,Apr2004,May2004,Jun2004,Jul2004,Aug2004,Sep2004,Oct2004,Nov2004,Dec2004,Jan2005,Feb2005,Mar2005,Apr2005,May2005,Jun2005,Jul2005,Aug2005,Sep2005,Oct2005,Nov2005,Dec2005,Jan2006,Feb2006,Mar2006,Apr2006,May2006,Jun2006,Jul2006,Aug2006,Sep2006,Oct2006,Nov2006,Dec2006,Jan2007,Feb2007,Mar2007,Apr2007,May2007,Jun2007,Jul2007,Aug2007,Sep2007,Oct2007,Nov2007,Dec2007,Jan2008,Feb2008,Mar2008,Apr2008,May2008,Jun2008,Jul2008,Aug2008,Sep2008,Oct2008,Nov2008,Dec2008,Jan2009,Feb2009,Mar2009,Apr2009,May2009,Jun2009,Jul2009,Aug2009,Sep2009,Oct2009,Nov2009,Dec2009,Jan2010,Feb2010,Mar2010,Apr2010,May2010,Jun2010,Jul2010,Aug2010,Sep2010,Oct2010,Nov2010,Dec2010,Jan2011,Feb2011,Mar2011,Apr2011,May2011,Jun2011,Jul2011,Aug2011,Sep2011,Oct2011,Nov2011,Dec2011,Jan2012,Feb2012,Mar2012,Apr2012,May2012,Jun2012,Jul2012,Aug2012,Sep2012,Oct2012,Nov2012,Dec2012,Jan2013,Feb2013,Mar2013,Apr2013,May2013,Jun2013,Jul2013,Aug2013,Sep2013,Oct2013,Nov2013,Dec2013,Jan2014,Feb2014,Mar2014,Apr2014,May2014,Jun2014,Jul2014,Aug2014,Sep2014,Oct2014,Nov2014,Dec2014,Jan2015,Feb2015,Mar2015,Apr2015,May2015,Jun2015,Jul2015,Aug2015,Sep2015,Oct2015,Nov2015,Dec2015,Jan2016,Feb2016,Mar2016,Apr2016,May2016,Jun2016,Jul2016,Aug2016,Sep2016,Oct2016,Nov2016,Dec2016,Jan2017,Feb2017,Mar2017,Apr2017,May2017,Jun2017,Jul2017,Aug2017,Sep2017,Oct2017,Nov2017,Dec2017,Jan2018,Feb2018,Mar2018,Apr2018,May2018,Jun2018,Jul2018,Aug2018,Sep2018,Oct2018,Nov2018,Dec2018,Jan2019,Feb2019,Mar2019,Apr2019,May2019,Jun2019,Jul2019,Aug2019,Sep2019,Oct2019,Nov2019,Dec2019,Jan2020,Feb2020,Mar2020,Apr2020,May2020,Jun2020,Jul2020,Aug2020,Sep2020,Oct2020,Nov2020,Dec2020,Jan2021,Feb2021,Mar2021,Apr2021,May2021,Jun2021,Jul2021,Aug2021,Sep2021,Oct2021,Nov2021,Dec2021,Jan2022,Feb2022,Mar2022,Apr2022,May2022,Jun2022,Jul2022,Aug2022,Sep2022,Oct2022,Nov2022,Dec2022,Jan2023,Feb2023,Mar2023,Apr2023,May2023,Jun2023,Jul2023,Aug2023,Sep2023,Oct2023,Nov2023,Dec2023,Jan2024,Feb2024,Mar2024,Apr2024,May2024,Jun2024,Jul2024,Aug2024,Sep2024,Oct2024,Nov2024,Dec2024,Jan2025,Feb2025,Mar2025,Apr2025,May2025,Jun2025,Jul2025,Aug2025,Sep2025,Oct2025,Nov2025,Dec2025,Jan2026,Feb2026
Albania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Algeria,21669,19572,21669,20970,21762,20970,21762,21824,22650,24955,24450,25265,25420,21756,26660,26670,24087,25800,26660,28520,29400,34596,33900,36890,40796,37062,39153,37620,38998,38280,39370,42005,40800,42470,40500,42160,41230,36680,41850,40500,42470,41100,42160,42780,42300,44330,43500,44020,44020,40320,44330,43200,45477,42000,43710,43400,43800,44950,41700,43710,43710,38640,42780,41700,43710,42300,44020,43090,41700,43400,42000,42780,42160,40310,42470,40800,42470,41100,42160,42160,40800,43121,39300,39463,40083,34216,36952,35910,37789,36360,37417,38285,36000,38037,36660,37293,38347,34132,36704,35820,36859,35790,36921,37138,35370,37510,37020,37789,37355,34132,35743,35220,36983,36060,36518,36673,35250,37014,35460,34286,38409,35409,36797,37020,37820,36780,37789,37696,-,37851,35640,36673,37479,33936,37727,36270,37727,36630,37944,37572,36360,37727,36810,37851,37386,35532,37727,36120,37324,36120,37727,37696,35910,36828,36120,36766,36518,32032,35278,33990,36704,34890,36363,-,35280,36735,35850,37169,34813,32625,35247,34230,35123,33120,35495,35991,35460,36301,35520,35619,33821,30352,33635,32250,33139,32130,33015,33077,31890,30907,30060,32147,31403,29008,29946,29370,32240,31620,32984,32922,32160,33170,32040,33325,32023,28700,31713,-,31837,30990,-,-,30720,31713,30780,31651,31341,29261,32023,30120,25172,24210,25079,26629,25830,26660,25860,26753,27094,24584,26970,26010,27621,27030,28365,28551,28110,29419,28770,29946,30287,27384,30876,30180,31465,30810,32240,32643,31740,32860,30630,31279,31372,28392,31248,29970,29822,28590,29605,29109,28800,29791,28800,29574,28117,26274,-,27210,27931,27180,28179,28210,27240,28179,27240,28086,28117,25536,28179,27360,28520,27810,29047,29357,28800,29915,29040,30132,30101,27244
Angola,-,-,-,-,-,-,-,-,-,27521,27343,29736,25861,23401,26950,26528,28254,26298,27891,27684,26076,27521,27343,29736,29722,27513,28869,28180,29166,27817,29047,30203,32849,34427,33649,34923,34857,31863,35946,34471,36568,34783,38376,43682,41185,42422,43185,44319,44638,40096,45468,43600,40414,37339,46001,45660,-,43304,44230,46290,49073,45864,51398,51120,53134,49920,51677,54591,52320,56730,55080,56296,58745,55651,57691,57960,60264,58950,60388,59706,53640,57691,54330,59954,54777,46536,51026,49800,52111,51510,55366,55552,53640,56544,52740,54560,54219,50344,55211,53070,54343,51930,52235,54963,48330,-,46530,49631,51057,43764,48453,46350,48484,44040,50189,51336,49920,53971,49470,53320,53537,49909,54374,51300,54622,48420,48856,54064,51420,51894,49200,54343,53816,47992,54219,51330,53630,52440,53103,52018,51360,53754,47040,50406,50096,44800,44826,47970,49755,49350,53134,52979,51090,54281,50730,53785,54591,50120,54188,52800,56017,51810,55707,53599,54180,54622,51660,53940,55831,51185,55800,52950,53382,53100,55118,54622,49980,46717,50640,50809,50065,46172,51212,49530,49383,49860,51708,52080,49710,49879,48210,47988,48422,41944,46376,44940,46066,43440,45105,45911,44670,45167,42510,44795,45570,39732,42563,41760,45322,42540,39959,41168,41070,43121,38190,42439,43834,40223,43524,40560,37882,36900,39525,39246,36480,37014,36570,35495,35123,31836,35278,35310,34875,32190,34193,34999,33300,34286,33300,35650,36983,32424,35123,35490,36022,35250,36580,36549,32730,32581,32640,33728,34255,29792,30132,31890,34441,33570,35619,34999,33390,35557,32520,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argentina,23819,21218,23715,22964,23420,22603,23610,23186,22580,22933,22421,23112,21038,19131,21291,20764,21481,20596,21109,21064,20239,20829,19926,20370,20496,19260,20029,19282,20781,19987,20320,20120,19928,20373,19038,19898,19806,17875,19755,19124,19919,18995,19640,19530,18335,18431,18395,19039,20046,17562,20376,19694,20649,20157,20733,20517,20236,20816,18619,20310,19956,18078,20098,19610,20127,19273,19223,19886,19421,20030,18289,19839,19619,18610,19896,19175,16128,18071,19667,20101,19463,20058,19479,19454,19152,17749,19574,18846,19317,18249,18249,16574,18294,19197,17949,18547,18852,17005,18867,18244,18790,18279,18791,17938,17941,18333,17738,17738,17739,16491,18160,17480,15851,15600,16937,17888,17372,18097,17384,17821,17342,17342,17471,17471,17420,16156,17029,17529,16966,17353,15651,17089,15343,14527,17914,15065,15329,15315,15957,16704,16263,16837,16311,16647,16647,14960,16467,15339,15533,15970,16184,16288,15866,16592,15908,16163,16531,14807,16476,15999,16627,16009,16498,16406,15904,16598,15965,16499,16273,15019,16171,15629,15473,15016,15497,15988,16273,15729,14964,15237,15083,13503,15346,14673,15111,13754,14579,14747,14317,14511,14612,16219,14785,13126,15003,15003,14935,14451,14893,15127,14861,15346,14780,15286,15286,13955,15478,15292,18441,17540,18570,18570,15412,15835,15443,15443,16036,14873,13068,13740,15747,17540,18570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australia,19429,18041,19129,18593,18183,19389,19988,20146,18601,17796,18096,18041,17418,15336,15975,14950,15991,15549,18735,16464,14343,12908,14579,15092,14674,13405,13554,13026,12963,13720,13933,14382,12719,11867,12513,11977,12979,10448,12711,12372,13050,14217,14335,13460,13010,12080,14690,12616,9289,10771,11236,10463,11299,10471,15116,16014,14832,15242,13539,14958,13878,14437,12379,14761,14209,14713,15131,14548,12719,14043,13160,14004,12624,11528,12797,13704,13956,13475,14477,14682,14564,15849,15589,15667,14824,13531,14611,14327,12308,13491,14674,14674,13460,14437,13499,13736,12285,10708,16424,17513,16464,15533,17379,15817,15336,14966,14303,14035,11567,11118,14090,13483,13791,12190,11812,13341,12971,14106,14169,14571,12482,10842,12939,13665,13042,12064,13610,13751,12837,12782,11496,11693,8634,8681,10235,10392,10542,10684,11205,10984,10597,8689,10140,10590,10203,10053,10582,9643,9722,10463,10408,10913,10085,10771,10834,11047,10471,8926,7767,8902,8208,10093,11433,11457,10400,10479,10716,10629,9801,8831,9154,8618,8390,8524,9525,9202,8815,9115,8697,8358,8011,7136,8453,7743,8516,8208,8642,8666,7672,8327,7696,7554,8532,7798,8476,7846,7073,7759,8106,8027,8200,9123,9131,9312,9084,8879,9233,9935,9423,10053,10511,11071,10495,12033,11047,11354,10030,8642,11047,10755,9557,9793,9659,10432,9486,10211,9643,9762,9612,7893,10716,9194,8942,6962,9643,10653,9667,9762,10172,9478,8989,7988,8918,9202,10022,9454,7333,7924,8650,9162,8492,8934,8405,7775,8019,7231,7948,7869,7428,8248,7522,7727,7349,8398,8248,7365,7451,7065,7593,7625,8106,7782,6600,7160,7231,8216,6797,5945,7601,7467,7333,7018,7365,6489,4944,6276,6931,6970,6773,5606
Austria,535,507,563,578,570,578,570,563,535,563,542,563,535,500,563,535,542,535,549,549,535,549,528,535,549,507,549,528,535,493,549,528,521,535,500,514,514,472,521,507,514,493,500,493,493,514,493,507,500,451,500,493,521,507,521,514,493,521,486,528,507,458,507,493,507,493,521,521,500,507,493,500,500,472,500,479,493,493,500,507,514,549,528,535,528,493,549,535,549,556,542,556,528,535,514,521,521,472,528,514,528,507,521,528,507,514,507,507,500,465,500,479,493,486,493,507,500,500,479,500,528,444,500,500,479,507,500,500,479,486,486,500,514,451,507,507,500,465,500,514,451,514,514,507,542,486,578,528,563,500,528,514,493,514,507,500,528,465,500,514,514,514,528,507,479,514,493,451,500,444,549,401,437,570,444,458,465,444,451,430,458,408,514,373,458,394,578,338,416,423,401,416,423,416,394,401,416,401,401,394,408,408,401,380,394,366,394,380,387,366,373,394,380,387,380,373,373,352,77,331,359,352,366,352,331,366,338,352,338,303,359,324,338,331,331,338,338,324,310,317,317,289,310,317,317,317,310,289,268,317,282,289,289,261,282,282,289,275,289,254,247,275,268,275,275,268,282,261,261,275,275,296,239,282,254,282,275,254,268,261,268,254,275,268,261,275,268,275,261,239
Azerbaijan,8969,8638,9235,8652,9603,9478,9478,9773,9441,9463,9500,9264,9596,8608,9596,9559,9706,8822,9581,9588,9264,9478,9198,9581,9397,8557,9780,9109,9448,9669,7790,10075,9802,10082,9610,9669,10163,9338,12057,11615,12617,12861,12949,14799,14688,16325,15433,16516,15595,16877,17990,18042,19125,18735,19980,21786,21307,21609,23164,22515,25043,24063,26738,24292,27158,26429,27741,27380,16442,27247,26267,27638,29112,27055,30114,29797,31065,31426,33534,20584,24542,21447,23208,26193,26746,26105,31072,31779,33342,32421,32568,31735,31787,32730,30298,29650,29583,25913,30158,30622,31330,30165,31308,31499,30129,31109,29627,26709,29156,26746,28743,27321,28419,27225,26635,28655,26156,25286,22346,21675,27151,24697,26915,23783,26569,25427,25537,25544,23857,21594,22935,25073,26171,23459,24748,24328,26429,25522,25382,25294,23591,24653,23555,24321,24594,22515,25043,25087,25655,24041,25662,25250,23916,24763,18764,24240,25353,22722,25743,24483,23532,22759,24328,24380,24122,24468,22456,22818,24144,22965,25124,23871,24623,24233,25021,23989,21262,23525,20349,22633,23046,20408,21520,21764,22523,22125,22928,21587,22073,23628,21638,22994,23061,20621,22515,22331,22847,21852,22272,22022,21476,21926,21727,22081,22044,20054,21933,17968,21270,20629,21587,21041,20223,19722,20216,20820,20761,19103,20931,20525,17769,16929,17445,18167,17887,17946,17850,18469,18410,16546,18042,17401,17791,18543,18381,18528,17585,18130,17636,18491,18020,15875,17983,17364,17695,15787,17084,17194,16325,16980,16487,16980,16531,14910,15986,15381,15506,15027,15499,15433,14725,15337,14792,14924,14711,13804,14910,14290,14195,14504,15005,14784,14386,14961,14570,15079,14091,13015,14313,13627,13966,13568,14261,14305,13863,14475,13907,14408,13686,-
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5886,5498,5915,5791,5915,5292,5849,5578,5622,5813,5600,5886,8210,7535,8349,8019,8400,8026,8283,8364,8070,8342,8078,8356,8202,7565,8371,7132,8114,8048,8356,8364,8034,8290,7675,7044,7931,6326,8334,7770,8342,8041,8188,8246,8019,8408,8026,8327,8349,7616,8415,7909,8444,7975,8151,836,1012,946,975,1004,1032,1039,1083,1010,1032,980,1002,1002,995,951,921,973,943,899,936,914,892,980,1010,965,951,1039,1024,1135,1231,1128,1238,1157,1268,1253,1437,1393,1393,1459,1378,1408,1408,1400,1415,1378,1363,1400,1363,1511,1393,1408,1386,1445,1363,1216,1585,1393,1481,1467,1489,1540,1570,1592,1511,1459,1526,1386,1577,1459,1533,1474,1548,1570,1511,1511,1511,1496,1526,1349,1526,1474,1621,1688,1599,1562,1533,1629,1562,1666,1592,1408,1592,1496,1474,1503,1511,1518,1445,6596,5520,4444,6412,5719,6375,6235,6456,6213,6471,6449,6316,6441,6265,3714,4437,4525,6486,6301,6515,6206,6486,6390,6117,6382,6051,6058,5903,5726,5019,6095,6014,5992,6095,6242,6147,6382,6183,6154,4481,5837,6434,6427,6456,6301,6449,6530,6272,6522,6132,4334,5461,5660,6110,6176,6272,6102,6228,6161,5690,6058,5867,5749,4953,5343,6029,5771,6198,5948,6213,6095,5962,6139,5940,5697,3258,5483,6397,6124,6309,5984,4709,6029,6080,6346,6080,5225,6213,4319,4997,5690,5815,5446,5601,4798,4761,5513,5668,5859,5925,5211,5704,5697,5424,5609,5955,5682,5476,5778,5557,3118,1924,5594
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
