reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
724,Spain,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1.000,Tons,0,No quantity,0.000,No quantity,6.000,Tons,2.000,Tons,14.000,Tons,0.000,No quantity,18.000,Tons,2.000,Tons,0.000,No quantity,0.000,No quantity,11.000,Tons,1416095.000,Tons,1415018.597,Tons,729923.000,Tons,0.000,No quantity,1018780.702,Tons,0.000,No quantity,1040842.000,Tons,0.000,No quantity,0.000,No quantity,0.000,No quantity,0.000,No quantity,0.000,No quantity
724,Spain,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0.000,Tons,0,,0,,0.000,Tons,0.000,Tons,0.000,Tons,0,,3.000,Tons,1.000,Tons,659221.000,Tons,922609.000,Tons,375484.000,Tons,505405.000,Tons,390871.000,Tons,383227.000,Tons,429667.000,Tons,433482.000,Tons,368810.000,Tons,1286372.000,Tons,1598744.000,Tons,105312.000,Tons
724,Spain,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,414175.000,Tons,256817.000,Tons,192105.000,Tons,396437.000,Tons,387302.000,Tons,395754.000,Tons,272138.000,Tons,465210.000,Tons,159526.000,Tons,276949.000,Tons,569405.000,Tons,76647.000,Tons
724,Spain,705,Slovenia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,125395.000,Tons,50857.000,Tons,29969.000,Tons,42374.000,Tons,29919.000,Tons,29999.000,Tons,32882.000,Tons,67725.000,Tons,0,,32357.000,Tons,102149.000,Tons,0,
724,Spain,470,Malta,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,59929.000,Tons,0,,15870.000,Tons,22956.000,Tons,0,,40291.000,Tons,10016.000,Tons,0,,0,,79795.000,Tons,0,
724,Spain,620,Portugal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,5.000,Tons,0.000,Tons,0.000,Tons,1.000,Tons,0.000,Tons,1.000,Tons,0.000,Tons,2.000,Tons,3.000,Tons,76380.000,Tons,78896.000,Tons,115213.000,Tons,242070.000,Tons,140614.000,Tons,76222.000,Tons,70787.000,Tons,102540.000,Tons,7481.000,Tons,31256.000,Tons,76544.000,Tons,19955.000,Tons
724,Spain,191,Croatia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3.000,Tons,0,,0,,0,,0,,0,,0,,0,,57002.000,Tons,27002.000,Tons
724,Spain,372,Ireland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,21976.000,Tons,0,,0,,0,,0,,0,,32933.000,Tons,32933.000,Tons,0,
724,Spain,170,Colombia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,2.000,Tons,9.000,Tons,2.000,Tons,4.000,Tons,5.000,Tons,4.000,Tons,5.000,Tons,5.000,Tons,8.000,Tons,4.000,Tons,6.000,Tons,7.000,Tons,1.000,Tons
724,Spain,634,Qatar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.000,Tons,3.000,Tons,1.000,Tons,4.000,Tons,3.000,Tons,2.000,Tons
724,Spain,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,1.000,Tons,0.000,Tons,0.000,Tons,0.000,No quantity,1.000,Tons,2.000,Tons,0.000,No quantity
724,Spain,218,Ecuador,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.000,Tons,0,,1.000,Tons,0,,0,,0.000,Tons,0,,3.000,Tons,0,,2.000,Tons,1.000,Tons,0.000,Tons,1.000,Tons,1.000,Tons
724,Spain,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.000,Tons,44.000,Tons
724,Spain,012,Algeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0.000,No quantity,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,
724,Spain,020,Andorra,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3.000,Tons,0,,0,,0.000,Tons,1.000,Tons,0,,0,
724,Spain,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,1.000,Tons,0,,0.000,Tons,0,
724,Spain,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,
724,Spain,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0.000,Tons,0.000,Tons,12617.000,Tons,14980.000,Tons,0.000,Tons,0,,0.000,Tons,22911.000,Tons,0,,0.000,Tons,0,,0,,0,
724,Spain,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.000,Tons,0.000,Tons,1.000,Tons,0,,0,,0,,0,,0.000,Tons,0,,0.000,Tons,0,,0.000,Tons,0.000,Tons,0.000,Tons
724,Spain,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0.000,Tons,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
724,Spain,132,Cabo Verde,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,1.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
724,Spain,152,Chile,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,5.000,Tons,0,,0,,0,
724,Spain,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,114.000,Tons,0,,0,,0.000,Tons
724,Spain,188,Costa Rica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3.000,Tons,0,,1.000,Tons,0,,0,,0.000,Tons,0.000,Tons,0,
724,Spain,192,Cuba,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,56.000,Tons,15.000,Tons,0,,0,,0.000,Tons,18.000,Tons,0,,2.000,Tons,3.000,Tons,10.000,Tons,0.000,Tons,0,
724,Spain,208,Denmark,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15181.000,Tons,0,,0,,0,,0,,0,
724,Spain,214,Dominican Republic,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,1.000,Tons,13.000,Tons,0,,0,,0.000,Tons,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.000,Tons,0,,0,,0,
724,Spain,226,Equatorial Guinea,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons
724,Spain,233,Estonia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2144.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
724,Spain,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,
724,Spain,288,Ghana,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.000,Tons,1.000,Tons,1.000,Tons,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,
724,Spain,292,Gibraltar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0.000,No quantity,0,,0,,0.000,No quantity,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
724,Spain,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,26281.000,Tons,0,,0,,0.000,Tons,0,,0.000,No quantity,0,,0.000,Tons,0,,0.000,Tons,0,,0,
724,Spain,340,Honduras,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4.000,Tons,1.000,Tons,0,,0,,0,,0,,8.000,Tons,0,,0,
724,Spain,344,"Hong Kong, China",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
