reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
842,United States of America,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",472210.000,Tons,782394.000,Tons,1529871.000,Tons,2523152.000,Tons,1799535.000,Tons,2091386.000,Tons,3248659.000,Tons,4380612.000,Tons,3044735.000,Tons,2898342.000,Tons,3769561.000,Tons,6750185.000,Tons,15602050.000,Tons,27406759.000,Cubic meters,34370053.000,Cubic meters,67827584.000,Cubic meters,117277800.000,Cubic meters,172453954.000,Cubic meters,186111747.000,Cubic meters,171779353.000,Cubic meters,209184735.000,Cubic meters,235677323.000,Cubic meters,238788357.000,Cubic meters,231399251.000,Cubic meters
842,United States of America,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",53.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,276699.000,Cubic meters,2636963.000,Cubic meters,5349823.000,Cubic meters,7670019.000,Cubic meters,15911856.000,Cubic meters,17313457.000,Cubic meters,16578602.000,Cubic meters,21376497.000,Cubic meters,37812747.000,Cubic meters,48009013.000,Cubic meters,51403365.000,Cubic meters
842,United States of America,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",13.000,Tons,115.000,Tons,693.000,Tons,0,,3250.000,Tons,0,,0,,0,,0,,330.000,Tons,0,,0,,93666.000,Tons,154626.000,Cubic meters,516946.000,Cubic meters,3286120.000,Cubic meters,13788206.000,Cubic meters,24364542.000,Cubic meters,15677187.000,Cubic meters,20281038.000,Cubic meters,21529253.000,Cubic meters,23748673.000,Cubic meters,27699957.000,Cubic meters,29401669.000,Cubic meters
842,United States of America,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",462432.000,Tons,779835.000,Tons,1417345.000,Tons,2444639.000,Tons,1795440.000,Tons,2021217.000,Tons,3248659.000,Tons,4380612.000,Tons,3044675.000,Tons,2852251.000,Tons,3769561.000,Tons,6713742.000,Tons,14784901.000,Tons,25282901.000,Cubic meters,20784445.000,Cubic meters,21521406.000,Cubic meters,25078433.000,Cubic meters,28415963.000,Cubic meters,24420583.000,Cubic meters,18056319.000,Cubic meters,19313608.000,Cubic meters,19671542.000,Cubic meters,20447680.000,Cubic meters,22215952.000,Cubic meters
842,United States of America,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,61.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,49209.000,Cubic meters,0,,1449641.000,Cubic meters,8143546.000,Cubic meters,14591345.000,Cubic meters,16340490.000,Cubic meters,24394244.000,Cubic meters,18751504.000,Cubic meters,9563923.000,Cubic meters,12955846.000,Cubic meters,18230868.000,Cubic meters
842,United States of America,490,Chinese Taipei,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,60.000,Tons,0,,0,,0,,0,,0,,0,,837259.000,Cubic meters,7462409.000,Cubic meters,9598290.000,Cubic meters,9189065.000,Cubic meters,8849674.000,Cubic meters,11178810.000,Cubic meters,12768409.000,Cubic meters,12736313.000,Cubic meters,12605074.000,Cubic meters
842,United States of America,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,14.000,Tons,56.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,567224.000,Cubic meters,5620972.000,Cubic meters,9671143.000,Cubic meters,14157615.000,Cubic meters,14383885.000,Cubic meters,13510474.000,Cubic meters,20132163.000,Cubic meters,15322538.000,Cubic meters,17553202.000,Cubic meters,10764069.000,Cubic meters
842,United States of America,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,114301.000,Tons,416133.000,Cubic meters,497692.000,Cubic meters,1248765.000,Cubic meters,1291099.000,Cubic meters,2724588.000,Cubic meters,3665644.000,Cubic meters,5012956.000,Cubic meters,9315557.000,Cubic meters,11740009.000,Cubic meters,11592104.000,Cubic meters,10429008.000,Cubic meters
842,United States of America,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,347.000,Tons,298.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,280999.000,Cubic meters,931924.000,Cubic meters,2325852.000,Cubic meters,6348827.000,Cubic meters,4402432.000,Cubic meters,2138491.000,Cubic meters,3143082.000,Cubic meters,4289235.000,Cubic meters,5904187.000,Cubic meters,8571077.000,Cubic meters
842,United States of America,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,36325.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,99270.000,Cubic meters,492774.000,Cubic meters,1633956.000,Cubic meters,1402129.000,Cubic meters,5018865.000,Cubic meters,4724310.000,Cubic meters,6021384.000,Cubic meters,9901986.000,Cubic meters,8495990.000,Cubic meters,8641838.000,Cubic meters,7031596.000,Cubic meters
