reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
414,Kuwait,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",9448633,11642022,15593154,24385963,33615837,37555071,59334722,35863264,46628886,67024847,82164612,77912956,70157338,37755278,29273889,38300907,54017002,46954540,31332390,45804548,69868791,49712758,40334079,28787453
414,Kuwait,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",191075,186365,304127,557860,1234138,1700147,4279021,2862250,5471637,7343681,8415008,7277316,7598349,5706705,4825394,7070370,11881935,10814354,8986268,15312070,24602783,15213994,9614210,10063926
414,Kuwait,704,Viet Nam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194386,2489309,3497682,3124139,4504811,6294782,5563607,6997910,
414,Kuwait,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1514621,2200579,2668304,4527063,6472679,6779048,10124626,6255555,8482672,13811725,15914083,15564412,14049475,7332640,6395495,8351813,11544845,9921859,5430178,7238899,10728438,8305818,6579702,6343283
414,Kuwait,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2894545,3143990,4002847,5710191,6757369,7154425,11440742,6724521,7923519,9407450,11518865,10473194,9434389,5011204,3124001,4393979,6040307,6133820,3884557,5371203,8405640,7203769,4868281,3900381
414,Kuwait,512,Oman,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20486,0,1510447,4003426,
414,Kuwait,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,3619229,5118555,8905478,6738823,7631267,12559190,15593704,15588543,12954445,4577124,2710749,4322900,5699375,5035612,3307935,6840379,9121000,5155733,3656663,4649252
414,Kuwait,490,"Taipei, Chinese",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1039244,1596346,2310042,3668388,4099639,4608670,6211968,3746602,5297147,7087696,7539363,7160952,5964998,3462150,2596291,3269451,4765378,4157347,2371393,4299737,6377101,4379621,3111657,2557837
414,Kuwait,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1860145,2145853,3114442,3937244,3909913,3907522,6879798,3819988,5339332,7771328,12940329,12622316,11363911,4520861,3304180,2813691,1873459,1090895,434828,540344,892822,633739,639903,391605
414,Kuwait,634,Qatar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,182201,633357,
414,Kuwait,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,216465,261991,526453,433828,193194,233066,233638,375322,281745,357237,234541,85453,77433,195679,71990,51470,74587,595328,392928,171079,424889
414,Kuwait,818,Egypt,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,797454,1042479,1191328,1548359,1071343,1321151,1700214,1676951,1720163,2366802,1006760,854313,1011160,1790756,1681208,1659143,793533,2143290,861238,23900,13400
414,Kuwait,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",820610,1062296,1545501,2158156,2922910,3419273,4741533,2053898,2128650,3006638,3495972,2701667,2197229,2000143,1823593,2439633,3506724,1330725,1059040,220968,12504,38890,18117,113329
414,Kuwait,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",48784,25072,54728,132055,109576,57298,0,231601,157570,264261,509556,354534,113381,130759,172661,143245,270360,390338,250547,245386,416977,0,13691,130026
414,Kuwait,586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,0,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85112,296217,198240,33205,2161,39862
414,Kuwait,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,11,,473,12,,,,8,28,0,0,0,1,6,0,3,78,1012,71,18,
414,Kuwait,398,Kazakhstan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
414,Kuwait,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",749336,764320,1077358,1645262,2185284,2137026,2939148,1505961,1916718,2972489,2824404,2617110,2200639,1993748,868775,1353489,1546870,1901418,298564,1,0,46651,2,0
414,Kuwait,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",20710,10574,0,31174,15294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,Kuwait,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,313523,303854,335402,21242,0,0,0,803,0,0,0,0,0,0
414,Kuwait,048,Bahrain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,58,2,0,0,0,0,0,0,0,0,0,0,0,0,
414,Kuwait,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,80100,0,0,0,0,0,0,0,0,0,0,0
414,Kuwait,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,7170,0,0,0,0,108394,0,0,0,0,0,0,0,0,0,0,0,0
414,Kuwait,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",247237,397040,458303,829946,708943,847349,1026332,0,0,0,0,112356,149689,126215,40052,66199,130099,62014,0,0,1,2,0,0
414,Kuwait,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",39460,0,17711,0,20141,44763,141110,99704,55633,106722,325198,450382,157887,50777,0,28794,0,0,0,0,0,0,0,0
414,Kuwait,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11959,0,0,0,0,0,0,0,0,0
414,Kuwait,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,79659,53839,0,0,0,68953,0,0,0,0,0,0,0,0,0,0,0,0
414,Kuwait,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,102701,0,18178,0,0,0,0,0,59812,136998,59837,914777,1247068,384066,0,0,0,0,0,0,0
414,Kuwait,554,New Zealand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",7611,21856,14261,69630,110588,44563,103183,99010,162307,422168,187039,358461,409335,116762,0,20372,0,0,0,45849,0,0,0,0
414,Kuwait,608,Philippines,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,758086,977305,1011000,1371493,724572,389213,0,78873,190844,0,129875
