reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
784,United Arab Emirates,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",80893152.000,Tons,92943410.316,Tons,95132180.255,Tons,102994390.304,Tons,115417876.000,Tons,117407743.000,Tons,,Mixed,102677194.000,Tons,103647305.000,Tons,113530000.000,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed
784,United Arab Emirates,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",47437877.000,Tons,49145365.000,Tons,51008952.000,Tons,51567411.000,Tons,52127311.000,Tons,50053166.000,Tons,48923456.000,Tons,37911517.000,Tons,36878130.000,Tons,39982668.000,Tons,38798111.000,Tons,40001645.000,Tons,40178553.000,Tons,40880294.000,Tons,39565467.000,Tons,37702354.000,Tons,37265069.000,Tons,42894929.000,Tons,38279025.000,Tons,41589995.000,Tons,49210412.000,Tons,48593406.000,Tons,49478707.000,Tons,49128500.000,Tons
784,United Arab Emirates,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,863523.000,Tons,1343865.000,Tons,2567745.000,Tons,3044008.000,Tons,3651215.000,Tons,4578884.000,Tons,3307031.000,Tons,5285062.000,Tons,6735182.000,Tons,8743839.000,Tons,10275846.000,Tons,11651961.000,Tons,12568874.000,Tons,12181336.000,Tons,10162143.000,Tons,12199161.000,Tons,15279580.000,Tons,31155319.000,Tons,31937527.000,Tons,42770849.000,Tons,41811848.000,Tons,35538244.000,Tons,37530508.000,Tons
784,United Arab Emirates,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,5774426.000,Tons,9682708.000,Tons,13514269.000,Tons,11369022.000,Tons,12456551.000,Tons,13457989.000,Tons,15739207.000,Tons,14822687.000,Tons,15011966.000,Tons,15242198.000,Tons,17421834.000,Tons,16560696.000,Tons,16051750.000,Tons,19456016.000,Tons,22170435.000,Tons,23017732.000,Tons,23419267.000,Tons,13152158.000,Tons,22292779.000,Tons,26756434.000,Tons
784,United Arab Emirates,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",7165819.000,Tons,8805694.000,Tons,12293204.000,Tons,15850326.000,Tons,13903225.000,Tons,12574048.000,Tons,16119394.000,Cubic meters,13694905.000,Tons,13563885.000,Tons,15190792.000,Tons,16299102.000,Tons,18531570.000,Tons,13350030.000,Tons,17570481.000,Cubic meters,15824779.000,Cubic meters,15288061.000,Cubic meters,17434287.000,Cubic meters,12991895.000,Cubic meters,13903812.000,Cubic meters,13563004.000,Cubic meters,20874299.000,Cubic meters,25089500.000,Cubic meters,26891004.000,Cubic meters,24476037.000,Cubic meters
784,United Arab Emirates,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4345099.000,Tons,4188644.000,Tons,4514757.000,Tons,3469031.000,Tons,5566217.000,Tons,5801506.000,Tons,5828668.000,Tons,6335352.000,Tons,6531880.000,Tons,9334210.000,Tons,13430002.000,Tons,13438277.000,Tons,12548872.000,Tons,11155390.000,Tons,12617857.000,Tons,14401201.000,Tons,10649729.000,Tons,13222349.000,Tons,10864418.000,Tons,13235109.000,Tons,12354788.000,Tons,11131262.000,Tons,12593222.000,Tons,19942885.000,Tons
784,United Arab Emirates,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",15590796.000,Tons,19293787.000,Tons,19613077.000,Tons,20156668.000,Tons,21583123.000,Tons,19033249.000,Tons,20990465.000,Tons,15361132.000,Tons,14644711.000,Tons,11799563.000,Tons,11417843.000,Tons,14782988.000,Tons,14498205.000,Tons,13345476.000,Tons,11690776.000,Tons,12170852.000,Tons,9440702.000,Tons,11706167.000,Tons,9983938.000,Tons,7582981.000,Tons,11345277.000,Tons,14736666.000,Tons,18645389.000,Tons,15353629.000,Tons
784,United Arab Emirates,586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,1391293.000,Tons,1403595.000,Tons,2713517.000,Tons,2458280.000,Tons,2367668.000,Tons,2271439.000,Tons,2126123.000,Tons,1966848.000,Tons,2902465.000,Tons,3665235.000,Tons,3302743.000,Tons,3344244.000,Tons,2333115.000,Tons,3775097.000,Tons,5427649.000,Tons,5662550.000,Tons,5697672.483,Tons,3918860.000,Tons,3630666.000,Tons,3743450.000,Tons,1775499.000,Tons,4166332.000,Tons,5732049.000,Tons
784,United Arab Emirates,490,Chinese Taipei,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",220354.000,Tons,171005.000,Tons,255241.000,Tons,1480605.304,Tons,3309743.000,Tons,2782892.000,Tons,2222358.000,Tons,1888719.000,Tons,2216346.000,Tons,2307372.000,Tons,2938320.000,Tons,2777849.000,Tons,3652268.000,Tons,3525125.000,Tons,2473363.000,Tons,4194376.000,Tons,3951532.000,Tons,4795547.000,Tons,3542398.000,Tons,3874501.000,Tons,3545676.000,Tons,3188237.000,Tons,3861650.000,Tons,5172947.000,Tons
784,United Arab Emirates,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",153175.000,Tons,781697.316,Tons,824154.000,Tons,919602.000,Tons,1155008.000,Tons,1384205.000,Tons,1431832.000,Tons,1065487.000,Tons,1239254.000,Tons,898481.000,Tons,1729142.000,Tons,1814271.000,Tons,1699043.000,Tons,1024338.000,Tons,1126675.000,Tons,1404339.000,Tons,514745.000,Tons,2012191.000,Tons,1190710.000,Tons,706205.000,Tons,2340171.000,Tons,3327038.000,Tons,4544355.000,Tons,4640962.000,Tons
784,United Arab Emirates,608,Philippines,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1761395.000,Tons,1909060.000,Tons,72788.000,Tons,414770.000,Tons,553575.000,Tons,1922747.000,Tons,1546295.000,Tons,1367117.000,Tons,2157967.000,Tons,1923422.000,Tons,2175664.000,Tons,1141344.000,Tons,895226.000,Tons,1008585.000,Tons,1384888.000,Tons,1359025.000,Tons,2402359.000,Tons,1562216.000,Tons,66797.000,Tons,695803.000,Tons,1574921.000,Tons,1893860.000,Tons,2055088.000,Tons,2583303.000,Tons
784,United Arab Emirates,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",343585.000,Tons,471548.000,Tons,257674.000,Tons,531028.000,Tons,306230.000,Tons,452206.000,Tons,190801.000,Tons,1843007.000,Tons,42944.000,Tons,355143.000,Tons,0,,0,,796493.000,Tons,95704.000,Cubic meters,865386.000,Cubic meters,1173831.000,Cubic meters,317110.000,Cubic meters,163124.000,Cubic meters,309400.000,Cubic meters,966162.000,Cubic meters,695456.000,Cubic meters,1008866.000,Cubic meters,2262165.000,Cubic meters,1551886.000,Cubic meters
784,United Arab Emirates,144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",245923.000,Tons,94753.000,Tons,88506.000,Tons,0,,0,,135050.000,Tons,0,,0,,0.000,Tons,0,,69560.000,Tons,791124.000,Tons,1352825.000,Tons,1666419.000,Tons,1272739.000,Tons,1499490.000,Tons,,,1828530.000,Tons,1666810.000,Tons,1185940.000,Tons,270317.000,Tons,1563541.000,Tons,1519427.000,Tons,1444563.000,Tons
784,United Arab Emirates,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,65271.000,Tons,0,,0,,353987.000,Tons,0,,31388.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,311474.000,Tons,2111693.000,Tons,987415.000,Tons,801167.000,Tons
784,United Arab Emirates,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,258008.000,Tons,596102.000,Tons,399972.000,Tons,1312069.000,Tons,1027624.000,Tons,849845.000,Tons,727326.000,Tons
