reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
842,United States of America,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",92292,158834,327544,629336,851766,1093232,2322062,1816332,1730642,2083742,2633506,5099464,12309086,8820941,9462122,22843028,48064128,64518650,49507575,69307284,117034462,117160521,118499361,100346331
842,United States of America,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",7,0,0,0,0,0,0,0,0,0,0,0,0,95997,785227,1828698,3234274,5970232,4582853,6824005,12334243,19160602,23619541,22258166
842,United States of America,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3,25,106,0,1882,0,0,0,0,108,0,0,73897,58183,149446,1114035,5672288,9170646,4466399,8559116,12602301,12062318,13734123,12528784
842,United States of America,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",90913,158270,299930,609605,849598,1066737,2322062,1816332,1730577,2048518,2633506,5072680,11664404,8158897,5634364,6979709,10274152,10264102,6531921,7708627,11912003,10132507,10235628,9470111
842,United States of America,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,4,11,0,0,0,0,0,0,0,0,0,0,0,147973,1976849,3974783,5293179,3833362,5313465,11241362,7218655,8547403,4544845
842,United States of America,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,6,0,0,0,0,0,0,0,0,60076,0,217384,451908,1007848,1675220,1331592,3172310,9937698,7866066,8020733,1657763
842,United States of America,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,16,0,0,0,0,0,0,0,0,0,17325,0,481298,3282233,5535550,4398055,9655981,10135076,4831179,6481535,7901903
842,United States of America,490,"Taipei, Chinese",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,354237,3215174,3573181,2566252,3393074,5692041,6124328,6416257,5600712
842,United States of America,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",245,466,27346,11582,0,0,0,0,0,0,0,26785,20734,15354,360620,4378736,5417782,2960366,6805742,6046177,6971488,13107151,6159563,626856
842,United States of America,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,90177,100607,114881,407087,507105,1065791,1041766,2052851,5283946,5777227,5762880,4454179
842,United States of America,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,7983,0,0,0,0,0,0,0,0,0,28832,122311,587233,573017,1889377,1335515,2448981,5669515,4280370,4212653,3068910
842,United States of America,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",42,0,0,9,0,0,0,0,0,0,0,0,10061,0,0,0,62541,576501,1517308,1869979,3723480,3167318,3891128,2796642
842,United States of America,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,26495,0,0,0,0,0,0,92612,80334,356105,987771,2524096,2557731,2166659,2643833,5194005,4433047,3733700,2699600
842,United States of America,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,57,49,0,0,0,0,0,0,0,0,0,0,83105,320473,960107,2354366,1207294,778035,1873920,2147370,2919757,3714197
842,United States of America,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",57,0,0,0,0,0,0,0,0,0,0,0,0,34780,7714,221075,634697,1071460,668206,1148187,1669267,1615327,1519907,1872472
842,United States of America,752,Sweden,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56340,113336,622309,568114,1127994,1453885,1442847,1207436
842,United States of America,591,Panama,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48697,33715,40677,720234,344384,412268,682759,861112,1377071,516820
842,United States of America,208,Denmark,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36416,356131,749292,531769,783867,1513510,1561121,1349354,801283
842,United States of America,566,Nigeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22912,0,0,0,0,0,0,0,1212062,2914685
842,United States of America,372,Ireland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348972,994566,683655,974760,800046,1318975,911739,938174
842,United States of America,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367366,375966,92475,172221,0,168720,602571,833227,1343894
842,United States of America,620,Portugal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131482,0,259351,419726,299501,265905,777644,195209
842,United States of America,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4,0,0,0,0,0,0,0,0,0,0,0,0,0,136757,504320,1493634,1134268,274822,178011,915623,1337854,749385,2635404
842,United States of America,170,Colombia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,18,0,0,0,0,0,0,0,0,0,0,169220,370959,561801,392055,229639,452574,762749,812082,742940,910152
842,United States of America,214,Dominican Republic,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3,0,4,0,0,0,0,0,0,0,0,0,0,0,15387,46712,230281,364320,161783,521276,717941,676152,681251,526817
842,United States of America,604,Peru,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,3,0,0,0,0,0,0,0,0,0,0,0,0,127194,87881,139739,606767,364141,397683,525528,761012,503868,1066295
842,United States of America,558,Nicaragua,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,78513,44027,107256,164438,160091,167804,155293,203094,492547,321299
842,United States of America,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,830072,455795,267689,727929,798928,436850,595262
842,United States of America,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31633,0,301758,466939,413223,441769
