reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
076,Brazil,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",12135264.000,Tons,12606969.000,Tons,12036277.000,Tons,0.000,No quantity,19191567.000,Tons,21973807.000,Tons,22762267.000,Tons,0.000,No quantity,0.000,No quantity,31257640.000,Tons,0.000,No quantity,19854490.000,Tons,0.000,No quantity,38416872.000,Tons,41623638.000,Tons,51965436.000,Tons,58410607.000,Tons,61134055.000,Tons,70009946.000,Tons,67564850.000,Tons,69167277.000,Tons,81409585.000,Tons,89170458.000,Tons,98211171.000,Tons
076,Brazil,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,123997.000,Tons,939624.000,Tons,1859419.000,Tons,2333408.000,Tons,2185110.000,Tons,2900324.000,Tons,3843263.000,Tons,8294693.000,Tons,7115471.000,Tons,6511208.000,Tons,5976295.000,Tons,5576298.000,Tons,13156459.000,Tons,15457258.000,Tons,22047347.000,Tons,32512586.000,Tons,38513151.000,Tons,40863642.000,Tons,31890188.000,Tons,27509235.000,Tons,37163960.000,Tons,39275008.000,Tons,44173903.000,Tons
076,Brazil,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1297279.000,Tons,1881203.000,Tons,1678933.000,Tons,2356126.000,Tons,5524944.000,Tons,7773623.000,Tons,7088273.000,Tons,7074252.000,Tons,7900796.000,Tons,8473196.000,Tons,8128234.000,Tons,5549735.000,Tons,5754990.000,Tons,6279390.000,Tons,4918083.000,Tons,8889727.000,Tons,7087970.000,Tons,8573759.000,Tons,5035208.000,Tons,6614919.000,Tons,8298529.000,Tons,9117601.000,Tons,12196489.000,Tons,10612447.000,Tons
076,Brazil,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",76716.000,Tons,277453.000,Tons,144319.000,Tons,0,,141680.000,Tons,191330.000,Tons,517124.000,Tons,755643.000,Tons,784793.000,Tons,704214.000,Tons,0.000,No quantity,860735.000,Tons,623857.000,Tons,1568944.000,Tons,2344547.000,Tons,3510886.000,Tons,5383065.000,Tons,2350264.000,Tons,3685291.000,Tons,2409740.000,Tons,5790257.000,Tons,6476773.000,Tons,9553251.000,Tons,7297808.000,Tons
076,Brazil,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1279696.000,Tons,616056.000,Tons,301463.000,Tons,943938.000,Tons,441801.000,Tons,1512381.000,Tons,938190.000,Tons,796233.000,Tons,1566616.000,Tons,781497.000,Tons,1163439.000,Tons,1073341.000,Tons,567623.000,Tons,539478.000,Tons,785875.000,Tons,473295.000,Tons,0,,1026819.000,Tons,1759097.000,Tons,2635201.000,Tons,3216546.000,Tons,6611208.000,Tons,6339807.000,Tons,6904676.000,Tons
076,Brazil,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2384441.000,Tons,1687342.000,Tons,0,,291744.000,Tons,713348.000,Tons,0,,140241.000,Tons,2005855.000,Tons,2465616.000,Tons,2497684.000,Tons,4947496.000,Tons,2575630.000,Tons,4253747.000,Tons,4130574.000,Tons,3034909.000,Tons,4787312.000,Tons,2759991.000,Tons,2561643.000,Tons,4049078.000,Tons,5093519.000,Tons,3274438.000,Tons,1624486.000,Tons,2531021.000,Tons,4318369.000,Tons
076,Brazil,620,Portugal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",873114.000,Tons,894069.000,Tons,1179301.000,Tons,1199555.000,Tons,1776441.000,Tons,1614424.000,Tons,1172232.000,Tons,1118435.000,Tons,952329.000,Tons,1505257.000,Tons,1118814.000,Tons,281260.000,Tons,703848.000,Tons,703729.000,Tons,424488.000,Tons,1223717.000,Tons,834836.000,Tons,672969.000,Tons,2895782.000,Tons,3514355.000,Tons,3857055.000,Tons,4065817.000,Tons,4248715.000,Tons,4231829.000,Tons
076,Brazil,152,Chile,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",602449.000,Tons,1226906.000,Tons,1555321.000,Tons,1712543.000,Tons,2980836.000,Tons,3353040.000,Tons,2464664.000,Tons,1488807.000,Tons,0.000,No quantity,3034967.000,Tons,1380219.000,Tons,1597033.000,Tons,3094064.000,Tons,3230304.000,Tons,4262826.000,Tons,4451686.000,Tons,4836985.000,Tons,2935979.000,Tons,2261895.000,Tons,4275989.000,Tons,4914486.000,Tons,5712465.000,Tons,3671866.000,Tons,4012353.000,Tons
076,Brazil,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,840921.000,Tons,570067.000,Tons,555308.000,Tons,715931.000,Tons,370497.000,Tons,0,,143283.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,132148.000,Tons,2145769.000,Tons,3091172.000,Tons,2811396.000,Tons,2009306.000,Tons,2220403.000,Tons,3736095.000,Tons
076,Brazil,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,279844.000,Tons,0,,0,,215243.000,Tons,133997.000,Tons,690478.000,Tons,2214234.000,Tons,2212403.000,Tons,2344036.000,Tons,2242920.000,Tons,3096803.000,Tons,2948338.000,Tons
