reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
410,"Korea, Republic of",000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",370399.000,Tons,7124.000,Tons,425490.731,Tons,43629.000,Tons,186826.000,Tons,579097.000,Tons,239062.000,Tons,1565756.000,Tons,309326.000,Tons,1020362.000,Tons,,Mixed,610547.000,Tons,,Mixed,1005178.000,Tons,,Mixed,,Mixed,568053.000,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,1844068.000,Tons,394026.000,Tons
410,"Korea, Republic of",699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,128061.000,Tons,0,,68000.000,Tons,1005023.000,Tons,183763.000,Tons,90582.000,Tons,94510.000,Tons,0,,0,,271987.000,Tons,268670.000,Tons,291970.000,Tons,0,,0,,0,,94970.000,Tons,284118.000,Tons,4708756.000,Tons,1844019.000,Tons,393990.000,Tons
410,"Korea, Republic of",320,Guatemala,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,28.000,Tons,46.000,Tons,47.000,Tons,11.000,Tons,21.000,Tons,31.000,Tons,56.000,Tons,1.000,Tons,14.000,Tons,51.000,Tons,11.000,Tons,17.000,Tons,30.000,Tons,58.000,Tons,52.000,Tons,48.000,Tons,36.000,Tons
410,"Korea, Republic of",024,Angola,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
410,"Korea, Republic of",036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,33990.000,Cubic meters,0,,0,,0,,0,,0,,0,,26233.000,Cubic meters,32245.000,Cubic meters,0,,0,,0,
410,"Korea, Republic of",040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,18453.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
410,"Korea, Republic of",096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,34702.000,Tons,0,,0,,0,,0,,0,
410,"Korea, Republic of",144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,40.000,Tons,0,,0,,0,,0,,0,
410,"Korea, Republic of",156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,21051.000,Tons,0,,0,,345070.000,Tons,0,,0,,0,,0,,0,,0,,0,,417324.000,Tons,0,,0.000,Tons,0,,0,,129956.000,Tons,0,,0,,0,,0,,0,
410,"Korea, Republic of",188,Costa Rica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,
