reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
368,Iraq,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",9532971,8591463,16325171,17795234,28244493,35847318,58752457,37621700,49680076,76845381,90967011,88160535,84674223,53027054,46446232,65147742,91874069,82992606,50955466,76640066,120295250,99733548,98862144,87472232
368,Iraq,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",96208,0,312552,388087,463109,690304,1311306,3294815,6272768,10438936,12649172,17899812,20759578,12668848,10643674,13787574,22412963,23850152,19228712,26465743,39093287,35188516,36966663,33326290
368,Iraq,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,4473333,5441207,9457222,5753924,7245319,17355726,19426501,20052488,15992254,11245954,9882355,15234582,23037445,21547092,14852142,25052209,37052783,28326627,28903786,25319936
368,Iraq,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",38542,57280,406359,675291,905154,3078911,4224971,3811996,4405997,9137793,10226964,9234381,6686157,6264204,5032109,6337218,9508059,7536383,3515772,4011858,8520840,7345346,7675384,7661260
368,Iraq,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3749637,4910262,9039700,9277750,11831603,11358338,22700572,9583305,12607099,17342466,19610928,13533090,13895729,4554951,6245438,11096288,12063003,7026375,3230688,3771375,7874649,6012539,5809552,4788494
368,Iraq,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",588150,288339,280152,291518,527101,1061449,1317648,1122549,1082277,2587102,2353212,973316,2156698,1684773,1794873,3083139,2650514,2360090,754528,485587,3921422,5189083,4159114,3312676
368,Iraq,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",114124,60310,60285,35926,0,46589,39144,671682,890036,1130041,2269286,4791875,5187103,3327663,2617606,3548883,5370585,5095406,2283525,4880812,6991561,5182488,4609163,3137457
368,Iraq,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",48499,0,0,0,0,925400,581728,519941,1202189,264211,1055583,2760176,2186065,940600,363812,376934,596845,1238266,355343,351157,874937,556766,856491,2025306
368,Iraq,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",745026,199970,317489,515449,894586,1380934,2091619,1154292,1325145,1160455,1296160,1092568,996479,892562,174352,143027,567678,1004227,263717,1061642,1489593,1850793,2068674,1728545
368,Iraq,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4908,10914,0,0,8675,55796,201617,113018,206776,494317,629935,578635,575007,493929,642873,1084153,1256559,732831,463087,1090982,2262974,1688857,1892400,1609066
