reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
702,Singapore,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,1,6,57619,78632,46042,52565,20973,21734,493,159,434,121,16830,168,68134,49961,15,5,170175,171,3931,2160,36
702,Singapore,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,1,13390,1,1,1,9980,1,1,0,0,0,0,1,0,0,0,42490,5,0,2064,0
702,Singapore,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,1,0,14109,6276,57,16074,56,81,55,56,98,35,24,31,23,22,2,2,40440,11,882,91,30
702,Singapore,050,Bangladesh,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
702,Singapore,400,Jordan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
702,Singapore,598,Papua New Guinea,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
702,Singapore,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,43443,52728,45808,35268,10374,11642,0,0,0,0,0,0,68101,0,0,0,45252,3,5,0,0
702,Singapore,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,1,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0
702,Singapore,104,Myanmar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,Singapore,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0
702,Singapore,144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
702,Singapore,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,67,184,167,0,0,0,2,0,10,1,29,0,2,43338,0,0,0,0,0,0,0
702,Singapore,162,Christmas Island,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,Singapore,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,Singapore,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
702,Singapore,344,"Hong Kong, China",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
702,Singapore,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,6,0,11,2,122,3,2,143,3,142,70,8,1,2,5,0,0,1,1,0,0,5
702,Singapore,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3028,0,1
