reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
764,Thailand,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2464563.000,Tons,11992458.000,Tons,3526727.000,Tons,3748375.000,Tons,3419051.000,Tons,2599408.000,Tons,3049890.000,Cubic meters,2432716.000,Tons,1490520.000,Tons,1845280.000,Tons,2170396.000,Tons,1535813.000,Tons,556223.000,Tons,133849.000,Cubic meters,1932351.000,Cubic meters,2038470.000,Cubic meters,1854371.000,Cubic meters,1664797.000,Cubic meters,1783828.000,Cubic meters,1220463.000,Cubic meters,823642.000,Cubic meters,705820.000,Cubic meters,1137893.000,Cubic meters,817809.000,Cubic meters
764,Thailand,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0.000,Tons,0.000,Tons,26517.000,Tons,563119.000,Tons,47362.000,Tons,57240.000,Cubic meters,61305.000,Tons,0.000,Tons,2.000,Tons,6.000,Tons,2.000,Tons,1.000,Tons,5702.000,Cubic meters,724988.000,Cubic meters,841528.000,Cubic meters,764285.000,Cubic meters,579170.000,Cubic meters,601942.000,Cubic meters,96200.000,Cubic meters,544972.000,Cubic meters,464470.000,Cubic meters,605080.000,Cubic meters,746150.000,Cubic meters
764,Thailand,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",741009.000,Tons,10574409.000,Tons,959301.000,Tons,1448444.000,Tons,1234504.000,Tons,1168207.000,Tons,960579.000,Cubic meters,597255.000,Tons,194250.000,Tons,329195.000,Tons,694433.000,Tons,572963.000,Tons,0,,1.000,Cubic meters,920336.000,Cubic meters,748535.000,Cubic meters,758638.000,Cubic meters,752151.000,Cubic meters,1012864.000,Cubic meters,836303.000,Cubic meters,240831.000,Cubic meters,144809.000,Cubic meters,430957.000,Cubic meters,0,
764,Thailand,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,90238.000,Tons,46043.000,Tons,1.000,Tons,141452.000,Tons,69322.000,Tons,63436.000,Cubic meters,340994.000,Tons,294958.000,Tons,255246.000,Tons,268886.000,Tons,160044.000,Tons,103100.000,Tons,88080.000,Cubic meters,238657.000,Cubic meters,240545.000,Cubic meters,200445.000,Cubic meters,291226.000,Cubic meters,136258.000,Cubic meters,191422.000,Cubic meters,37838.000,Cubic meters,1.000,Cubic meters,53784.000,Cubic meters,27438.000,Cubic meters
764,Thailand,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,48071.000,Cubic meters,44221.000,Cubic meters
764,Thailand,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",860504.000,Tons,381827.000,Tons,918054.000,Tons,192255.000,Tons,372118.000,Tons,250135.000,Tons,176111.000,Cubic meters,55225.000,Tons,0,,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Cubic meters,0,,0.000,Cubic meters,46470.000,Cubic meters,42245.000,Cubic meters,0.000,Cubic meters,48271.000,Cubic meters,0,,48271.000,Cubic meters,0.000,Cubic meters,0,
764,Thailand,050,Bangladesh,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.000,Tons,0,,0,,0,,39.000,Cubic meters,25.000,Cubic meters,0,,14.000,Cubic meters,0,,0,,0,,0,,0,
764,Thailand,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Cubic meters
764,Thailand,104,Myanmar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0.000,Cubic meters,0,,0.000,Cubic meters,0.000,Cubic meters,0,,0.000,Cubic meters,0,,0,,0,,0,,0,
764,Thailand,116,Cambodia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Cubic meters,1.000,Cubic meters,0.000,Cubic meters,0,,0,,0,,0,,0,,0,,0.000,Cubic meters,0.000,Cubic meters
