Country,Jan2002,Feb2002,Mar2002,Apr2002,May2002,Jun2002,Jul2002,Aug2002,Sep2002,Oct2002,Nov2002,Dec2002,Jan2003,Feb2003,Mar2003,Apr2003,May2003,Jun2003,Jul2003,Aug2003,Sep2003,Oct2003,Nov2003,Dec2003,Jan2004,Feb2004,Mar2004,Apr2004,May2004,Jun2004,Jul2004,Aug2004,Sep2004,Oct2004,Nov2004,Dec2004,Jan2005,Feb2005,Mar2005,Apr2005,May2005,Jun2005,Jul2005,Aug2005,Sep2005,Oct2005,Nov2005,Dec2005,Jan2006,Feb2006,Mar2006,Apr2006,May2006,Jun2006,Jul2006,Aug2006,Sep2006,Oct2006,Nov2006,Dec2006,Jan2007,Feb2007,Mar2007,Apr2007,May2007,Jun2007,Jul2007,Aug2007,Sep2007,Oct2007,Nov2007,Dec2007,Jan2008,Feb2008,Mar2008,Apr2008,May2008,Jun2008,Jul2008,Aug2008,Sep2008,Oct2008,Nov2008,Dec2008,Jan2009,Feb2009,Mar2009,Apr2009,May2009,Jun2009,Jul2009,Aug2009,Sep2009,Oct2009,Nov2009,Dec2009,Jan2010,Feb2010,Mar2010,Apr2010,May2010,Jun2010,Jul2010,Aug2010,Sep2010,Oct2010,Nov2010,Dec2010,Jan2011,Feb2011,Mar2011,Apr2011,May2011,Jun2011,Jul2011,Aug2011,Sep2011,Oct2011,Nov2011,Dec2011,Jan2012,Feb2012,Mar2012,Apr2012,May2012,Jun2012,Jul2012,Aug2012,Sep2012,Oct2012,Nov2012,Dec2012,Jan2013,Feb2013,Mar2013,Apr2013,May2013,Jun2013,Jul2013,Aug2013,Sep2013,Oct2013,Nov2013,Dec2013,Jan2014,Feb2014,Mar2014,Apr2014,May2014,Jun2014,Jul2014,Aug2014,Sep2014,Oct2014,Nov2014,Dec2014,Jan2015,Feb2015,Mar2015,Apr2015,May2015,Jun2015,Jul2015,Aug2015,Sep2015,Oct2015,Nov2015,Dec2015,Jan2016,Feb2016,Mar2016,Apr2016,May2016,Jun2016,Jul2016,Aug2016,Sep2016,Oct2016,Nov2016,Dec2016,Jan2017,Feb2017,Mar2017,Apr2017,May2017,Jun2017,Jul2017,Aug2017,Sep2017,Oct2017,Nov2017,Dec2017,Jan2018,Feb2018,Mar2018,Apr2018,May2018,Jun2018,Jul2018,Aug2018,Sep2018,Oct2018,Nov2018,Dec2018,Jan2019,Feb2019,Mar2019,Apr2019,May2019,Jun2019,Jul2019,Aug2019,Sep2019,Oct2019,Nov2019,Dec2019,Jan2020,Feb2020,Mar2020,Apr2020,May2020,Jun2020,Jul2020,Aug2020,Sep2020,Oct2020,Nov2020,Dec2020,Jan2021,Feb2021,Mar2021,Apr2021,May2021,Jun2021,Jul2021,Aug2021,Sep2021,Oct2021,Nov2021,Dec2021,Jan2022,Feb2022,Mar2022,Apr2022,May2022,Jun2022,Jul2022,Aug2022,Sep2022,Oct2022,Nov2022,Dec2022,Jan2023,Feb2023,Mar2023,Apr2023,May2023,Jun2023,Jul2023,Aug2023,Sep2023,Oct2023,Nov2023,Dec2023,Jan2024,Feb2024,Mar2024,Apr2024,May2024,Jun2024,Jul2024,Aug2024,Sep2024,Oct2024,Nov2024,Dec2024,Jan2025,Feb2025,Mar2025,Apr2025,May2025,Jun2025,Jul2025,Aug2025,Sep2025,Oct2025,Nov2025,Dec2025,Jan2026,Feb2026
Albania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Algeria,11284,11284,11284,12570,13175,14640,13454,12679,14070,15252,12510,15469,14849,11508,15190,14580,12741,15960,16709,17577,19200,24025,24180,23312,30380,26506,25017,25020,24428,30570,31186,32240,22380,28241,26430,23591,27962,27916,27900,31140,30101,30120,29729,29419,26430,31713,27750,31868,28024,23212,32891,27600,34069,30810,26164,26164,29550,30318,25950,29884,27280,24416,25606,31530,31527,31740,30101,28799,26640,25978,25020,29078,28303,22272,25823,28500,22041,24570,26288,28272,25740,27063,23190,24955,20429,25284,27776,19020,25327,22410,18259,26567,23640,24335,21420,21638,17794,27664,16554,23910,24180,23250,25544,19623,19770,18693,20130,24986,21204,20748,22599,21360,18290,20700,23188,21297,23160,20925,22830,21483,25358,21489,20708,16530,18724,20970,26815,22909,-,15779,21750,21235,17112,22512,22661,22920,16399,21120,17298,16678,19770,19158,13290,20553,13919,15428,22661,20580,15655,12450,16554,20274,14970,18197,17790,17577,16089,16044,20956,17430,18600,19380,17887,-,16320,16678,15720,17887,16244,15022,16740,16560,15128,16740,16058,18538,18990,22847,20220,20119,15717,14700,17019,20820,24149,14910,17701,16585,16260,11749,15270,18600,16275,12544,10137,11430,11873,20130,20677,14880,12270,14322,13530,14260,10819,22176,13795,-,13144,12300,-,-,15480,17422,14100,16368,15221,12122,12245,13020,11687,9690,8153,8277,7440,13082,10980,11160,7347,9884,8711,12360,9238,11850,11501,11191,12960,18228,9000,13888,12214,10696,12431,11490,13020,13200,11377,12710,10050,16585,10350,15035,15035,10248,12338,11250,14508,9570,13485,11718,11880,12245,11730,13330,13020,9686,-,12570,14415,14580,11470,11315,10290,13268,9900,14136,10106,11228,12865,14040,16523,11340,12121,10788,12150,11718,12840,13392,6169,14812
Angola,-,-,-,-,-,-,-,-,-,25453,26276,27750,-,22119,26246,24883,27499,24379,27232,26291,24883,25453,26276,27750,27410,27765,26194,28403,25757,24460,27528,28684,33908,16873,18318,17762,34575,28862,36057,32841,36746,34775,33093,35138,32322,40407,42437,44349,40473,40118,43378,39421,41088,39243,42756,46194,-,38147,44438,50588,50065,46620,51925,50280,54002,49800,46655,54901,48390,56141,49620,57753,54095,58551,48546,-,-,-,56668,58807,51180,55955,56340,54405,54157,47292,48980,46260,55490,62040,55552,53816,57360,57784,50550,56730,50592,53592,58497,50430,52297,49680,51305,51398,48090,-,48240,47399,51491,41664,46128,42330,42315,40170,49476,45415,46080,52793,48900,49662,50902,50141,47895,46770,50406,49290,47275,52824,46140,52917,48330,52762,51460,44548,53816,46740,53723,50130,51615,51615,48750,48856,48870,45322,47399,44884,46779,43890,50685,48390,45787,53041,49350,51336,44100,51150,54839,45332,50809,52650,44206,50430,54374,50840,51450,49228,51360,51553,51832,44863,52266,50160,52514,48750,53537,51212,46860,49352,46110,47430,47213,45416,47306,47130,46841,47790,44330,50158,46110,48112,49500,44826,42966,40936,44330,41490,45818,40800,39122,45663,42870,39029,44040,38905,39525,34048,0,37050,34534,35250,33077,35216,30270,30938,37710,36735,38316,33669,41571,33300,31806,32520,34286,29264,36930,30721,30660,33108,32705,24136,31372,28290,29946,27000,32054,26257,29670,26567,28890,35402,20553,31332,33418,25200,29884,31650,27714,30287,32880,27931,21570,29884,31031,27076,25358,21510,22227,29070,30256,30163,24390,21545,27360,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argentina,7543,7059,7279,0,0,0,0,0,0,0,0,0,6546,6564,5383,6586,7238,7297,6864,8437,9152,5421,7180,7212,4998,5987,6488,5976,5526,4609,5390,3901,6548,4891,4008,6066,6836,3263,4009,5914,7205,5496,4077,3877,5181,2514,2492,2555,3163,2471,2443,1366,2140,1740,3064,2727,1594,1370,1560,1284,2211,1722,2966,2033,993,1012,1010,1756,1492,2592,1744,1233,2682,2438,1293,2092,5,116,1068,2075,1315,2223,2084,3296,116,1068,2083,1315,2223,2702,2078,1237,3083,5396,2422,1977,3708,1026,3032,2059,3062,2537,2537,3295,2233,3255,3462,969,1596,2432,1038,0,0,0,2021,2593,2040,2012,1944,2770,2030,2021,899,2437,2437,2414,1008,2028,2839,2165,1646,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274,1048,851,1874,0,0,461,1123,962,941,1572,1253,1313,1151,815,1469,618,19,523,2324,734,1481,1044,1104,994,2456,1216,1746,252,1028,1184,1637,2195,1589,1263,999,0,0,988,-,0,1352,0,2027,2062,1156,2147,1221,2030,1241,991,1172,2530,-,-,-,3286,1355,1355,2000,1534,1881,1426,2456,2394,2039,1827,2566,1950,1653,1057,1096,1564,3976,4095,2057,2394,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australia,12831,10178,9500,11320,9994,9728,12654,11880,11070,8490,10804,10392,7901,7164,7893,9353,8372,8689,10060,9846,10134,7407,8232,8431,7650,7621,8247,6235,4908,6854,8962,7208,6957,6655,7105,6471,6876,6397,6626,7215,7643,7112,9205,6405,6014,5719,7002,7112,4031,6287,4673,4938,3427,4599,8291,5137,8822,7812,5594,9537,7488,6574,7407,7444,5063,7053,7119,9257,5454,7753,7591,6545,7385,6773,6648,6596,7444,7341,7584,7149,8070,8063,9308,8822,7318,8313,7164,6206,7223,7429,7864,7245,6567,10252,6095,8800,6220,6265,8807,11962,9883,9787,13192,9456,8792,9087,11062,10141,6294,7341,8770,9028,7680,8439,7237,8704,9758,9426,7311,9271,7193,5697,8756,6051,8918,7680,9021,8932,8343,9478,7930,7650,6692,3707,6390,5800,7230,5351,8173,6950,6272,6132,4908,7731,6338,6707,7112,6950,6884,7532,8837,6832,7901,8144,7790,8129,8026,7311,4791,6147,5093,4894,7820,7547,7083,6604,8660,6876,5918,5815,7223,5726,3921,5837,5962,7341,5026,7156,7296,5800,4783,4120,7753,3250,6780,6206,6773,5756,6441,5365,3847,4540,7031,5122,7694,4496,6412,7083,5461,7038,5336,6957,8977,6714,7053,6088,5284,7009,5697,8247,6102,8704,8630,9102,10163,8748,8601,4805,9692,7481,6117,8387,5844,11239,8999,7119,7650,6721,6316,7753,7193,9102,8166,5358,6360,10694,9883,8829,8593,9618,8461,5675,6375,7731,7547,9544,5741,8549,8859,9515,7156,8593,7945,7864,7252,8468,8652,7849,8085,7709,6508,6161,9441,6596,9227,6161,8254,6257,7333,8505,7399,8195,5542,7333,7613,6773,6102,6655,5911,9213,7510,6950,7488,6604,7908,6758,6257,7296,9404,7576
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,5550,5188,5852,5159,4724,4636,5454,5867,5638,5631,5925,5822,5233,4606,5321,6294,6441,5321,5933,5778,5528,5557,5100,5203,5122,5071,5852,5395,5476,5690,3751,6456,6043,6265,5925,5638,6147,6124,6633,6611,7009,8240,9375,9006,9743,10672,10502,11674,11475,11276,12765,13517,13671,13679,16715,18020,17577,18101,17297,18816,18388,21071,21181,19243,23569,21122,24255,23179,10613,23577,22221,22449,23451,23805,24608,25441,27866,26517,28795,15624,19545,16030,18351,21624,22854,23989,27741,27674,29731,28529,29274,27807,27343,29148,27158,24292,25102,22302,25935,26333,27763,26348,27601,27586,26643,27085,25802,23577,25441,23871,24881,23731,24468,24188,22221,24299,22346,22132,19037,18049,23208,21277,23341,20555,22537,22081,21771,21041,19877,19103,19575,21329,21904,20385,20990,20747,22103,21351,21734,21940,20157,20857,19427,20990,20113,19287,21366,22221,22154,20400,21535,20864,19162,20754,14482,22147,20813,19442,21100,19818,20127,20385,20747,20024,20466,20385,18543,20209,20083,19383,21159,20887,20680,21145,21100,20872,18020,20209,16487,19774,19140,16885,18351,18123,18491,18816,19051,19162,18904,19295,18720,19759,19155,17261,19243,18381,19088,18624,18292,18189,17865,19214,17953,18860,18241,16516,18646,14099,17474,17209,17526,17143,16826,16752,16339,17415,16752,15536,16737,17275,14556,13605,14062,14821,15610,14836,14379,14836,16634,14290,15543,13959,14740,14548,14718,14534,13981,14637,14025,14578,14077,12898,13635,14467,14946,12043,13465,13200,12757,13237,13104,13244,13074,11622,12485,11755,12183,11814,11829,11770,11210,11387,11261,11534,12072,10650,12433,11188,11475,11962,12971,12109,11107,11939,13141,12905,11984,11092,12013,11600,11917,11350,11844,11696,11549,11836,10900,11055,10274,-
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4405,4757,4801,4699,4574,3841,564,4508,4508,4662,4259,4794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4879,3995,3567,4650,4901,4525,4989,5174,4658,5004,5107,4643,5682,4105,3051,3574,3648,6685,4068,4577,5078,4518,4614,5041,4621,6132,4599,5181,4540,4665,4555,4496,4533,4584,4665,4562,4289,4643,6169,4142,4872,4540,4547,4533,4024,4805,5107,4488,5557,4112,4547,4592,5115,4525,4599,4525,4555,5041,5026,4533,3965,4378,4496,4061,3980,4982,4481,4039,4982,5107,5056,5004,5107,3501,5048,3081,3626,5078,4540,4945,4967,4201,4761,4886,5144,4908,3987,4989,3213,3766,4547,4606,4260,4370,3626,3633,4311,4466,4665,4827,4090,4510,4525,4238,4569,4805,4555,4407,4584,4459,1924,862,4378
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
