reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
156,China,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1296176,1661601,1324692,2696013,2736980,2538309,3002937,2155729,1644813,1905684,2226025,1456209,490697,1545644,943491,1822372,1270422,361760,481626,1010394,1438104,843802,1181828,2249327
156,China,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",128711,268404,302329,569989,638274,724538,515315,696609,281594,110127,73466,0,67711,185180,317549,379330,200785,148865,216264,231002,331725,168499,344418,334449
156,China,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",577321,731511,117885,343382,384389,303634,1011166,344203,342096,935935,1170011,561358,157297,647533,382421,703948,721136,0,28996,28293,0,0,292703,84570
156,China,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",80240,28706,121255,215643,69539,9992,110500,15363,71557,27412,143914,147540,0,49986,0,161112,16902,0,39319,349474,508347,450175,227147,1269625
156,China,344,"Hong Kong, China",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,5,0,0,44440,0,0,0,0,0,0,0,0,0,102758,65097,0,0,0,0,0,137453,0
156,China,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",51567,33268,13368,227793,218292,462841,258895,237168,39295,45431,10149,0,0,10578,63661,74870,80982,154394,63526,186554,177277,225128,136161,0
156,China,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",187455,297301,364891,583004,501006,244015,129323,50861,53650,0,0,0,0,0,0,58238,0,0,0,0,0,0,43945,323045
156,China,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",36066,44911,109403,122709,135016,31396,0,162035,33813,32452,46276,0,0,0,34309,0,0,0,0,0,0,0,0,0
156,China,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36145
156,China,104,Myanmar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130439,58501,80002,131916,295164,0,0,0
156,China,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,China,288,Ghana,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39978
156,China,328,Guyana,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161515
156,China,364,"Iran, Islamic Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,265686,121970,0,0,0,0,0,0,0,0,0,0
156,China,408,"Korea, Democratic People's Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",76468,121004,139326,197675,246898,281979,414310,238555,325774,518361,577896,598134,0,0,0,0,0,0,0,0,0,0,0,0
156,China,490,"Taipei, Chinese",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
156,China,579,Norway,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,China,608,Philippines,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,14710,0,0,0,0,0,21645,0,0,0,0,0,0,113374,55081,0,0,0,0,0,0,0
156,China,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",8176,0,0,0,0,0,0,46110,0,0,0,0,0,291069,0,0,0,0,19250,83155,0,0,0,0
156,China,704,Viet Nam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,79360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,China,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,23024,3659,103372,122495,83086,128265,62588,31488,0,0,0,74828,138945,0,0,0,0,33357,0,0,0
156,China,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,193864,0,0,0,0,0,0,0,0,0,0
156,China,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",150170,136494,141519,412792,539907,332102,440933,281739,267764,173378,172825,149176,4,45465,70652,89798,0,0,34268,0,92233,0,0,0
