reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
156,China,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",7664627.000,Tons,8133323.000,Tons,5491571.000,Tons,8066870.000,Tons,6337217.000,Tons,5782245.000,Tons,4237540.000,Tons,5072466.000,Tons,3029128.000,Tons,2514344.000,Tons,2432136.000,Tons,1617328.000,Tons,600193.000,Tons,2865567.000,Tons,2940627.000,Tons,4860985.000,Tons,2626588.000,Tons,810026.000,Tons,1638107.000,Tons,2610762.000,Tons,2052010.000,Tons,1420844.000,Tons,2089748.000,Tons,4281326.000,Tons
156,China,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",445846.000,Tons,136696.000,Tons,498268.000,Tons,588707.000,Tons,147658.000,Tons,26193.000,Tons,155592.000,Tons,39695.000,Tons,117454.000,Tons,38284.000,Tons,184087.000,Tons,193659.000,Tons,0,,58869.000,Tons,0,,415317.000,Tons,39093.000,Tons,0,,120354.000,Tons,1014909.000,Tons,824324.000,Tons,763254.000,Tons,445304.000,Tons,2527696.000,Tons
156,China,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1043922.000,Tons,1339631.000,Tons,1382838.000,Tons,1623134.000,Tons,1041548.000,Tons,509004.000,Tons,253119.000,Tons,87655.000,Tons,82603.000,Tons,0,,0,,0,,0,,0,,0,,167795.000,Tons,0,,0,,0,,0,,0,,0,,81278.000,Tons,624634.000,Tons
156,China,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",952089.000,Tons,1464813.000,Tons,1445685.000,Tons,2050792.000,Tons,1752060.000,Tons,1815384.000,Tons,812977.000,Tons,1631527.000,Tons,623986.000,Tons,314002.000,Tons,87117.000,Tons,0,,93573.000,Tons,284851.000,Tons,1067402.000,Tons,1089581.000,Tons,419468.000,Tons,317289.000,Tons,695482.000,Tons,590863.000,Tons,385899.000,Tons,270657.000,Tons,540324.000,Tons,532507.000,Tons
156,China,328,Guyana,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,317753.000,Tons
156,China,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3227181.000,Tons,3555455.000,Tons,493231.000,Tons,954795.000,Tons,862756.000,Tons,632741.000,Tons,1269496.000,Tons,727981.000,Tons,603059.000,Tons,1200151.000,Tons,1331925.000,Tons,646406.000,Tons,185948.000,Tons,1548330.000,Tons,1177307.000,Tons,1895532.000,Tons,1519591.000,Tons,0,,87963.000,Tons,69720.000,Tons,0,,0,,494882.000,Tons,130576.000,Tons
156,China,288,Ghana,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,79221.000,Tons
156,China,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,68939.000,Tons
156,China,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",204281.000,Tons,221531.000,Tons,444232.000,Tons,350059.000,Tons,276407.000,Tons,77494.000,Tons,0,,321611.000,Tons,53671.000,Tons,48141.000,Tons,55262.000,Tons,0,,0,,0,,78225.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
156,China,104,Myanmar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,274049.000,Tons,133024.000,Tons,266515.000,Tons,276640.000,Tons,406810.000,Tons,0,,0,,0,
