reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit
643,Russian Federation,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",175723529.000,Tons,208901153.000,Tons,239811732.000,Tons,234250128.000,Tons,227555827.000,Tons,238542348.000,Tons,221639174.000,Tons,226041554.000,Tons,230072754.000,Tons,219099701.000,Tons,239963823.000,Tons,236617646.000,Tons,223437883.000,Tons,235098931.000,Tons,254767395.000,Tons,252637316.000,Tons,260171114.000,Tons,267466479.000,Tons,239170418.000,Tons,231585193.000,Tons
643,Russian Federation,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2561985.000,Tons,4426896.000,Tons,7364758.000,Tons,8067773.000,Tons,10973174.000,Tons,11746931.000,Tons,11195266.000,Tons,12125623.000,Tons,12837425.000,Tons,21318542.000,Tons,22402997.000,Tons,23033120.000,Tons,29978165.000,Tons,36003433.000,Tons,47584266.000,Tons,52566633.000,Tons,66957523.000,Tons,69647399.000,Tons,75265880.000,Tons,71018805.000,Tons
643,Russian Federation,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",16735281.000,Tons,21461086.000,Tons,35560237.000,Tons,40691388.000,Tons,46845494.000,Tons,50256690.000,Tons,47026354.000,Tons,49995896.000,Tons,56919172.000,Tons,41590598.000,Tons,50650298.000,Tons,43291211.000,Tons,42703982.000,Tons,41827938.000,Tons,49889532.000,Tons,47038424.000,Tons,42156213.000,Tons,46171652.000,Tons,31792130.000,Tons,37358547.000,Tons
643,Russian Federation,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",21132915.000,Tons,25170689.000,Tons,26394769.000,Tons,27386027.000,Tons,25217875.000,Tons,23637348.000,Tons,19640526.000,Tons,20072405.000,Tons,18507270.000,Tons,21076142.000,Tons,21422783.000,Tons,18714733.000,Tons,17266524.000,Tons,20811366.000,Tons,23567472.000,Tons,24208368.000,Tons,23341046.000,Tons,18921720.000,Tons,21819623.000,Tons,19169903.000,Tons
643,Russian Federation,112,Belarus,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,21238122.000,Tons,20675955.000,Tons,23321770.000,Tons,22628984.000,Tons,18425946.000,Tons,18069754.000,Tons,18268922.000,Tons,18035466.000,Tons,14745853.000,Tons,15621839.000,Tons
643,Russian Federation,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1835645.000,Tons,799699.000,Tons,832111.000,Tons,865106.000,Tons,1396603.000,Tons,7374971.000,Tons,5756566.000,Tons,6143666.000,Tons,10066837.000,Tons,9863105.000,Tons,8960326.000,Tons,9476468.000,Tons,10802407.000,Tons,11961431.000,Tons,12426913.000,Tons,12539628.000,Tons,15273515.000,Tons,15303048.000,Tons,14553482.000,Tons,13544975.000,Tons
643,Russian Federation,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",16037310.000,Tons,16784051.000,Tons,17162249.000,Tons,17479327.000,Tons,19035349.000,Tons,18558690.000,Tons,20939787.000,Tons,20742488.000,Tons,21137167.000,Tons,22573537.000,Tons,20634059.000,Tons,21121484.000,Tons,18071352.000,Tons,18978254.000,Tons,18930239.000,Tons,17263186.000,Tons,17560062.000,Tons,13319851.000,Tons,14876271.000,Tons,11207471.000,Tons
643,Russian Federation,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",19963267.000,Tons,21205768.000,Tons,25608812.000,Tons,29047817.000,Tons,29544675.000,Tons,30387649.000,Tons,28926281.000,Tons,30304020.000,Tons,26355911.000,Tons,22061843.000,Tons,19724158.000,Tons,21244497.000,Tons,20907721.000,Tons,19141738.000,Tons,15570768.000,Tons,15535675.000,Tons,13106165.000,Tons,14610792.000,Tons,12604784.000,Tons,8889161.000,Tons
643,Russian Federation,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2558165.000,Tons,2849044.000,Tons,5044942.000,Tons,1841648.000,Tons,1809589.000,Tons,1516471.000,Tons,3448616.000,Tons,4613224.000,Tons,7288427.000,Tons,6861161.000,Tons,3844922.000,Tons,1571566.000,Tons,100022.000,Tons,805143.000,Tons,504609.000,Tons,642163.000,Tons,1778613.000,Tons,4733873.000,Tons,2784667.000,Tons,7366723.000,Tons
643,Russian Federation,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4116466.000,Tons,6005928.000,Tons,8299825.000,Tons,8013000.000,Tons,8187312.000,Tons,9578146.000,Tons,10539405.000,Tons,9435641.000,Tons,10392301.000,Tons,8222014.000,Tons,8151904.000,Tons,9446591.000,Tons,7692170.000,Tons,9106338.000,Tons,9723414.000,Tons,9489617.000,Tons,10178506.000,Tons,9851686.000,Tons,9228739.000,Tons,6292061.000,Tons
