reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
579,Norway,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",139936432.000,Tons,133622121.000,Tons,129935599.000,Tons,117021966.000,Tons,105110518.000,Tons,99245175.000,Tons,91299596.000,Tons,87982751.000,Tons,79030886.000,Tons,70575497.000,Tons,64895575.000,Tons,60536711.000,Tons,63328091.000,Tons,64027313.000,Tons,69784885.000,Tons,67894757.000,Tons,62418047.000,Tons,61028341.000,Tons,75083479.000,Tons,79706412.000,Tons,77622071.000,Tons,84567954.000,Tons,84012504.000,Tons,85260077.000,Tons
579,Norway,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",45885496.000,Tons,45928396.000,Tons,45432458.000,Tons,45114809.000,Tons,44890486.000,Tons,42226169.000,Tons,39298914.000,Tons,35399121.000,Tons,38492094.000,Tons,35198117.000,Tons,29178934.000,Tons,24437893.000,Tons,26498377.000,Tons,28645916.000,Tons,28532135.000,Tons,28389534.000,Tons,23828515.000,Tons,23801145.000,Tons,23784226.000,Tons,24153437.000,Tons,24946618.000,Tons,23406102.000,Tons,22555819.000,Tons,20624643.000,Tons
579,Norway,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",20347736.000,Tons,17888995.000,Tons,18304387.000,Tons,15141617.000,Tons,14532224.000,Tons,11971335.000,Tons,12620072.000,Tons,15584344.000,Tons,14571754.000,Tons,11912520.000,Tons,11912338.000,Tons,13379916.000,Tons,16967918.000,Tons,14001474.000,Tons,16295052.000,Tons,11879584.000,Tons,11934830.000,Tons,12204728.000,Tons,10481074.000,Tons,12428813.000,Tons,13833297.000,Tons,13279176.000,Tons,12551763.000,Tons,15463746.000,Tons
579,Norway,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",22000.000,Tons,0,,132015.000,Tons,130234.000,Tons,119684.000,Tons,613544.000,Tons,1206822.000,Tons,575800.000,Tons,1173142.000,Tons,1443062.000,Tons,826812.000,Tons,755630.000,Tons,517198.000,Tons,418966.000,Tons,88207.000,Tons,313866.000,Tons,826091.000,Tons,456796.000,Tons,371723.000,Tons,1255633.000,Tons,4308505.000,Tons,12948981.000,Tons,11176230.000,Tons,12998409.000,Tons
579,Norway,752,Sweden,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5365003.000,Tons,5484649.000,Tons,4374651.000,Tons,4302476.000,Tons,4007876.000,Tons,3987993.000,Tons,4692197.000,Tons,4378792.000,Tons,5324786.000,Tons,3634884.000,Tons,4719541.000,Tons,3740463.000,Tons,3098429.000,Tons,4554859.000,Tons,3655018.000,Tons,3682821.000,Tons,4357097.000,Tons,5720714.000,Tons,10948616.000,Tons,11204643.000,Tons,10914572.000,Tons,10247195.000,Tons,8355076.000,Tons,8078373.000,Tons
579,Norway,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",9889517.000,Tons,11412266.000,Tons,11630640.000,Tons,9667534.000,Tons,6174343.000,Tons,8807666.000,Tons,7165278.000,Tons,6412543.000,Tons,4273206.000,Tons,2822239.000,Tons,4669736.000,Tons,5521959.000,Tons,7231352.000,Tons,5645924.000,Tons,5247252.000,Tons,6413824.000,Tons,5972527.000,Tons,5229864.000,Tons,3111414.000,Tons,3262286.000,Tons,5909063.000,Tons,6202045.000,Tons,8208063.000,Tons,6023822.000,Tons
579,Norway,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2054890.000,Tons,1164430.000,Tons,588939.000,Tons,215351.000,Tons,1311658.000,Tons,579199.000,Tons,1140632.000,Tons,853030.000,Tons,538904.000,Tons,1267663.000,Tons,1141608.000,Tons,523196.000,Tons,1454121.000,Tons,644613.000,Tons,879534.000,Tons,1507412.000,Tons,1835882.000,Tons,1234825.000,Tons,1487915.000,Tons,1074322.000,Tons,6688710.000,Tons,8218749.000,Tons,7055355.000,Tons,8745553.000,Tons
579,Norway,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",11189815.000,Tons,11321800.000,Tons,11413205.000,Tons,11679345.000,Tons,8417607.000,Tons,8958005.000,Tons,10300753.000,Tons,7928721.000,Tons,4905534.000,Tons,4876129.000,Tons,3542323.000,Tons,3167388.000,Tons,1590982.000,Tons,1759745.000,Tons,3995827.000,Tons,2919736.000,Tons,1800913.000,Tons,1904511.000,Tons,1890274.000,Tons,1917875.000,Tons,1368954.000,Tons,1357386.000,Tons,2727709.000,Tons,2858323.000,Tons
579,Norway,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5158261.000,Tons,4139859.000,Tons,2367770.000,Tons,2240308.000,Tons,2649804.000,Tons,2306272.000,Tons,2489906.000,Tons,2337782.000,Tons,1273087.000,Tons,627526.000,Tons,374419.000,Tons,606726.000,Tons,450462.000,Tons,82941.000,Tons,436058.000,Tons,729015.000,Tons,892015.000,Tons,679774.000,Tons,1132976.000,Tons,1248321.000,Tons,959157.000,Tons,2572566.000,Tons,1886700.000,Tons,2176075.000,Tons
579,Norway,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2282008.000,Tons,1456799.000,Tons,661637.000,Tons,265246.000,Tons,1351110.000,Tons,275563.000,Tons,0,,40100.000,Tons,0,,186777.000,Tons,0,,0,,0,,0,,0,,0,,275765.000,Tons,2950474.000,Tons,13527666.000,Tons,11863538.000,Tons,4206488.000,Tons,1129870.000,Tons,1853931.000,Tons,1212877.000,Tons
