reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
826,United Kingdom,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",15203590,15223054,17310300,20017577,23650056,25733145,30963906,19820982,25422001,27911466,30654267,29793875,28857385,16192669,13187271,19138448,27633053,23679681,16051715,17006607,21273239,20837958,19946703,16562409
826,United Kingdom,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3985628,3890838,3987194,4506685,5797770,7080264,8963202,7785217,9394127,9075572,12506394,10285044,10192616,4950142,4359372,6362641,10718766,8007058,6885226,7420371,9135354,8893109,7941096,5596406
826,United Kingdom,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,31136,151561,216156,164544,143848,384048,932248,0,205024,196204,36348,0,33725,326183,391174,125767,52420,1410172,2033506,2338842,3391439
826,United Kingdom,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1758976,2042871,3293228,4815821,5424270,5168126,8300504,3565340,5503434,6181600,8500926,5618312,7146774,4021560,2254616,2420757,2806996,4469634,2483689,1268281,1968781,2544933,2225880,1515297
826,United Kingdom,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",219675,34314,41787,0,0,0,0,0,0,0,0,320541,1096927,991349,2015095,3649837,4863531,5323294,2172507,2632080,1544721,1187837,1695682,1590538
826,United Kingdom,752,Sweden,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",450970,402191,620605,353113,551849,416038,522037,332315,861797,923766,1395092,716327,1189468,266357,271430,532454,730250,621385,634366,563414,1262138,855099,1459266,1044419
826,United Kingdom,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2014582,2519223,2766874,2123061,3881187,3185675,2485417,1240767,2175967,3298887,2647435,3644806,2872730,1621349,905975,1187633,1268123,894240,561944,529629,1475482,1434348,819213,1009380
826,United Kingdom,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84446,24273,0,756654,277838,698216,639982
826,United Kingdom,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",970234,680556,706192,578620,1196140,601386,465586,298457,313814,314727,254546,38437,0,6,354691,161442,305604,234919,0,361200,0,437106,664278,583471
826,United Kingdom,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",67140,68305,76863,253176,427819,804386,188070,0,0,0,0,189398,185297,29881,0,24766,90906,84100,78040,0,459015,472881,564393,60944
