reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
381,Italy,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",892850.000,Tons,802523.000,Tons,824205.000,Tons,986121.000,Tons,0.000,No quantity,1463444.000,Tons,1195505.000,Tons,619630.000,Tons,423777.000,Tons,713237.000,Tons,920740.000,Tons,604884.000,Tons,591826.000,Tons,897433.000,Tons,834731.000,Tons,1062148.000,Tons,697097.000,Tons,131413.000,Tons,0.000,No quantity,1212893.000,Tons,0.000,No quantity,0.000,No quantity,1392422.000,Tons,0.000,No quantity
381,Italy,792,Türkiye,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",480448.000,Tons,386678.000,Tons,150244.000,Tons,0,,30255.000,Tons,362411.000,Tons,448830.000,Tons,175075.000,Tons,112037.000,Tons,116623.000,Tons,258649.000,Tons,265405.000,Tons,177304.000,Tons,298248.000,Tons,30910.000,Tons,136426.000,Tons,87253.000,Tons,0,,0,,171213.000,Tons,60870.000,Tons,645909.000,Tons,629410.000,Tons,620536.000,Tons
381,Italy,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",84755.000,Tons,56046.000,Tons,112755.000,Tons,154348.000,Tons,59857.000,Tons,100928.000,Tons,134864.000,Tons,57047.000,Tons,78996.000,Tons,54161.000,Tons,50041.000,Tons,80421.000,Tons,52258.000,Tons,115293.000,Tons,183958.000,Tons,179858.000,Tons,57668.000,Tons,90199.000,Tons,568779.000,Tons,774357.000,Tons,596538.000,Tons,564641.000,Tons,517809.000,Tons,468208.000,Tons
381,Italy,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",211799.000,Tons,159274.000,Tons,273152.000,Tons,421666.000,Tons,399439.000,Tons,387547.000,Tons,91694.000,Tons,1.000,Tons,53.000,Tons,117147.000,Tons,85959.000,Tons,0.000,Tons,90607.000,Tons,116932.000,Tons,264789.000,Tons,204625.000,Tons,147095.000,Tons,3730.000,Tons,59255.000,Tons,91131.000,Tons,81267.000,Tons,50820.000,Tons,80958.000,Tons,12.000,Tons
381,Italy,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",115842.000,Tons,84047.000,Tons,131325.000,Tons,113437.000,Tons,84878.000,Tons,120439.000,Tons,136990.000,Tons,53490.000,Tons,57667.000,Tons,255359.000,Tons,280528.000,Tons,145173.000,Tons,242875.000,Tons,221331.000,Tons,202200.000,Tons,314847.000,Tons,113758.000,Tons,29063.000,Tons,76526.000,Tons,57487.000,Tons,86943.000,Tons,161691.000,Tons,75725.000,Tons,52845.000,Tons
381,Italy,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,4.000,Tons,0,,0,,0,,6.000,Tons,0,,0,,0,,0,,0,,0,,86631.000,Tons,58095.000,Tons,28807.000,Tons,28664.000,Tons,0,,0,,0,,0,,0,,29621.000,Tons,220.000,Tons
381,Italy,376,Israel,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,55655.000,Tons,0,,0,,0,,0,,0,,0,,27900.000,Tons,0,,0,,82494.000,Tons,29260.000,Tons,27471.000,Tons
381,Italy,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,30613.000,Tons,70.000,Tons,0,,0,,0,,0,,0.000,Tons,1.000,Tons,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,26500.000,Tons,103837.000,Tons
381,Italy,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1.000,Tons,2.000,Tons,60358.000,Tons,269719.000,Tons,148585.000,Tons,274770.000,Tons,31259.000,Tons,112141.000,Tons,27806.000,Tons,146275.000,Tons,233680.000,Tons,58174.000,Tons,28736.000,Tons,0,,29805.000,Tons,29444.000,Tons,207545.000,Tons,0.000,Tons,84120.000,Tons,58366.000,Tons,52542.000,Tons,0,,3100.000,Tons,0,
381,Italy,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20.000,Tons,0,
