reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
360,Indonesia,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",25823309.000,Tons,23455753.368,Tons,22254558.000,Tons,21834114.000,Tons,17853047.000,Tons,17352386.000,Tons,,Mixed,17852992.000,Tons,18136467.000,Tons,15076843.000,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed
360,Indonesia,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3263245.000,Tons,3332563.000,Tons,3427677.000,Tons,4087671.000,Tons,2122266.000,Tons,2282540.000,Tons,1392241.000,Tons,3234410.000,Tons,1392432.000,Tons,717165.000,Tons,548181.000,Tons,684407.000,Tons,375149.000,Tons,1615469.000,Tons,2846633.000,Tons,1486043.000,Tons,459947.000,Tons,280437.000,Tons,1513044.000,Tons,971376.000,Tons,779817.000,Tons,117091.000,Tons,147303.000,Tons,14526180.000,Tons
360,Indonesia,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",666940.000,Tons,800998.000,Tons,511877.000,Tons,1071236.000,Tons,1117198.000,Tons,689414.000,Tons,692257.000,Cubic meters,1183793.000,Tons,1001167.000,Tons,518837.000,Tons,1560221.000,Tons,1824928.000,Tons,1452287.000,Tons,2900514.000,Cubic meters,2944678.000,Cubic meters,2972004.000,Cubic meters,2478628.000,Cubic meters,1604733.000,Cubic meters,1876853.000,Cubic meters,3045915.000,Cubic meters,1674333.000,Cubic meters,2728201.000,Cubic meters,3066106.000,Cubic meters,3030974.000,Cubic meters
360,Indonesia,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5967124.000,Tons,4818743.000,Tons,5250329.000,Tons,5194066.000,Tons,3269173.000,Tons,2336225.000,Tons,2353590.000,Tons,2854543.000,Tons,3997516.000,Tons,2904327.000,Tons,2109966.000,Tons,1514790.000,Tons,1036227.000,Tons,1129207.000,Tons,880066.000,Tons,1090331.000,Tons,1022518.000,Tons,403711.000,Tons,51700.000,Tons,86377.000,Tons,0,,134802.000,Tons,165848.000,Tons,218009.000,Tons
360,Indonesia,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",642511.000,Tons,143220.368,Tons,365150.000,Tons,42087.000,Tons,501718.000,Tons,954774.000,Tons,338344.000,Tons,576226.000,Tons,47188.000,Tons,287971.000,Tons,78913.000,Tons,253179.000,Tons,169575.000,Tons,476609.000,Tons,394532.000,Tons,689701.000,Tons,698228.000,Tons,126242.000,Tons,68463.000,Tons,125341.000,Tons,43680.000,Tons,62043.000,Tons,157902.000,Tons,139825.000,Tons
360,Indonesia,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,1374853.000,Tons,890472.000,Tons,712190.000,Tons,570458.000,Tons,444268.000,Tons,1292555.000,Tons,1179562.000,Tons,1145220.000,Tons,715032.000,Tons,357012.000,Tons,871002.000,Tons,1497934.000,Tons,1186370.000,Tons,1212191.000,Tons,1488771.000,Tons,770758.000,Tons,619607.000,Tons,382163.000,Tons,567091.000,Tons,82278.000,Tons,152719.000,Tons,377083.000,Tons,54194.000,Tons
360,Indonesia,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4906360.000,Tons,3277427.000,Tons,2914186.000,Tons,3539697.000,Tons,2976493.000,Tons,3156999.000,Tons,2613906.000,Tons,3520644.000,Tons,3957126.000,Tons,3087789.000,Tons,3795425.000,Cubic meters,3008245.000,Cubic meters,2418265.000,Cubic meters,3081889.000,Cubic meters,2361224.000,Cubic meters,1821047.000,Cubic meters,1715145.000,Cubic meters,909678.000,Cubic meters,433400.000,Cubic meters,599582.000,Cubic meters,212488.000,Cubic meters,51903.000,Cubic meters,189128.000,Cubic meters,30277.000,Cubic meters
360,Indonesia,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",7283344.000,Tons,7580849.000,Tons,6478093.000,Tons,5556193.000,Tons,5616086.000,Tons,5692205.000,Tons,6306284.000,Tons,3133221.000,Tons,4038966.000,Tons,5319684.000,Tons,6687868.000,Tons,6085379.000,Tons,4527224.000,Tons,3790900.000,Tons,2766529.000,Tons,1914630.000,Tons,1147315.000,Tons,255397.000,Tons,0,,150781.000,Tons,51056.000,Tons,249156.000,Tons,166251.000,Tons,19342.000,Tons
360,Indonesia,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,32825.000,Tons,75426.000,Tons,0,,87717.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
360,Indonesia,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,158667.000,Tons,0,
