reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand)
566,Nigeria,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",16598258,23210023,,,54915839,50149246,74832133,42212038,60904646,90118895,99054530,74040249,72039815,34402932,28523867,33254677,43566996,41045144,25161351,36256294,49871423,48909518,38404923
566,Nigeria,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",980566,1262844,,,3254904,1834146,3208738,1886754,2139748,5946403,4241358,4305949,4734912,2172358,1794015,2470815,3407507,2680945,746974,2183295,3161723,3635710,4165616
566,Nigeria,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1020486,1483728,,,3752004,608064,2738307,2037027,2470763,4703592,6254455,5648698,6987608,3664351,2360683,3146835,4573324,4450807,2718108,4670605,5547556,4060639,4026098
566,Nigeria,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",209031,529018,,,1408609,0,3119357,1269502,3282983,2512583,9315265,7747340,8729469,5027210,2460106,3098849,4273902,4503816,2636877,2591275,5704141,7071961,3486920
566,Nigeria,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5606581,8912294,,,24850097,24469019,34384054,12826301,23155706,21758807,15389644,6789677,2453621,724239,3993454,4808804,3068203,2708946,784578,1693675,3473228,3623708,3387593
566,Nigeria,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",229722,753712,,,2230713,1016056,1489208,1755633,2529439,1456457,2171267,1534826,145928,527441,941919,1403279,1470650,1338196,755086,2124406,1864234,3564281,2898211
566,Nigeria,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",963300,770477,,,0,0,228112,607025,935900,936051,1501518,1995645,3715948,1106562,1313724,1300465,2126581,1432317,694223,1802280,4554533,3878719,2878432
566,Nigeria,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",654267,667983,,,1125106,258343,2323124,1668736,1782614,4393580,6357176,5490787,3254587,1002832,678855,886863,1508910,2078376,1135189,1837413,2498424,2166569,2713965
566,Nigeria,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2107143,2375457,,,5316901,4304538,7757116,4662843,6917556,9822463,13702537,10440439,12885746,7597137,5738255,6575916,7680055,7572968,4359122,7207530,7141520,4443693,2272454
566,Nigeria,384,Côte d'Ivoire,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",269984,359832,,,2141634,1119173,1818563,1488377,1200215,1469177,1969663,2225748,2176066,1034302,823514,586165,1111996,1132000,797717,1285295,2032178,2351303,1949347
566,Nigeria,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",388949,587816,,,995077,1373034,2605111,1653226,1621147,2308598,3414886,4228817,4512093,2527174,1896956,1821360,3371314,3127202,2524270,1559464,1388731,2151208,1899790
566,Nigeria,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,26085,,,0,28812,1044609,923452,890397,2013198,4940538,4053406,2665541,1396921,1168296,1084033,1893810,1079342,755262,1031159,1005036,2181159,1208697
566,Nigeria,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",361173,505000,,,0,1144113,1022762,418369,509887,740880,1439222,1482915,1524808,734920,570887,581987,1057359,879608,244413,726344,667084,766336,836538
566,Nigeria,604,Peru,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",27772,115291,,,576277,357871,185097,269714,500042,362509,849220,212211,368715,0,53490,47156,124378,153080,124347,235242,396264,573539,761624
566,Nigeria,686,Senegal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",118575,254124,,,0,70037,934032,283946,189314,472004,844217,621516,633407,438755,495831,336403,585055,380343,332549,559012,700012,788292,659303
566,Nigeria,752,Sweden,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,416948,23452,50250,0,948790,1244215,1337816,413897,697185,882035,2015504,853337,234200,202095,1290731,735254,566894
566,Nigeria,858,Uruguay,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,25884,,,0,0,0,0,72964,0,442767,332769,458388,282997,144350,223908,236804,204471,133661,330249,283748,291459,503060
566,Nigeria,620,Portugal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",491915,588837,,,730530,251101,1445201,915814,1243866,1346137,700646,643284,682720,94507,213050,113907,0,204711,649350,913160,973704,970576,464974
566,Nigeria,768,Togo,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,40322,0,0,52779,184419,882834,811463,453674,535856,415770,593560,0,434009
566,Nigeria,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",71836,109583,,,0,734287,147276,525358,564820,709947,4936419,848041,1017319,381545,183176,311877,132980,970934,974349,599441,170373,460080,425377
566,Nigeria,792,Türkiye,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,80222,0,110721,320164,224953,855319,110315,0,70087,19986,779196,787394,521891,864085,927567,393149
566,Nigeria,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,59162,46821,0,164446,483999,320365,664351,527988,661373,314653
566,Nigeria,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,79055,113789,1168775,0,0,0,0,0,0,0,0,0,0,273760,307963
566,Nigeria,292,Gibraltar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,77628,259600,244552,111503,190933,287858,415799,1150965,444714,301121
566,Nigeria,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",109807,0,,,0,0,0,0,0,0,112059,319727,563319,42155,0,280895,553730,462507,526209,131045,795588,444803,261496
566,Nigeria,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",23867,0,,,0,0,0,0,0,207435,370270,359372,325881,318636,386282,183379,83192,222396,661978,865879,105175,284900,177416
566,Nigeria,704,Viet Nam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,52237,126891,65726,0,220819,171798
566,Nigeria,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,912135,214099,0,0,0,197206,120044,162487,118350,240590,194187,150725,219560,238510,170331
566,Nigeria,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1540968,1634236,,,2353878,3433792,5273069,3907457,4562358,9406335,8465729,7387749,7426151,2703223,625657,379633,1498429,702735,13688,352787,1163293,300326,164779
566,Nigeria,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,26976,,,0,0,0,73323,508998,3962066,2527746,1910543,1357557,45260,59843,351084,216667,368909,213585,75783,92154,114078,149431
566,Nigeria,191,Croatia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,55526,56539,107256,0,0,0,0,27591,0,0,0,35943,138051
566,Nigeria,579,Norway,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,220996,187656,285105,112977,51638,9935,0,0,217012,185315,0,0,188235,130020
566,Nigeria,376,Israel,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87351,212874,513590,76847
566,Nigeria,170,Colombia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,25905,37283,0,0,0,0,0,0,175890,73416
566,Nigeria,899,Area Nes,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,2384564,1817900,0,0,298546,286881,27143,0,54942,0,14799,158651,0,0,192475,152964,213263,35550
566,Nigeria,004,Afghanistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,81305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,008,Albania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,96914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,012,Algeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,365136,457553,4029692,655267,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,020,Andorra,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,56077,153268,0,64931,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,024,Angola,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,99301,0,0,0,61693,0,0,0,0,0,0,0,0,0
566,Nigeria,028,Antigua and Barbuda,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,3,90113,1341980,320177,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,032,Argentina,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",30261,33241,,,0,0,0,0,0,0,83708,0,102633,198440,171937,281145,108538,0,0,0,0,0,0
566,Nigeria,044,Bahamas,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,39027,11981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
