reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand)
643,Russian Federation,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",27653965,36914171,55074130,79583931,96676830,114268453,151657942,93569567,128055702,171686161,180929708,173669617,153887932,86172174,73676262,93306412,129049146,121443990,72564294,110968247
643,Russian Federation,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",446627,810940,1732407,2871495,5006478,5441468,8404189,4971023,7303034,17092273,18790936,18564788,21974061,14063358,14825455,20555258,35113660,33198988,23769208,35379891
643,Russian Federation,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2667260,3857636,8147490,13721578,19641685,23986603,32987746,20744745,31272373,32274016,39984322,33254956,30824063,15282038,13953498,17074301,20758443,20907768,9418281,17310143
643,Russian Federation,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3370958,4579547,6110503,9464984,10790702,11563389,13079066,8477124,10255752,16517900,16875368,14335543,11907718,7389775,6831656,8943925,11414380,8321909,6280349,9261649
643,Russian Federation,112,Belarus,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,8320924,8056022,7861689,5538624,4014145,5278222,6788234,6551114,3544313,6700300
643,Russian Federation,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",325041,147343,205177,314828,621033,4074028,4557494,2810249,5911075,8198732,7750911,7928149,8728158,5185492,3990236,4963438,8274161,7598891,5026804,6413361
643,Russian Federation,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2553589,3048347,3967790,6083137,8103601,9096562,14053644,8972311,11675536,17540000,16259206,16178260,12605197,6773557,5398999,6363826,8558883,5880664,4177062,5410713
643,Russian Federation,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3243530,3849142,5876187,10039415,12763926,14443387,19834234,12246685,14427078,17142167,15617878,16606650,15627384,7502913,4454898,5835419,6574024,6518039,3741900,4221982
643,Russian Federation,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",433456,526437,1278289,691960,861247,804359,2519582,1986793,4131268,5559829,3148502,1268196,82019,328848,158187,240918,912955,2164100,949708,3702950
643,Russian Federation,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",670505,1097480,1943517,2792991,3559516,4665627,7071965,3734362,5776980,6398132,6451488,7246933,5558649,3252678,2745735,3443613,4923402,4357157,2756234,3010448
643,Russian Federation,703,Slovakia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",883785,1029824,1362056,1830609,2499747,2786979,2968102,1105801,2742178,4716240,4258588,4391116,3566809,1940006,1620174,2004264,2485540,2174938,1468689,2497231
643,Russian Federation,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",108738,175283,411920,640267,573873,3035075,3625334,2441824,5338286,5501835,6506147,9453548,9413683,6076175,3171214,3219109,3799741,3218109,2085524,2236136
643,Russian Federation,792,Türkiye,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",258231,588090,830734,1654429,2212308,2366858,4047750,1968641,1606391,1232236,1069313,1004511,635218,668118,543439,421138,1052812,3681711,896870,2105831
643,Russian Federation,203,Czech Republic,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",577550,711719,1037260,1769744,2225038,2185824,3173112,2149186,2554646,3039995,2439739,3011447,2581103,1322462,1026727,1495764,1974503,1689414,911154,1657661
643,Russian Federation,348,Hungary,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",812186,994692,1286694,2196222,2890238,3200515,4439910,2620893,3646011,4819047,4253117,3842249,3712423,1547576,1323863,1567879,1951247,1861161,1025543,1650826
643,Russian Federation,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1018520,1332919,2016517,2965243,3000049,1469274,1331991,1553514,949491,4233879,2030392,2718764,1823957,820970,852863,1213760,2017008,1327094,739157,1457266
643,Russian Federation,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",298310,371311,826670,1505114,1376843,1474571,2113546,573902,1679499,2012142,1791937,2822012,236271,34272,403073,664318,492857,1151052,1106407,1426687
643,Russian Federation,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",620475,720787,796347,1684467,1506820,1987327,2410542,1365292,2198276,4147252,3826127,3493408,1904269,869329,927450,721206,573270,583690,371085,1268555
643,Russian Federation,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,30110,32429,0,0,207874,0,216081,123071,80298,0,0,0,66082,80131,1012789,1175122,1101222,326995,935438
643,Russian Federation,642,Romania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",485846,374265,955685,1771425,1441317,1516559,1933082,667174,1329090,900300,1017300,958185,443690,819400,849115,913327,1397070,1395682,683394,764047
643,Russian Federation,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",84105,87910,574827,1244707,2096955,2655941,2948073,1573172,2725042,2519072,3358046,901728,54989,873525,1345392,1294805,1522605,1548699,704379,732328
643,Russian Federation,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",180399,163907,311157,635758,1102136,831925,1241578,968346,996466,1047836,2920238,3456419,1574089,721275,584393,419398,528563,1033886,548481,636325
643,Russian Federation,208,Denmark,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",204762,24862,4145,100938,208262,0,62602,697224,490773,171903,388125,187110,777699,206846,148524,529313,303968,258618,386220,455015
643,Russian Federation,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,86,27938,932088,1301273,145321,522138,127360,338445,280374,115002,371974
643,Russian Federation,191,Croatia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",303694,243257,499448,643909,471735,949654,1402284,616116,781174,775497,274043,1130150,1216593,816715,423980,594336,1042663,741954,343860,359157
643,Russian Federation,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,23973,0,57568,106154,0,220005,216210,698162,293608,1057042,1087586,244912,194438,306280,290290,262044,0,287052
