Country,Jan2002,Feb2002,Mar2002,Apr2002,May2002,Jun2002,Jul2002,Aug2002,Sep2002,Oct2002,Nov2002,Dec2002,Jan2003,Feb2003,Mar2003,Apr2003,May2003,Jun2003,Jul2003,Aug2003,Sep2003,Oct2003,Nov2003,Dec2003,Jan2004,Feb2004,Mar2004,Apr2004,May2004,Jun2004,Jul2004,Aug2004,Sep2004,Oct2004,Nov2004,Dec2004,Jan2005,Feb2005,Mar2005,Apr2005,May2005,Jun2005,Jul2005,Aug2005,Sep2005,Oct2005,Nov2005,Dec2005,Jan2006,Feb2006,Mar2006,Apr2006,May2006,Jun2006,Jul2006,Aug2006,Sep2006,Oct2006,Nov2006,Dec2006,Jan2007,Feb2007,Mar2007,Apr2007,May2007,Jun2007,Jul2007,Aug2007,Sep2007,Oct2007,Nov2007,Dec2007,Jan2008,Feb2008,Mar2008,Apr2008,May2008,Jun2008,Jul2008,Aug2008,Sep2008,Oct2008,Nov2008,Dec2008,Jan2009,Feb2009,Mar2009,Apr2009,May2009,Jun2009,Jul2009,Aug2009,Sep2009,Oct2009,Nov2009,Dec2009,Jan2010,Feb2010,Mar2010,Apr2010,May2010,Jun2010,Jul2010,Aug2010,Sep2010,Oct2010,Nov2010,Dec2010,Jan2011,Feb2011,Mar2011,Apr2011,May2011,Jun2011,Jul2011,Aug2011,Sep2011,Oct2011,Nov2011,Dec2011,Jan2012,Feb2012,Mar2012,Apr2012,May2012,Jun2012,Jul2012,Aug2012,Sep2012,Oct2012,Nov2012,Dec2012,Jan2013,Feb2013,Mar2013,Apr2013,May2013,Jun2013,Jul2013,Aug2013,Sep2013,Oct2013,Nov2013,Dec2013,Jan2014,Feb2014,Mar2014,Apr2014,May2014,Jun2014,Jul2014,Aug2014,Sep2014,Oct2014,Nov2014,Dec2014,Jan2015,Feb2015,Mar2015,Apr2015,May2015,Jun2015,Jul2015,Aug2015,Sep2015,Oct2015,Nov2015,Dec2015,Jan2016,Feb2016,Mar2016,Apr2016,May2016,Jun2016,Jul2016,Aug2016,Sep2016,Oct2016,Nov2016,Dec2016,Jan2017,Feb2017,Mar2017,Apr2017,May2017,Jun2017,Jul2017,Aug2017,Sep2017,Oct2017,Nov2017,Dec2017,Jan2018,Feb2018,Mar2018,Apr2018,May2018,Jun2018,Jul2018,Aug2018,Sep2018,Oct2018,Nov2018,Dec2018,Jan2019,Feb2019,Mar2019,Apr2019,May2019,Jun2019,Jul2019,Aug2019,Sep2019,Oct2019,Nov2019,Dec2019,Jan2020,Feb2020,Mar2020,Apr2020,May2020,Jun2020,Jul2020,Aug2020,Sep2020,Oct2020,Nov2020,Dec2020,Jan2021,Feb2021,Mar2021,Apr2021,May2021,Jun2021,Jul2021,Aug2021,Sep2021,Oct2021,Nov2021,Dec2021,Jan2022,Feb2022,Mar2022,Apr2022,May2022,Jun2022,Jul2022,Aug2022,Sep2022,Oct2022,Nov2022,Dec2022,Jan2023,Feb2023,Mar2023,Apr2023,May2023,Jun2023,Jul2023,Aug2023,Sep2023,Oct2023,Nov2023,Dec2023,Jan2024,Feb2024,Mar2024,Apr2024,May2024,Jun2024,Jul2024,Aug2024,Sep2024,Oct2024,Nov2024,Dec2024,Jan2025,Feb2025,Mar2025,Apr2025,May2025,Jun2025,Jul2025,Aug2025,Sep2025,Oct2025,Nov2025,Dec2025,Jan2026,Feb2026
Albania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Algeria,3534,3584,3875,3840,3720,3750,3999,4278,3840,3813,3810,4030,4061,3920,3658,3900,3782,3630,3782,3813,3690,3999,3780,3813,7843,6757,7533,6990,7161,7140,7409,7657,7470,7316,7350,7502,7967,7224,7378,7260,7409,7380,6975,7409,7320,7223,7350,7595,7657,7028,7564,7230,7316,7320,7781,7719,7590,7378,7710,7812,8370,7224,7874,7680,8091,8040,8339,8370,7770,7874,8040,8773,8835,8207,9083,8880,8866,8970,9517,9920,8640,9238,9900,10292,9641,9156,10106,9150,9579,9570,9951,9765,8310,9579,9330,9548,9424,8400,9424,8640,9672,9210,9796,9207,8790,9486,9270,9858,9827,9072,9827,9420,9796,9900,10540,8897,9660,10323,9870,10633,11129,9773,10416,10230,10695,10470,11005,9610,-,10695,10440,11966,11501,10416,11563,10770,11160,11280,11067,10261,10650,10788,10920,12307,11656,11060,12245,11700,11873,12120,10447,12214,12210,12028,12360,12865,12586,11340,12586,12810,12617,12330,11904,-,12240,12524,13020,13795,12896,11919,12927,11970,12896,11580,11129,12896,11340,12338,12450,13082,12555,11312,12524,12150,12276,10530,12400,12400,11370,12400,12300,14260,12679,11648,12462,12030,12338,10830,12679,12090,12330,12958,12690,13950,13237,12180,12958,-,12307,12090,-,-,12600,13206,12720,13051,13485,12499,11842,8400,8835,11070,11036,11222,11880,12307,11640,12803,12462,11452,13144,11490,11563,11850,11315,10416,11400,11532,12510,12710,12431,11844,13082,11550,12276,12930,12927,13268,12480,13299,12870,13392,13702,12628,13702,12270,13330,12630,13671,13919,13050,13795,13290,14043,14260,13572,-,12900,14074,13530,14229,14632,13710,14415,14130,15066,14570,13608,13516,13770,14601,13710,15035,14756,13860,14601,14880,15314,14074,13188
Angola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,555,623,692,-,-,-,23,30,23,899,700,465,510,744,660,713,651,600,651,660,682,713,667,713,-,-,-,651,899,0,-,3720,2356,3193,2016,2046,2310,3379,1530,1829,3038,1320,2449,2400,3100,1674,4592,1891,5400,4371,3780,2759,2294,2910,-,0,3689,2387,3584,3968,2310,3379,3540,1302,2635,2220,2914,4440,2201,3038,2523,2790,3600,3720,3510,2015,3813,4140,4185,5250,4185,2573,2324,4743,3840,3999,4320,2945,775,1530,0,0,0,0,784,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844,2730,5859,4309,3016,3968,2940,4898,4290,2759,3410,2880,3255,3810,4154,2666,1764,2263,2730,2759,2730,3348,3658,3870,2635,3300,2542,2790,1204,2294,3750,2542,4290,3658,4061,3180,2697,3300,2418,2294,2156,3193,3180,248,2160,3782,3348,4350,2511,2940,1736,1705,3103,3348,2850,1922,2160,1581,2325,2070,2697,2520,3441,899,924,1519,2400,5797,3660,2511,3007,2490,744,2310,3348,2108,3388,3968,2970,2573,3180,3317,3410,2100,4960,3840,3224,3007,2576,4867,2340,5859,4800,3565,3937,4560,3782,6060,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argentina,9185,9088,9934,9681,10663,9555,10311,9521,8995,9029,8908,9604,9592,9309,10479,10014,10402,10306,10806,10379,10489,10632,9735,11048,22493,20831,25411,24787,24683,23805,24199,22915,22660,23106,22754,24917,25467,21608,25715,25005,25212,24138,26584,26325,26101,24560,25203,26761,25153,23416,26666,26629,26792,28045,27478,28480,26708,26801,27498,27792,26277,25295,28230,27539,29728,30746,31676,32582,30930,31203,28548,28711,28630,28325,29969,30261,35964,29599,32220,31667,30456,30363,25908,28287,14781,13311,15173,15060,15524,16239,16196,16047,14866,15545,14578,15323,15100,13816,16468,16532,16696,16427,17794,17671,16453,16208,16168,17253,16110,15485,17417,17375,16691,16274,17916,18306,17027,16806,16309,17785,16954,16004,17438,16453,17802,17764,18802,18339,17024,17772,17808,19100,22465,17005,19523,19131,18940,20952,20291,20841,21836,19301,21210,24914,22436,18831,18635,18894,17643,20167,21147,19647,22527,19940,19472,20441,20745,19429,20754,21944,20834,20838,22277,20385,20336,21299,20187,21286,20283,19214,20674,19492,21889,21982,21790,21547,20491,20815,19851,21199,20231,17929,20858,19853,19788,21520,20628,19891,20523,1168,20040,20516,22652,20856,20966,20295,18831,21068,19641,20003,18421,19670,18618,19393,19122,17935,19528,18619,19726,18523,19347,20517,17852,19154,18962,19360,18504,17671,16055,11985,14138,18523,19347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australia,23790,23641,24260,24448,24848,23766,24550,24323,23249,24997,24252,24009,23225,22088,23758,22935,24676,22841,24542,24354,24080,25021,24840,26016,23343,23100,25170,23609,24307,24142,25538,24589,24715,25028,25350,25985,23539,23460,25703,24958,25217,25405,24503,26063,24683,25099,26597,27044,23586,24268,26738,24338,25930,25460,25687,26942,25279,27044,27357,26440,25303,25240,26848,24597,26652,25279,26652,27012,25232,28000,27491,26377,25515,26048,26393,26573,27851,25860,27255,27028,26197,27757,26636,27843,26002,25296,27034,26441,27467,26952,28160,27420,27143,28079,27902,28755,25524,25480,28186,26655,27634,27327,27911,27829,27073,28251,29085,28587,26206,27290,29268,27370,29421,28592,29001,29406,28447,28402,30180,29297,27242,28610,29505,27791,30595,28620,29505,30744,28465,30774,30932,29707,28449,27739,29803,29244,30550,28700,30505,30783,29476,31126,30683,30557,29048,28035,30210,29653,30897,29204,30993,30114,29366,31211,30377,30797,29035,28899,31377,28995,30248,29399,31097,30183,29739,30815,30597,31055,28926,29868,30805,30149,30142,28994,29676,30460,29142,30322,30886,31493,29054,30170,32934,30844,33943,32528,32922,33584,31972,32437,33815,33609,32170,30829,34472,32630,34985,33657,33605,34454,31859,34474,34663,33047,32167,31014,33541,32132,34169,32055,33631,33394,32398,34136,34443,33761,32286,31433,32508,22391,26347,27315,27477,26605,27286,29024,29630,29581,26882,27258,30767,29958,31517,29952,28215,26923,27202,29087,30189,31090,27808,28099,31446,28906,31364,31686,30904,31561,31544,30662,32870,33564,30587,30315,34020,31212,34098,32400,32420,33215,31747,34242,34214,33182,32789,32652,33914,32517,35145,32123,34088,33579,32945,35592,34371,33937,32565,31065,33260,32821,33965,33630,34555,33454,33682,35983,34188,35255,32845,31576
Austria,7903,6584,7653,7603,7290,7960,8437,7867,8402,8437,7596,7824,7675,7468,8323,8174,8865,8779,9022,8031,9007,9250,7518,8558,7069,7411,8252,7596,7561,8366,9014,8587,9392,8908,8451,7917,7767,7831,8430,7881,8587,8822,8451,8829,8929,8558,8444,8323,8323,7789,8494,7354,8965,8879,8786,9050,9299,9620,8188,7368,8045,7112,8138,7589,8337,9014,7824,8117,8366,9107,8045,7646,7860,7539,7618,8031,8309,8238,8302,7910,8722,8480,7062,7561,8352,7486,8602,8323,8020,7867,8611,7968,8696,8789,7818,7653,7099,7703,8591,8029,8107,8039,8814,8708,9094,9065,8347,8952,7026,7560,8308,7678,7486,7429,8184,8671,8609,8601,7908,7457,7196,7638,7825,7435,7894,8212,8646,8261,8168,8735,7740,6611,7127,6584,7839,8351,8301,8201,8662,8327,8406,9061,7738,7015,7114,6571,7700,7893,8144,8117,8680,8205,8394,8847,7526,7450,7263,7289,7674,7664,7845,8115,8736,8380,8529,8589,7711,7514,7012,7703,8258,8042,8075,8449,8240,8801,8493,8542,8097,7805,7737,7020,8397,7395,7952,8118,8889,8928,8640,8674,8032,7561,7249,7283,8305,8097,8466,8579,9124,8832,8478,9291,8016,7959,7893,7424,8118,8622,8623,8710,9687,8885,8820,9017,7994,7577,7667,7828,7389,6159,6840,7144,8207,7578,7977,7741,6969,6349,5615,6160,7215,7162,7341,7841,8333,8305,8761,8464,7774,7297,6709,6966,8043,7030,7844,6860,7234,7282,7873,7205,7143,7390,6472,6563,7538,7445,7714,7069,7146,7426,7719,7976,7395,7034,6446,6344,6991,7137,7281,7490,7999,7887,7648,8177,7099,6849,6342,6136,7027,7339,7229,7470,7604,7180,7159,7779,6626,6751,6511,6225
Azerbaijan,1652,1832,1795,1662,1948,1645,1869,1753,1929,1869,1896,2053,2405,2262,2397,2234,1834,1991,1934,1881,1852,2320,2818,3015,2795,2207,2352,2642,1815,2075,2868,2504,1834,2409,3113,2643,2928,2599,3173,2569,2583,1879,2691,3204,2750,3257,3232,3128,2560,2922,2098,1945,2492,2644,2496,2786,2163,2923,2847,3562,3314,2968,2124,2661,2444,2693,1882,2193,2236,2218,2577,3150,2613,2703,1961,1915,1592,2000,2028,1820,1902,1770,1839,1974,2117,1203,1411,1709,2038,2112,2365,2345,2515,2085,2341,1670,1808,1448,2093,1957,1858,2535,2240,2511,2419,2795,2514,2920,2194,1801,2582,1960,2337,1969,2543,2500,2353,2290,1844,2192,2097,1974,2633,2545,2254,2480,2537,2249,2387,2410,2014,2543,2674,2789,2447,2541,2481,2615,2424,2311,2766,3003,2829,2465,2626,2326,2834,2435,2614,2710,2775,2768,2673,2859,2790,2509,2647,2624,3183,2853,2580,2146,2916,2779,2562,3530,2682,2905,3032,2141,4152,1974,2712,2296,2846,2964,3634,2714,2878,2163,3183,3063,3021,2520,2615,2872,2649,2457,2830,2996,3296,3071,3345,2960,2865,2941,2868,3474,3635,2941,3182,2876,2875,3554,3057,2989,2981,2616,3573,3410,4196,3326,3242,2870,3603,3356,3584,2894,3090,2158,2709,2502,2707,2771,2859,2657,2344,2743,2979,2776,3353,3206,2973,3247,3376,4012,3570,3260,3397,3365,3562,3193,3389,2972,3103,3851,4426,4399,3273,3793,4218,3601,3288,3143,3179,3899,3375,4057,4290,3831,3632,3930,3979,3923,3180,4072,3762,3840,3742,4271,4240,3821,4378,4510,2621,2943,3485,3311,3411,3510,3977,3921,4149,3358,3785,3716,3213,3635,2963,-
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2271,742,778,820,822,801,798,765,687,837,770,859,870,822,860,911,960,1057,-,765,748,882,898,844,841,878,916,872,930,1669,843,800,722,1022,303,292,1015,913,1116,1067,868,746,846,1097,1012,704,761,876,1128,928,1027,900,937,923,1097,1489,1024,771,899,845,1247,946,838,1009,774,1051,703,1357,1151,804,1254,678,1165,828,1086,1100,525,1012,444,576,616,762,1266,894,633,876,1013,1011,899,1087,1279,890,1180,584,675,662,734,1057,970,769,1026,718,1075,891,911,1390,1118,1250,1255,2040,1912,1522,1539,1375,1977,1730,1807,1782,1716,1644,1993,1900,2036,1656,1621,1555,1357,1834,1422,1289,1986,1164,2090,1348,1612,2131,1387,1619,1268,1538,1023
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2866,1089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
