reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
826,United Kingdom,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",82635897.000,Tons,70068310.000,Tons,61219328.000,Tons,50825464.000,Tons,47664174.000,Tons,47727342.000,Tons,43354235.000,Tons,43877117.000,Tons,43094368.000,Tons,34892954.000,Tons,36339409.000,Tons,36112960.000,Tons,37271205.000,Tons,37655699.000,Tons,40142817.000,Tons,46439891.000,Tons,50628026.083,Tons,0.000,No quantity,46260154.000,Tons,33628252.000,Tons,28145613.000,Tons,32773410.000,Tons,32569439.000,Tons,31721417.806,Tons
826,United Kingdom,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",21974245.000,Tons,17688917.000,Tons,13965801.000,Tons,11217072.000,Tons,11648957.000,Tons,13090078.000,Tons,12215400.000,Tons,17185473.000,Tons,15995582.000,Tons,11552008.000,Tons,14764317.000,Tons,12434419.000,Tons,12961165.000,Tons,11127603.000,Tons,14138954.000,Tons,15545089.000,Tons,19971715.000,Tons,15354113.000,Tons,19383680.000,Tons,14903192.000,Tons,12304284.000,Tons,14215067.000,Tons,12917163.000,Tons,10978814.000,Tons
826,United Kingdom,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,87469.000,Tons,338850.000,Tons,419984.000,Tons,242542.000,Tons,322687.000,Tons,610291.000,Tons,1263118.000,Tons,0,,248633.000,Tons,237181.000,Tons,78657.000,Tons,0,,79670.000,Tons,594254.000,Tons,741192.000,Tons,342192.000,Tons,136531.000,Tons,1786451.000,Tons,3194367.000,Tons,3774204.000,Tons,6313185.000,Tons
826,United Kingdom,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",9468382.000,Tons,9354202.000,Tons,11411728.000,Tons,11884385.000,Tons,10927309.000,Tons,9392238.000,Tons,11660234.000,Tons,7949902.000,Tons,9307354.000,Tons,7660015.000,Tons,9982641.000,Tons,6735984.000,Tons,9114642.000,Tons,9159969.000,Tons,7063072.000,Tons,6029038.000,Tons,5172647.000,Tons,8572122.000,Tons,7052452.000,Tons,2623951.000,Tons,2605957.000,Tons,3996559.000,Tons,3672513.000,Tons,3145643.000,Tons
826,United Kingdom,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1367966.000,Tons,160731.000,Tons,157050.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,405949.000,Tons,1351272.000,Tons,2416949.000,Tons,5773059.000,Tons,8667874.000,Tons,8601717.000,Tons,10752832.000,Tons,6405802.000,Tons,5288113.000,Tons,2123215.000,Tons,1838597.000,Tons,2747248.000,Tons,2948597.000,Tons
826,United Kingdom,752,Sweden,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2456963.000,Tons,1812097.000,Tons,2159408.000,Tons,901388.000,Tons,1113306.000,Tons,768605.000,Tons,710990.000,Tons,726829.000,Tons,1481835.000,Tons,1135437.000,Tons,1649779.000,Tons,833021.000,Tons,1553247.000,Tons,667555.000,Tons,847357.000,Tons,1278323.000,Tons,1279275.000,Tons,1232143.000,Tons,1706397.000,Tons,1066229.000,Tons,1633167.000,Tons,1326225.000,Tons,2459029.000,Tons,2132808.000,Tons
826,United Kingdom,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",10946320.000,Tons,11481154.000,Tons,9838783.000,Tons,5514044.000,Tons,7892068.000,Tons,6080186.000,Tons,3511726.000,Tons,2739889.000,Tons,3676942.000,Tons,4063371.000,Tons,3062169.000,Tons,4396988.000,Tons,4000854.000,Tons,3906870.000,Tons,2625849.000,Tons,2883324.000,Tons,2294287.000,Tons,1608283.000,Tons,1574480.000,Tons,983505.000,Tons,1939480.000,Tons,2216485.000,Tons,1350713.000,Tons,1720747.000,Tons
826,United Kingdom,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,157297.000,Tons,78795.000,Tons,0,,879324.000,Tons,432463.000,Tons,1112251.000,Tons,1162710.000,Tons
826,United Kingdom,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5409671.000,Tons,3270284.000,Tons,2697665.000,Tons,1710564.000,Tons,2404309.000,Tons,1238908.000,Tons,583761.000,Tons,619923.000,Tons,560907.000,Tons,376229.000,Tons,317279.000,Tons,44504.000,Tons,0,,0.000,Tons,875255.000,Tons,394066.000,Tons,566078.000,Tons,451017.000,Tons,0,,745857.000,Tons,0,,674914.000,Tons,1044653.000,Tons,1107918.000,Tons
826,United Kingdom,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",342638.000,Tons,327871.000,Tons,240142.000,Tons,560103.000,Tons,891714.000,Tons,1567447.000,Tons,253161.000,Tons,0,,0,,0,,0,,235834.000,Tons,236606.000,Tons,53409.000,Tons,0,,59262.000,Tons,161331.000,Tons,169438.000,Tons,226813.000,Tons,0,,563986.000,Tons,729156.000,Tons,964284.000,Tons,98511.000,Tons
