reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
579,Norway,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",25841054,29008532,36940159,47224019,50950072,54076745,65639420,39757242,47778769,59315041,54655853,49721220,46255259,25478114,22800623,25899087,33289310,28831470,22671605,40997059,57757614,50243588,49735668,42479878
579,Norway,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",8523925,10231912,13321296,18560770,22202634,23614573,28973256,16170502,23610974,29336052,24266420,19905358,18943551,11490175,9112380,9852183,12445289,10907151,7106709,12314376,18218330,13988571,12990335,9745801
579,Norway,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3790742,3860558,5125129,6040369,6844124,6248538,8604730,6935635,8557967,9845907,9850123,10939028,12416319,5435720,5323209,4753240,6379098,5827522,3091645,6402989,10375770,7727142,7382151,7735787
579,Norway,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5083,0,43176,50752,61812,347480,904155,253995,736030,1231813,728278,648471,364934,170936,29249,131178,436462,213923,116058,630195,3065838,7540074,6614120,6410302
579,Norway,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",381401,258453,175742,94717,680708,372165,890204,444341,354002,1132177,1016798,453628,1127318,246401,303547,667918,1028395,614685,460962,570360,5045212,4735440,4108366,4411391
579,Norway,752,Sweden,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",976691,1241655,1308303,1771761,1981565,2195015,3202403,1954716,3263871,3137378,4077806,3107133,2313672,1813050,1239255,1491605,2403434,2807753,3467485,5922797,8458397,6535906,5337601,4293949
579,Norway,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1846659,2466670,3393135,4054637,3029810,4929051,5371979,2911049,2590467,2417587,3944976,4563336,5391991,2285828,1738041,2674398,3229726,2542628,981760,1697112,4508148,3661146,4889429,3125994
579,Norway,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2081258,2459757,3290582,4741561,4164958,4927650,7449711,3611407,2956462,4182471,3028520,2629818,1238388,685034,1354942,1199151,959946,916750,605549,997033,1112515,835554,1651380,1397501
579,Norway,208,Denmark,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",577320,749863,1029283,1100997,1318773,1100005,1575782,1200184,905110,1322877,1825933,1944806,1695603,862626,799777,1553726,1693233,1000037,434880,441200,898359,797411,520509,1209095
579,Norway,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",930630,870379,609037,831832,1107881,980057,1500066,930039,661058,486045,282770,476994,285628,28862,149689,279155,483656,336489,351703,662810,720419,1522996,1069375,1063274
579,Norway,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",418197,301130,177272,117839,697735,149531,0,17467,0,164287,0,0,0,0,0,0,122016,1397534,3908075,6007942,3013096,633810,1153939,590084
579,Norway,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,64273,0,0,0,0,0,0,0,0,133956,53402,0,36295,0,325292,112273,771428,513564
579,Norway,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45411,662988,61160,400015,826594,494824
579,Norway,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",218129,61850,245584,220857,0,0,0,122264,0,125570,2235827,98640,0,0,0,45038,380390,94456,377094,1022751,294395,45830,111693,333403
579,Norway,792,Türkiye,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110797,757384,918976,204962,209121,456876,216396
579,Norway,642,Romania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61017,360306,291131,207829
579,Norway,104,Myanmar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163379
579,Norway,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350782,137133
579,Norway,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3276450,3245646,3462434,3576206,2805453,2884695,1799416,1436429,868891,3408270,2591301,2479626,754552,504322,612436,674053,1214577,503948,101873,48331,26977,83848,126802,92327
579,Norway,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216831,0,0,0,88864
579,Norway,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,455032,1002050,993681,847019,1100676,282175,423950,341475,77793,0,424597,581538,413486,341982,908637,647942,741360,238806,763277,422770,538287,445742,85268
579,Norway,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1917804,2233527,2955343,3558851,3471091,3637645,3637457,2195483,1790742,1751986,401300,867846,254505,339224,471944,683293,487291,189443,267574,469430,632941,104184,286660,57742
579,Norway,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",12662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17859,0,33274,0,0,0,49620
579,Norway,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41595,66199,29685,60962,0,0,37560
579,Norway,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,28262,0,0,0,0,0,0,0,0,105087,0,45873,16483,27179,0,86689,0,46448,18790
579,Norway,044,Bahamas,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",151286,28589,58115,185016,226979,82175,0,43646,0,0,0,0,0,0,72626,89190,0,0,0,0,0,0,0,0
579,Norway,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",251489,309697,44173,146346,128529,0,165556,70047,143134,139812,0,237692,68806,190309,77172,45588,168815,0,66829,0,0,0,0,0
579,Norway,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,46328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60935,0,0,0,0,0,0
579,Norway,191,Croatia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47602,0,0,46273,0,180682,91461,0
579,Norway,344,"Hong Kong, China",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21952,0,0,0,0,0,0
579,Norway,372,Ireland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",362487,58160,543390,1068854,1176704,1073940,799679,520690,700556,268144,326623,944246,818454,973919,922286,701562,777433,154414,83614,236233,0,0,0,0
