reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
682,Saudi Arabia,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",264201976.188,Tons,299038349.750,Tons,318812644.218,Tons,338085905.725,Tons,351383921.000,Tons,330739824.000,Tons,,Mixed,304529930.000,Tons,317357953.000,Tons,356760735.000,Tons,,Mixed,373098248.000,Tons,353700194.000,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed
682,Saudi Arabia,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",11390761.000,Tons,15080108.000,Tons,17243550.000,Tons,22178925.000,Tons,23871515.000,Tons,26333690.000,Tons,36368396.000,Tons,41857126.000,Tons,44646861.000,Tons,50278424.000,Tons,53915479.000,Tons,53902874.000,Tons,49666813.000,Tons,50544045.000,Tons,51005864.000,Tons,52179968.000,Tons,56733916.000,Tons,83329562.000,Tons,84928568.000,Tons,87567606.000,Tons,87488516.000,Tons,85972271.000,Tons,78639273.000,Tons,80770284.000,Tons
682,Saudi Arabia,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",35030721.000,Tons,35178641.000,Tons,35647851.000,Tons,35376655.000,Tons,37932927.000,Tons,36046033.000,Tons,39375802.000,Tons,37523991.000,Tons,39870467.000,Tons,41596771.000,Tons,42982103.000,Tons,41350132.000,Tons,42066218.000,Tons,41719635.000,Tons,43811544.000,Tons,43063892.000,Tons,43600353.000,Tons,40212175.000,Tons,44425407.000,Tons,40517466.000,Tons,49802504.000,Tons,47667430.000,Tons,47886634.000,Tons,47133022.000,Tons
682,Saudi Arabia,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",52807585.000,Tons,54798565.000,Tons,55923202.000,Tons,64269435.000,Tons,67467643.000,Tons,58581205.000,Tons,59638231.000,Tons,57305059.000,Tons,55149847.000,Tons,58125487.000,Tons,59547574.000,Tons,57035141.000,Tons,56661410.000,Tons,55575415.000,Tons,59100602.000,Tons,63427270.000,Tons,57405705.000,Tons,52604961.000,Tons,49600723.000,Tons,48678839.000,Tons,52456926.000,Tons,51388113.000,Tons,46433669.000,Tons,45782949.000,Tons
682,Saudi Arabia,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,18519710.000,Tons,26290545.000,Tons,26258067.000,Tons,26454180.000,Tons,27697558.000,Tons,29450474.000,Tons,33618583.000,Tons,39230550.000,Tons,35430535.000,Tons,38433152.000,Tons,40319212.000,Tons,35848776.000,Tons,39488805.000,Tons,42594150.000,Tons,37598650.000,Tons,34256010.000,Tons,43453110.000,Tons,35312028.000,Tons,32052057.000,Tons,36304962.000,Tons
682,Saudi Arabia,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",74371234.000,Tons,86525004.000,Tons,75628153.000,Tons,71577080.000,Tons,70342418.000,Tons,70609089.000,Tons,74761322.000,Tons,50975478.000,Tons,53996360.000,Tons,59721662.000,Tons,68375084.000,Tons,65915005.000,Tons,56246544.000,Tons,62664749.000,Cubic meters,63409620.000,Cubic meters,55718919.000,Cubic meters,49352136.000,Cubic meters,27931656.000,Cubic meters,28363111.000,Cubic meters,20596774.000,Cubic meters,26458505.000,Cubic meters,19984348.000,Cubic meters,15604927.000,Cubic meters,15443475.000,Cubic meters
682,Saudi Arabia,490,Chinese Taipei,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1232434.188,Tons,2141164.102,Tons,15383885.218,Tons,13026608.725,Tons,18168282.000,Tons,17424037.000,Tons,16868540.000,Tons,16323150.000,Tons,15941877.000,Tons,13300900.000,Tons,13629769.000,Tons,15462681.000,Tons,14309600.000,Tons,13382905.000,Tons,14145529.000,Tons,13597747.000,Tons,13488151.000,Tons,14390155.000,Tons,12163680.000,Tons,12604825.000,Tons,13687766.000,Tons,12949006.000,Tons,12496202.000,Tons,12349310.000,Tons
682,Saudi Arabia,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,10.000,Tons,0,,0,,0,,0,,0,,0,,0,,59119.000,Tons,0,,0,,208267.000,Tons,1619054.000,Tons,1792659.000,Tons,2004032.000,Tons,3856108.000,Tons,3873425.000,Tons,4509829.000,Tons,7086474.000,Tons,11294237.000,Tons,13375532.000,Tons,12038078.000,Tons
682,Saudi Arabia,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1406208.000,Tons,1896876.648,Tons,2462924.000,Tons,2887176.000,Tons,2240476.000,Tons,2304829.000,Tons,2369757.000,Tons,1834487.000,Tons,2236329.000,Tons,2260387.000,Tons,1758733.000,Tons,1147755.000,Tons,1896944.000,Tons,1322624.000,Tons,2729812.000,Tons,1768432.000,Tons,3173671.000,Tons,4470134.000,Tons,4699427.000,Tons,1370901.000,Tons,8204561.000,Tons,11558910.000,Tons,9307599.000,Tons,7641658.000,Tons
682,Saudi Arabia,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4583090.000,Tons,5835161.000,Tons,6075743.000,Tons,9890123.000,Tons,7267925.000,Tons,6858542.000,Tons,9951304.000,Cubic meters,7230619.000,Tons,7866161.000,Tons,7138373.000,Tons,7443249.000,Tons,7739662.000,Tons,7276425.000,Tons,10436360.000,Cubic meters,12558227.000,Cubic meters,12990061.000,Cubic meters,12024298.000,Cubic meters,10213642.000,Cubic meters,9783733.000,Cubic meters,9517490.000,Cubic meters,7595823.000,Cubic meters,8340985.000,Cubic meters,6958162.000,Cubic meters,7023084.000,Cubic meters
682,Saudi Arabia,586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,4587566.000,Tons,5265514.000,Tons,4570682.000,Tons,4192149.000,Tons,4501568.000,Tons,4143307.000,Tons,4023962.000,Tons,3507302.000,Tons,3744658.000,Tons,2874161.000,Tons,3579154.000,Tons,3545873.000,Tons,2846110.000,Tons,3181074.000,Tons,3992237.000,Tons,4070964.000,Tons,3547076.053,Tons,2715092.000,Tons,4444892.000,Tons,4671673.000,Tons,5511757.000,Tons,5542066.000,Tons,5281188.000,Tons
682,Saudi Arabia,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,308813.000,Tons,596854.000,Tons,1104805.000,Tons,593438.000,Tons,811140.000,Tons,0,,3042397.000,Tons,3563098.000,Tons,3709770.000,Tons,4433578.000,Tons
682,Saudi Arabia,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",6885650.000,Tons,6767230.000,Tons,6466430.000,Tons,5607170.000,Tons,5638170.000,Tons,6046860.000,Tons,6401088.000,Tons,5724900.000,Tons,6278370.000,Tons,7753940.000,Tons,7678630.000,Tons,8111462.000,Tons,7154930.000,Tons,6680060.000,Tons,6589870.000,Tons,6309720.000,Tons,7494940.000,Tons,0.000,No quantity,5405180.000,Tons,3945460.000,Tons,4598580.000,Tons,4112385.000,Tons,3529560.000,Tons,3607649.000,Tons
682,Saudi Arabia,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3254337.000,Tons,3560893.000,Tons,3290429.000,Tons,3352725.000,Tons,3114792.000,Tons,3065374.000,Tons,3115559.000,Tons,3414030.000,Tons,3308751.000,Tons,3416020.000,Tons,3544091.000,Tons,3668287.000,Tons,3460933.000,Tons,3677450.000,Tons,3126733.000,Tons,3751014.000,Tons,3205810.000,Tons,3332891.000,Tons,2738678.000,Tons,2991423.000,Tons,4500846.000,Tons,3162036.000,Tons,3187705.000,Tons,3439990.000,Tons
