reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
682,Saudi Arabia,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",48911185,66243285,85331013,123822594,158616264,165754142,255182983,137353287,182951543,279007563,302629085,297032605,269335453,138717513,110825026,138099796,188133654,168980428,110437990,161707031,263147028,211588871,188421135,164454661
682,Saudi Arabia,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2088472,3231946,4634105,8243089,11033638,13112733,25815459,18922893,25538596,39015428,44165045,42368087,36940645,20775950,15567091,20499030,29663934,40174670,28065261,43933921,64971515,53831173,47890150,43389398
682,Saudi Arabia,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",9586540,11769898,14990923,24290675,31841746,29990602,45187672,26008381,32564080,46933497,50402979,46325722,43487188,22372488,18020608,25630103,31251795,26052072,17215372,25236551,40131714,33275218,28767699,25465829
682,Saudi Arabia,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",6278521,7412653,9358320,13226021,17488149,18318342,28646555,16765697,22869394,32994768,35579981,33067007,31686636,16599280,13366177,17003290,23449727,19803071,14563551,21320473,37662458,30570109,29531835,25708017
682,Saudi Arabia,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,8409898,12965964,18199610,11922129,16206267,23513374,27674008,31202907,26355999,14831742,12110408,14338118,21317726,20532237,12471013,17905753,32671164,23296094,20157879,19922747
682,Saudi Arabia,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",13054560,18220000,20894591,26298512,31523081,35294994,55361771,22115811,31116027,47041733,55590108,51551885,46087914,21650056,16608225,18184828,21873567,11494449,7561727,9030113,16598971,10815651,8353719,7062293
682,Saudi Arabia,490,"Taipei, Chinese",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1615358,3313730,4223589,6027025,8088738,8378771,12200662,7121328,9048588,10338177,11182086,12130363,10540415,5101285,4110357,5233810,6979554,6849195,4107737,6450064,10246957,8146370,7560879,6629171
682,Saudi Arabia,048,Bahrain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,7469402,0,8486204,7440060,3933005,3147434,4245516,5720324,5333455,2776459,4482826,7852,6418,6643,
682,Saudi Arabia,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",880708,1341404,1698425,3287894,3473508,3507442,6328780,3343005,4388988,5763237,6163662,6574787,5930219,3757955,3598495,4629110,5636701,4496335,3002781,4451569,5253670,4687879,3879306,3569438
682,Saudi Arabia,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1467679,2111759,3132321,4582526,4406180,4049994,5352224,1991176,3186770,8014869,8082265,6064839,4102480,2169495,1765720,2393683,3651288,2309683,1909639,2744601,3078847,2820408,2085879,1160195
