reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
818,Egypt,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4844985.000,Tons,4408197.000,Tons,5569060.000,Tons,3131102.000,Tons,,Mixed,4825070.000,Tons,5106956.000,Tons,8567808.000,Tons,7876575.000,Tons,9750684.000,Tons,9265527.000,Tons,9327194.000,Tons,9876098.000,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,4182224.000,Tons,,Mixed,2222054.000,Tons,4590235.000,Tons
818,Egypt,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,1433822.000,Tons,1893302.000,Tons,1477096.000,Tons,3824058.000,Tons,2054321.000,Tons,3057659.000,Tons,2411354.000,Tons,2580755.000,Tons,2345925.000,Tons,3047495.000,Tons,2656193.000,Tons,2179742.000,Tons,2048694.000,Tons,2665175.000,Tons,3108593.000,Tons,3186062.000,Tons,2068605.000,Tons,1237390.000,Tons,558140.000,Tons,3229673.000,Tons
818,Egypt,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",283570.000,Tons,0,,70931.000,Tons,153112.000,Tons,65681.000,Tons,137011.000,Tons,0,,0,,273644.000,Tons,635709.000,Tons,321000.000,Tons,708419.000,Tons,1221819.000,Tons,1425817.000,Tons,1360057.000,Tons,970613.000,Tons,917482.000,Tons,1042833.000,Tons,893914.000,Tons,1236313.000,Tons,1033059.000,Tons,1146163.000,Tons,922541.000,Tons,618607.000,Tons
818,Egypt,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3133680.000,Tons,1578290.000,Tons,2330620.000,Tons,741567.000,Tons,2209062.000,Tons,1509750.000,Tons,1892820.000,Tons,2033780.000,Tons,1516556.000,Tons,1824994.000,Tons,1598374.000,Tons,1060800.000,Tons,1757440.000,Tons,2512150.000,Tons,1607670.000,Tons,1033500.000,Tons,1231170.000,Tons,1092520.000,Tons,1443800.000,Tons,524229.000,Tons,194256.000,Tons,261358.000,Tons,64774.000,Tons,418401.000,Tons
818,Egypt,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,381093.000,Tons,176336.000,Tons,632720.000,Tons,935707.000,Tons,891224.000,Tons,1031891.000,Tons,1074194.000,Tons,853574.000,Tons,1545689.000,Tons,1222429.000,Tons,1333563.000,Tons,1457672.000,Tons,2849803.000,Tons,1571720.000,Tons,1775736.000,Tons,1104315.000,Tons,1620957.000,Tons,1203537.000,Tons,451775.000,Tons,221090.000,Tons,502187.000,Tons,512603.000,Tons,89263.000,Tons
818,Egypt,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,186810.000,Tons,144942.000,Tons,662790.000,Tons,0.000,No quantity,83362.000,Tons,0,,498397.000,Tons,413336.000,Tons,434929.000,Tons,417578.000,Tons,642455.000,Tons,199699.000,Tons,249335.000,Tons,1103041.000,Tons,982476.000,Tons,259846.000,Tons,372933.000,Tons,404114.000,Tons,0,,93337.000,Tons,143327.000,Tons,0,,71187.000,Tons
818,Egypt,512,Oman,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,62803.000,Tons
818,Egypt,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",33923.000,Tons,141512.000,Tons,101830.000,Tons,45398.000,Tons,0,,2521.000,Tons,110100.000,Tons,447644.000,Tons,848870.000,Tons,655252.000,Tons,514442.000,Tons,1015916.000,Tons,982462.000,Tons,285406.000,Tons,213961.000,Tons,64587.000,Tons,64881.000,Tons,160063.000,Tons,87153.000,Tons,0,,138585.000,Tons,51618.000,Tons,25678.000,Tons,55759.000,Tons
818,Egypt,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",75225.000,Tons,0,,0,,41344.000,Tons,0,,0,,0,,10953.000,Tons,41739.000,Tons,0,,168848.000,Tons,57682.000,Tons,42290.000,Tons,134841.000,Tons,0,,57133.000,Tons,86673.000,Tons,18736.000,Tons,4.000,Tons,2.000,Tons,38064.000,Tons,0,,0,,27742.000,Tons
818,Egypt,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,149986.000,Tons,566663.000,Tons,0,,77576.000,Tons,0,,0,,56620.000,Tons,136766.000,Tons,0,,0,,0,,0,,76575.000,Tons,41592.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,16800.000,Tons
