Country,Jan2002,Feb2002,Mar2002,Apr2002,May2002,Jun2002,Jul2002,Aug2002,Sep2002,Oct2002,Nov2002,Dec2002,Jan2003,Feb2003,Mar2003,Apr2003,May2003,Jun2003,Jul2003,Aug2003,Sep2003,Oct2003,Nov2003,Dec2003,Jan2004,Feb2004,Mar2004,Apr2004,May2004,Jun2004,Jul2004,Aug2004,Sep2004,Oct2004,Nov2004,Dec2004,Jan2005,Feb2005,Mar2005,Apr2005,May2005,Jun2005,Jul2005,Aug2005,Sep2005,Oct2005,Nov2005,Dec2005,Jan2006,Feb2006,Mar2006,Apr2006,May2006,Jun2006,Jul2006,Aug2006,Sep2006,Oct2006,Nov2006,Dec2006,Jan2007,Feb2007,Mar2007,Apr2007,May2007,Jun2007,Jul2007,Aug2007,Sep2007,Oct2007,Nov2007,Dec2007,Jan2008,Feb2008,Mar2008,Apr2008,May2008,Jun2008,Jul2008,Aug2008,Sep2008,Oct2008,Nov2008,Dec2008,Jan2009,Feb2009,Mar2009,Apr2009,May2009,Jun2009,Jul2009,Aug2009,Sep2009,Oct2009,Nov2009,Dec2009,Jan2010,Feb2010,Mar2010,Apr2010,May2010,Jun2010,Jul2010,Aug2010,Sep2010,Oct2010,Nov2010,Dec2010,Jan2011,Feb2011,Mar2011,Apr2011,May2011,Jun2011,Jul2011,Aug2011,Sep2011,Oct2011,Nov2011,Dec2011,Jan2012,Feb2012,Mar2012,Apr2012,May2012,Jun2012,Jul2012,Aug2012,Sep2012,Oct2012,Nov2012,Dec2012,Jan2013,Feb2013,Mar2013,Apr2013,May2013,Jun2013,Jul2013,Aug2013,Sep2013,Oct2013,Nov2013,Dec2013,Jan2014,Feb2014,Mar2014,Apr2014,May2014,Jun2014,Jul2014,Aug2014,Sep2014,Oct2014,Nov2014,Dec2014,Jan2015,Feb2015,Mar2015,Apr2015,May2015,Jun2015,Jul2015,Aug2015,Sep2015,Oct2015,Nov2015,Dec2015,Jan2016,Feb2016,Mar2016,Apr2016,May2016,Jun2016,Jul2016,Aug2016,Sep2016,Oct2016,Nov2016,Dec2016,Jan2017,Feb2017,Mar2017,Apr2017,May2017,Jun2017,Jul2017,Aug2017,Sep2017,Oct2017,Nov2017,Dec2017,Jan2018,Feb2018,Mar2018,Apr2018,May2018,Jun2018,Jul2018,Aug2018,Sep2018,Oct2018,Nov2018,Dec2018,Jan2019,Feb2019,Mar2019,Apr2019,May2019,Jun2019,Jul2019,Aug2019,Sep2019,Oct2019,Nov2019,Dec2019,Jan2020,Feb2020,Mar2020,Apr2020,May2020,Jun2020,Jul2020,Aug2020,Sep2020,Oct2020,Nov2020,Dec2020,Jan2021,Feb2021,Mar2021,Apr2021,May2021,Jun2021,Jul2021,Aug2021,Sep2021,Oct2021,Nov2021,Dec2021,Jan2022,Feb2022,Mar2022,Apr2022,May2022,Jun2022,Jul2022,Aug2022,Sep2022,Oct2022,Nov2022,Dec2022,Jan2023,Feb2023,Mar2023,Apr2023,May2023,Jun2023,Jul2023,Aug2023,Sep2023,Oct2023,Nov2023,Dec2023,Jan2024,Feb2024,Mar2024,Apr2024,May2024,Jun2024,Jul2024,Aug2024,Sep2024,Oct2024,Nov2024,Dec2024,Jan2025,Feb2025,Mar2025,Apr2025,May2025,Jun2025,Jul2025,Aug2025,Sep2025,Oct2025,Nov2025,Dec2025,Jan2026,Feb2026
Albania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2859,2488,2835,2742,2474,2313,2171,2211,2337,2294,2208,2204,1764,2363,2217,2173,2266,1919,1900,1890,1946,1925,2130,2266,2179,2120,2075,2141,2041,1980,1908,1797,2068,2233,2075,1959,1936,1939,1807,1729,2017,2012,1822,1631,2063,1882,1864,1972,1890,2099,1895,2017,2082,2135,2195,2209,2171,2016,2048,1998,10351,7103,8380,7515,9513,6687,6017,8220,7249,6759,5872,4452,6477,6576,7563,6893,9833,10823,8577,7798,8602,6971,12395,9637,9654,9863,10216,12279,13136,6971,6036,7243,-,12390,10340,12696,19735,20050,24662,26143,29854,26257,27662,29695,30325,32541,37766,34175,37145,38822,34791,33132,34840,38754,39750,37102,38899,36330,34152,33136,33848,31406,27699,25912,27482,26902,26178,-,25184,24819,25140,25110,24172,23924,23298,23006,23059,22964,22813,22162,22065,19801,19037,16576,16463,15781,14355,12697,10546,10333,8033,7821,7879,10666,10969,8909,7804,7567,10184,9721,14382,11059,10236,8723,8077,7852,6935,7610,14373,7855,7261,-,8718,7725,-,-,6073,6173,6561,5193,4557,4716,6705,7874,4399,1217,416,1076,2691,2252,3393,893,1778,3389,4454,5170,7055,5791,5963,8803,8941,7324,8844,6686,10020,8680,8363,9850,9327,7458,7381,7681,9042,8572,9245,7780,8553,9202,9104,8971,8324,9015,9091,8189,7652,7766,8309,8011,8170,9335,-,7865,12081,8532,8435,8709,9265,7592,9106,7122,9396,10367,11305,10540,9066,8597,8379,8734,7731,8226,8587,6365,14427,10238
Angola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,516,374,361,-,-,-,796,1013,10804,15123,11988,-,13176,12239,11583,16245,12673,20584,13015,13496,10329,6246,5045,762,622,1550,3716,5902,1826,2146,4617,2885,4859,-,5817,11571,8168,11009,11009,2657,11807,11284,14973,18082,14241,11412,10890,13141,13780,12065,12461,15284,12564,10633,9267,11407,14007,13132,12404,13122,14803,17034,12237,13049,13049,16393,17446,15523,13682,0,0,13040,13981,13406,10669,16572,15837,15877,25227,22932,0,21345,18673,18986,15224,13029,16374,14618,16995,18202,18232,18776,18560,21196,21031,22780,12677,14879,16273,14622,13901,15508,15786,0,16699,12522,14315,12507,15456,13997,16321,15577,15397,14605,14605,16246,16767,14846,14529,12052,16630,16003,15169,16201,15116,15874,16834,16834,14495,20631,0,17133,19740,0,0,0,0,0,0,0,0,19637,0,0,0,21061,0,0,14077,15381,19276,19700,16779,17722,17728,16259,16678,17917,16755,17024,18336,16956,16271,18157,15202,14978,0,15262,0,17195,18208,18719,18384,16011,0,0,16327,0,0,0,0,3293,0,0,16186,18970,16708,16760,16760,20874,20700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argentina,3084,2175,2819,3331,3327,3742,3828,6357,3909,3831,3418,3262,3309,2335,3169,3407,3886,4133,4432,4123,3476,2874,4135,3638,4407,4234,3423,3867,4274,4138,2758,3501,2830,3304,3414,2802,3010,3757,5385,4177,5064,4493,5398,4826,4505,3532,4503,3926,4643,4174,3746,3840,4028,4025,4112,5277,6745,6235,5158,4868,6089,6026,6519,6347,6114,6502,5123,6233,5685,4557,5028,4998,5240,4616,5121,5240,4032,4937,5311,6461,5830,6567,6495,5264,5264,4998,5236,3779,3856,4252,4344,4899,3545,4546,3532,4570,10664,11869,11698,11363,10017,11696,11596,12020,12498,9289,9177,9633,12098,11464,9799,10275,11699,12068,10163,11434,10953,12530,11463,12068,13134,12965,14190,13225,12925,13068,12410,12186,11890,10683,10361,9698,0,0,0,11714,10212,9003,9831,9719,9548,16837,10640,10932,10932,10984,11964,11529,10746,8927,10159,10261,12197,11305,11395,10068,10860,11190,10697,9692,9518,9506,10553,10646,12785,11716,12395,11755,13445,12651,12495,12623,11785,11270,11521,12075,10914,11749,11318,11233,11044,9341,10403,11344,11319,10041,11479,10028,11759,11659,10838,11728,9986,10149,9976,9118,10363,10787,12019,12384,12256,11251,10359,10870,10870,11394,10348,11512,11202,11622,11014,10502,9847,9054,8867,8656,8883,9267,10601,12406,12406,11622,11014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australia,12028,15963,14320,13259,13119,13096,15389,18919,14106,13892,14784,13332,13170,14379,16826,13318,13797,14747,14290,12883,14239,11667,12175,11549,10465,10731,10539,12558,11770,11733,11342,11652,11696,11136,12404,10664,10318,11210,12625,11740,14032,13539,13244,12271,12721,12367,11696,10016,10281,11939,12065,11055,12529,13981,14180,14777,15145,14202,14224,12271,13693,14416,14084,13384,16030,15167,15713,14460,15352,16044,14821,14482,14873,13974,13214,14578,14150,14924,15669,15086,15602,17106,17961,15676,15823,13671,15153,15521,13804,14489,16052,16789,18329,15418,16273,14718,13649,15949,18123,17784,16126,17378,16185,15890,15927,16214,15558,14453,14040,15683,16037,14593,15647,15352,16354,15927,13782,13436,15492,14180,14099,16133,15514,16494,15462,14150,14652,15492,16929,13767,13436,13288,11202,13251,12035,12993,12640,13752,12699,12662,13620,10930,12617,13030,11549,12477,13222,13318,12588,12927,13030,13620,13590,11777,11962,12544,11608,11792,11630,10517,9669,11969,11615,12522,11460,12632,10075,11055,11696,11541,9434,10016,11195,10930,11807,10583,11261,10244,9382,9714,8667,9360,8534,10723,9839,10436,9728,9330,9345,9397,9905,9411,9787,10863,9714,10827,10827,10605,10893,10878,11969,12470,9434,10126,10421,11180,11394,11910,11969,11593,13015,11365,12065,12256,12566,11748,10952,11947,12455,10797,12662,12013,13126,11726,9935,11711,11003,11379,11578,11040,12964,12013,10436,10222,11777,11460,10583,11048,11505,9986,9566,10126,10362,11527,11858,9662,10222,10392,9294,9419,10252,9596,8940,8372,9235,9072,9095,9271,9441,9050,9036,10480,10289,11541,9389,10230,8844,10915,9765,10075,10178,9257,10038,9603,9927,10171,9028,9478,10827,8335,9419,8925,8977,8409,7458,7893,9021,9728,8299,8048
Austria,6471,6323,6272,6987,6766,7134,7075,7134,7142,7547,7635,6928,5970,6029,6323,6574,5601,6405,5984,6382,6360,6043,5852,6272,6309,6265,5911,6279,6537,6640,6530,6493,6419,6633,6751,6943,6449,6471,7127,6206,6272,6552,5749,6132,6331,5586,6014,6537,6552,6559,6869,6139,6021,6552,6766,7090,6611,6567,6861,7149,6604,6309,6596,6692,6154,5822,5970,6589,5977,5977,6434,6382,6066,5940,6014,5505,5984,6626,6412,6309,6066,6183,6368,6825,6596,6412,6412,6662,6405,5940,6508,6132,6287,6508,6773,7024,6257,6405,6861,6508,6935,6014,5808,6073,5704,5881,6117,6456,6323,5925,5815,5144,5314,5461,5019,5432,4938,4687,5218,5225,5321,5609,4879,5262,4783,4864,4864,5041,4989,5292,4997,5071,5240,5262,4680,4864,4783,5107,5019,4872,4864,4938,5196,5211,4923,4459,5034,5933,5638,5329,5734,6287,5432,5601,5911,5881,6486,6928,6449,6463,6449,6058,6058,5793,6596,6206,6478,6471,6648,6589,6721,6441,6316,6154,6287,6161,5719,5712,5874,5984,6080,5955,5203,5535,5668,5749,5417,5668,5528,5520,5741,4894,5188,4835,5188,4989,5188,5004,4901,4503,4768,4665,4761,5144,4650,5483,5719,5579,5741,5712,5594,5564,6176,5977,6213,5896,6257,5948,6066,6648,5977,6316,6596,6655,6360,6360,6530,5822,6139,6132,5616,6073,6338,6139,6228,5822,5874,6043,5579,4901,5586,5749,5240,5159,5085,6235,5970,5970,5682,4739,5159,5093,4393,5174,5343,4680,4768,4746,5144,4960,5247,5130,5026,5107,5321,5048,5417,5233,5365,5093,5498,5211,5152,5321,5188,5078,5284,5299,5100,4673,4842,5093,4879,5122,4791,5063,5085,5299,4732,4938
Azerbaijan,346,369,369,369,435,486,405,369,457,538,405,170,354,383,509,420,118,221,184,184,206,243,553,206,567,376,243,177,243,369,538,391,258,494,317,251,450,243,1761,1422,1496,1363,789,2270,877,2683,2764,2638,1791,2462,2638,2100,2580,2778,1069,1260,1246,884,2034,693,2263,700,1216,1408,199,1371,560,582,1732,582,678,2860,3980,2631,3250,3523,2417,3191,3110,3508,4031,4695,4886,4739,2093,1024,744,3375,1135,1201,855,1201,1533,1644,1430,2616,2874,3051,3265,3538,3670,3781,3523,3663,3191,3228,3140,2432,2322,2270,2351,2292,2786,2344,2484,2498,2919,2351,2432,2388,2513,2653,2476,2336,2344,2211,2233,2675,3066,2439,2425,2388,2550,2115,1909,1806,1968,2388,1747,2211,2049,2071,2027,1732,2167,1879,1894,2594,2668,3582,3103,3066,3420,3125,3110,1334,1437,1437,1297,1747,1400,1887,1187,1231,1371,1415,1445,1017,1135,1098,1445,1673,1555,1386,1415,2130,1725,1644,1717,1636,1621,1651,1577,1437,1629,1835,1820,1806,1481,2631,1717,1894,1879,1850,1916,1850,1526,1835,2071,1776,2616,2093,1938,1761,1474,1518,1747,1614,1511,1909,1621,1275,1680,1636,1496,1806,1754,1599,2778,1732,2226,2417,2572,2491,3014,2521,2653,2808,3199,3088,2845,2123,2005,2049,1503,1179,929,1474,1356,1341,1223,1061,1503,2108,2506,2403,2056,2064,1806,1710,1378,1540,1496,1503,1415,1599,1452,1238,1275,1187,1253,1422,1452,1268,1194,1216,1231,1179,1282,1474,1135,1091,1113,1098,2071,1894,1017,302,2196,2204,1621,870,206,369,295,2410,2756,3707,3840,-
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,491,498,462,520,520,520,520,513,513,520,513,484,484,469,491,498,528,520,520,520,498,528,586,520,498,520,498,623,535,476,469,491,572,513,528,528,535,770,674,660,520,557,586,498,462,645,630,718,722,671,560,612,545,560,516,575,531,523,545,464,538,486,486,472,619,612,516,472,494,509,678,700,759,663,575,641,685,730,715,708,663,678,693,722,759,678,671,619,744,693,744,730,700,715,722,1032,1135,1253,811,744,759,781,693,759,774,685,730,789,818,774,634,737,737,656,671,678,663,708,656,678,737,796,796,759,693,737,766,715,803,700,685,671,656,752,766,685,722,634,685,678,700,708,612,590,693,641,744,715,752,818,774,796,752,766,914,818,774,825,818,766,818,818,818,789,730,722,759,744,796,803,737,671,752,766,730,708,730,700,744,722,1054,1039,1083,943,1076,914,1010,1061,1039,921,1010,1113,943,752,936,796,914,825,965,921,848,855,877,965,737,811,833,825,840,870,825,870,1054,1061,811,914,855,995,1002,1024,1010,1032,1039,781,789,884,811,796,811,877,848,1054,1010,1010,848,840,1032,1010,973,811,1164,1179,1341,1128,877,1275,921,899,840,825,965,1098,1238,921
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
