Country,Jan2002,Feb2002,Mar2002,Apr2002,May2002,Jun2002,Jul2002,Aug2002,Sep2002,Oct2002,Nov2002,Dec2002,Jan2003,Feb2003,Mar2003,Apr2003,May2003,Jun2003,Jul2003,Aug2003,Sep2003,Oct2003,Nov2003,Dec2003,Jan2004,Feb2004,Mar2004,Apr2004,May2004,Jun2004,Jul2004,Aug2004,Sep2004,Oct2004,Nov2004,Dec2004,Jan2005,Feb2005,Mar2005,Apr2005,May2005,Jun2005,Jul2005,Aug2005,Sep2005,Oct2005,Nov2005,Dec2005,Jan2006,Feb2006,Mar2006,Apr2006,May2006,Jun2006,Jul2006,Aug2006,Sep2006,Oct2006,Nov2006,Dec2006,Jan2007,Feb2007,Mar2007,Apr2007,May2007,Jun2007,Jul2007,Aug2007,Sep2007,Oct2007,Nov2007,Dec2007,Jan2008,Feb2008,Mar2008,Apr2008,May2008,Jun2008,Jul2008,Aug2008,Sep2008,Oct2008,Nov2008,Dec2008,Jan2009,Feb2009,Mar2009,Apr2009,May2009,Jun2009,Jul2009,Aug2009,Sep2009,Oct2009,Nov2009,Dec2009,Jan2010,Feb2010,Mar2010,Apr2010,May2010,Jun2010,Jul2010,Aug2010,Sep2010,Oct2010,Nov2010,Dec2010,Jan2011,Feb2011,Mar2011,Apr2011,May2011,Jun2011,Jul2011,Aug2011,Sep2011,Oct2011,Nov2011,Dec2011,Jan2012,Feb2012,Mar2012,Apr2012,May2012,Jun2012,Jul2012,Aug2012,Sep2012,Oct2012,Nov2012,Dec2012,Jan2013,Feb2013,Mar2013,Apr2013,May2013,Jun2013,Jul2013,Aug2013,Sep2013,Oct2013,Nov2013,Dec2013,Jan2014,Feb2014,Mar2014,Apr2014,May2014,Jun2014,Jul2014,Aug2014,Sep2014,Oct2014,Nov2014,Dec2014,Jan2015,Feb2015,Mar2015,Apr2015,May2015,Jun2015,Jul2015,Aug2015,Sep2015,Oct2015,Nov2015,Dec2015,Jan2016,Feb2016,Mar2016,Apr2016,May2016,Jun2016,Jul2016,Aug2016,Sep2016,Oct2016,Nov2016,Dec2016,Jan2017,Feb2017,Mar2017,Apr2017,May2017,Jun2017,Jul2017,Aug2017,Sep2017,Oct2017,Nov2017,Dec2017,Jan2018,Feb2018,Mar2018,Apr2018,May2018,Jun2018,Jul2018,Aug2018,Sep2018,Oct2018,Nov2018,Dec2018,Jan2019,Feb2019,Mar2019,Apr2019,May2019,Jun2019,Jul2019,Aug2019,Sep2019,Oct2019,Nov2019,Dec2019,Jan2020,Feb2020,Mar2020,Apr2020,May2020,Jun2020,Jul2020,Aug2020,Sep2020,Oct2020,Nov2020,Dec2020,Jan2021,Feb2021,Mar2021,Apr2021,May2021,Jun2021,Jul2021,Aug2021,Sep2021,Oct2021,Nov2021,Dec2021,Jan2022,Feb2022,Mar2022,Apr2022,May2022,Jun2022,Jul2022,Aug2022,Sep2022,Oct2022,Nov2022,Dec2022,Jan2023,Feb2023,Mar2023,Apr2023,May2023,Jun2023,Jul2023,Aug2023,Sep2023,Oct2023,Nov2023,Dec2023,Jan2024,Feb2024,Mar2024,Apr2024,May2024,Jun2024,Jul2024,Aug2024,Sep2024,Oct2024,Nov2024,Dec2024,Jan2025,Feb2025,Mar2025,Apr2025,May2025,Jun2025,Jul2025,Aug2025,Sep2025,Oct2025,Nov2025,Dec2025,Jan2026,Feb2026
Albania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Algeria,-30,-30,-30,91,0,0,0,0,91,124,120,-93,124,84,31,-31,-248,120,62,93,90,62,90,775,-15,-79,0,0,0,154,-154,-64,-325,-317,5,1,19,-371,347,-94,-268,-526,-142,40,126,-43,-85,-4,-440,599,-146,-43,93,-348,-19,-10,56,-20,204,133,-87,-58,-46,66,-100,-61,-72,-110,271,165,-158,-116,-23,3,-132,-78,288,-4,-190,-190,432,-181,-18,109,-82,209,-205,123,64,54,60,14,-38,-156,33,-50,8353,-3248,1276,-865,1998,-2826,-670,2203,-971,-490,-887,-1421,2026,98,987,-670,2940,991,-2246,-779,804,2822,971,-2758,17,30,353,2064,857,-2535,-935,1207,-,4262,-2050,2357,9759,315,4613,1481,3313,-3596,1404,2033,631,3010,5225,-3591,2970,917,-4741,-1660,1708,3914,996,-2648,1526,-2568,-2179,-1016,713,-2442,-3707,-1787,-217,-579,-724,-,-918,-365,321,-30,-942,-1065,-626,-292,53,-95,-151,-651,-97,-2264,-763,-2461,-113,-682,-1427,-1690,-2804,-213,-2300,-212,57,2787,303,-2060,-1105,-237,2465,-463,4661,-3323,-897,-1513,8077,-225,-917,674,6764,-6525,-588,-,1591,-993,-,-,-643,101,388,-1369,-636,159,1990,1168,-3475,-3181,-802,659,1616,-439,1141,-2500,885,-1393,1065,793,1806,-1217,172,883,949,2120,1687,2158,3333,-1339,-317,1487,-523,-1869,-77,301,1360,-470,673,-1465,772,649,-98,-133,-839,691,76,-902,-572,114,542,-298,159,1165,-,-1081,4216,-3550,-118,274,556,-1435,1514,-1984,2273,971,939,-766,-1473,-470,-217,355,-1003,495,361,-2222,8062,-4189
Angola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,168,-161,-107,0,0,0,-272,218,-,85,1900,2330,1143,-937,-656,4662,-3572,7911,-7569,564,-3004,-4083,-1093,-4282,-140,928,2166,2186,-4076,50,2471,-1732,1974,-,958,5754,-3403,2841,-11,-8352,9150,-523,3688,3109,-3841,-2828,-522,2251,640,-1715,396,2823,-2720,-1931,-1366,2139,2602,-875,-728,717,1481,2431,-350,812,77,-503,1053,-1923,-1841,0,0,1223,2401,-575,-2738,5904,-736,41,9350,1762,804,2421,891,310,-3762,-2195,1496,-259,2377,1207,30,544,-215,2694,-165,1750,-1985,2202,424,1165,-886,1928,748,0,2236,-4643,1675,-1435,2687,-1452,2323,-748,126,-791,-791,994,486,-1723,318,-3243,2963,-1168,-675,555,-938,723,1672,1672,111,6078,0,362,5664,0,0,0,0,0,0,0,0,1136,0,0,0,2320,0,0,-2491,-325,3939,498,-2936,1014,-65,-1398,422,1024,-1200,86,1305,-1199,-868,1993,-3054,-504,0,-2214,0,-1534,-448,1914,-171,-2047,0,0,-1737,0,0,0,0,1837,0,0,-1066,2744,-749,19,19,4807,4187,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argentina,-357,-909,644,511,-4,415,86,2529,-2448,-78,-413,-156,47,-973,833,238,480,247,300,-309,-647,-602,1261,-497,769,-173,-811,444,407,-136,-1380,743,-671,474,110,-612,208,747,1628,-1208,887,-571,905,-572,-321,-973,971,-577,717,-469,-428,94,188,-3,87,1165,1468,-510,-1077,-290,1221,-63,493,-172,-233,388,-1379,1110,-548,-1128,471,-30,242,-624,505,119,-1208,905,374,1150,-631,737,-72,-1231,-557,-266,238,-1457,77,396,92,555,-1354,1001,-1014,1038,6094,1205,-171,-335,-1346,1679,-100,424,478,-3209,-112,456,-2464,634,1706,-476,-1424,-369,1905,-1270,481,1577,-1067,605,1066,-169,1225,-965,-300,143,-658,-224,-296,-1207,0,0,0,0,0,0,0,0,0,-49,-171,629,462,261,261,-307,977,-435,-783,-1819,1051,-131,-130,-935,90,-1327,728,330,-493,-1005,-174,-12,1047,93,2139,-1069,679,-640,1690,-794,-156,128,-838,-515,251,554,-1161,884,-431,-85,-189,-1703,1062,940,-25,-1207,1438,-1451,1731,-100,-821,890,-1937,163,-1947,1010,1013,424,1232,408,-128,-1005,-884,-719,-719,524,-1046,1161,-310,420,-608,-512,-656,-793,-187,-211,228,74,1333,1806,-2269,420,-608,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australia,-2145,3936,-1644,-1061,-140,-22,2292,3530,-4813,-214,892,-1452,-162,1209,2447,-3508,479,951,-457,-1408,1356,-2572,509,-626,-1083,265,-192,2019,-789,-37,-391,310,44,-560,1268,-1739,-346,892,1415,-884,2292,-494,-295,-973,450,-354,-671,-1680,265,1658,125,-1010,1474,1452,199,597,369,-943,22,-1953,1422,722,-332,-700,2646,-862,545,-1253,892,693,-1223,-339,391,-899,-759,1363,-427,774,744,-582,516,1503,855,-2285,147,-2152,1481,369,-1717,685,1562,737,1540,-2911,855,-1555,-1069,2299,2174,-339,-1658,1253,-1194,-295,37,287,-656,-1106,-413,1644,354,-1445,1054,-295,1002,-427,-2145,-346,2056,-1312,-81,2034,-619,980,-1032,-1312,501,840,1437,-3162,-332,-147,-2086,2049,-1216,958,-354,1113,-1054,-37,958,-2690,1688,413,-1481,929,744,96,-730,339,103,590,-29,-1813,184,582,-936,184,-162,-1113,-848,2299,-354,907,-1061,1172,-2557,980,641,-155,-2108,582,1179,-265,877,-1223,678,-1017,-862,332,-1047,693,-825,2189,-884,597,-708,-398,15,52,509,-494,376,1076,-1150,1113,0,-221,287,-15,1091,501,-3036,693,295,759,214,516,59,-376,1422,-1651,700,192,310,-818,-796,995,509,-1658,1865,-649,1113,-1400,-1791,1776,-708,376,-708,-538,1924,-951,-1577,-214,1555,-317,-877,464,457,-1518,-420,560,236,1164,332,-2204,560,170,-1098,125,833,-656,-656,-567,862,-162,22,177,162,-391,-15,1445,-192,1253,-2152,840,-1386,2071,-1150,317,96,-921,781,-435,324,243,-1142,450,1349,-2491,1083,-486,52,-567,-951,435,1128,700,-1422,-258
Austria,486,-147,-52,715,-221,369,-59,59,7,405,88,-708,-958,59,295,251,-973,803,-420,398,-22,-317,-192,420,37,-44,-354,369,258,103,-111,-37,-74,214,118,192,-494,22,656,-921,66,280,-803,383,199,-744,427,523,15,7,310,-730,-118,531,214,324,-479,-44,295,287,-545,-295,287,96,-538,-332,147,619,-612,0,457,-52,-317,-125,74,-509,479,641,-214,-103,-243,118,184,457,-228,-184,0,251,-258,-464,567,-376,155,221,265,251,-766,147,457,-354,427,-921,-206,265,-369,177,236,339,-133,-398,-111,-671,170,147,-442,413,-494,-251,531,7,752,287,-730,383,-479,81,0,177,-52,302,-295,74,37,22,-582,184,-81,324,-88,-147,-7,74,258,15,-287,-464,575,899,-295,-310,405,553,-855,170,310,-29,604,442,-479,15,-15,-391,0,-265,803,-391,273,-7,177,-59,133,-280,-125,-162,133,-125,-442,-7,162,111,96,-125,-752,332,133,81,-332,251,-140,-7,221,-848,295,-354,354,-199,199,-184,-103,-398,265,-103,96,383,-494,833,236,-140,162,-29,-118,-29,612,-192,236,-317,361,-310,111,590,-678,346,273,66,-295,0,170,-708,317,-7,-523,464,258,-199,88,-405,52,170,-464,-678,685,162,-516,-74,-74,1150,-265,0,-295,-943,427,-74,-700,789,162,-656,88,-22,398,-192,287,-111,-111,81,214,-273,369,-184,125,-273,405,-287,-59,170,-133,-111,214,15,-199,-427,177,251,-214,243,-339,280,22,214,-567,206
Azerbaijan,-133,125,-103,-7,66,52,-74,-37,-22,81,-133,-236,184,29,125,-88,-302,103,-37,0,22,37,310,-346,287,-192,-140,-66,66,125,170,-147,-133,236,-177,-66,206,-206,1518,-339,81,-140,-575,1481,-1393,1806,81,-133,-848,671,177,-545,479,199,-1702,184,-15,-361,1150,-1349,1570,-1562,516,192,-1209,1172,-604,22,1150,-1371,96,501,1142,-1349,619,280,-1106,774,-81,398,516,663,192,-147,-494,-1069,-280,442,-52,66,-346,346,332,103,-214,1187,324,177,214,273,-133,111,-258,140,-464,37,-96,-708,-44,-52,74,-59,516,-450,118,7,435,-590,81,-44,133,133,-184,-147,7,-133,22,442,391,-634,-22,29,-59,-442,-147,-111,192,398,-656,-479,-170,22,-7,-310,464,-317,-184,781,52,-907,-479,-37,-,-287,-15,-1806,103,221,155,464,-346,523,-730,44,118,-96,29,-427,88,-44,162,236,-118,-243,29,715,-405,-88,74,-81,-15,29,-74,-147,199,206,-15,-15,-317,1150,-921,177,-15,-29,66,-66,-324,317,228,-295,848,-523,-155,-184,-287,52,228,-133,-103,398,-287,-346,405,-52,-140,310,-52,-155,1179,-1047,494,199,155,-81,523,-494,133,155,398,-118,-243,-722,-118,44,-545,-324,-251,545,-118,-15,-118,-162,442,604,398,-103,-346,7,-258,-96,-332,162,-44,15,-88,184,-155,-214,37,-88,66,170,29,-184,-74,29,15,-52,96,192,-339,-44,22,-15,973,-177,-877,-715,1894,7,-582,-759,-1135,-1106,-74,2115,346,958,133,-
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-15,7,-37,59,0,-323,-15,-7,0,0,-7,15,15,-15,22,-,29,-7,-,0,-22,29,59,-66,-22,22,-22,125,-81,-59,-15,29,73,-51,15,-7,7,235,-95,-7,-139,37,29,-88,-37,176,-15,88,-52,0,-111,52,-66,15,-44,-44,-44,-7,22,-88,74,-52,0,-15,147,-7,-96,-44,22,15,170,22,59,-88,-96,66,44,37,-15,-7,-44,7,15,29,44,-88,-7,-52,125,-52,59,-15,-29,15,15,310,103,111,-435,-74,15,22,-81,66,15,-88,44,59,29,-44,-140,103,0,-81,15,7,-15,44,-52,22,59,59,-7,-37,-66,44,29,-52,88,-103,-22,-7,-15,96,15,-81,37,-88,59,-7,22,7,-96,-22,103,-59,103,-29,37,66,-44,15,-44,15,140,-96,-44,52,-7,-52,52,0,7,-29,-59,-7,37,-15,52,7,-66,-66,74,22,-37,-22,22,-29,44,-22,332,-15,37,-140,133,-162,96,44,-22,-118,88,125,-170,-192,184,-140,118,-88,140,-44,-74,7,22,88,-228,74,22,-7,22,29,-37,44,177,7,-251,103,-66,140,7,15,-15,22,7,-258,7,96,-66,-15,7,66,-29,206,-44,0,-155,-15,199,-22,-44,-155,354,15,155,-206,-251,398,-354,-15,-59,-22,140,133,140,-317
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
