reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
458,Malaysia,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",11813511.000,Tons,12602989.000,Tons,15407927.203,Tons,16638446.000,Tons,16947277.000,Tons,17143792.000,Tons,,Mixed,17043631.000,Tons,21604958.000,Tons,16266522.000,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed
458,Malaysia,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1648743.000,Tons,2030684.000,Tons,1691344.000,Tons,347856.000,Tons,113364.000,Tons,497791.000,Tons,892734.000,Tons,2229385.000,Tons,2079424.000,Tons,1714994.000,Tons,1114401.000,Tons,602992.000,Tons,217328.000,Tons,271402.000,Tons,2407954.000,Tons,6588038.000,Tons,8882712.000,Tons,12033641.000,Tons,12463025.000,Tons,18534783.000,Tons,35675857.000,Tons,54818352.000,Tons,70358083.000,Tons,64742424.000,Tons
458,Malaysia,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1494146.000,Tons,2139363.000,Tons,4047382.000,Tons,2854395.000,Tons,2659812.000,Tons,3442572.000,Tons,3316934.000,Tons,3216099.000,Tons,5438555.000,Tons,3950539.000,Tons,5747085.000,Cubic meters,5499545.000,Cubic meters,6403914.000,Cubic meters,5402348.000,Cubic meters,6110755.000,Cubic meters,6837555.000,Cubic meters,7540532.000,Cubic meters,4884022.000,Cubic meters,4365736.000,Cubic meters,5153549.000,Cubic meters,3522018.000,Cubic meters,3834605.000,Cubic meters,3561930.000,Cubic meters,3856792.000,Cubic meters
458,Malaysia,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",96.000,Tons,22.000,Tons,0.000,Tons,0,,0,,0.000,Tons,0,,3.000,Tons,0.000,Tons,0.000,Tons,0,,0,,0.000,Tons,0.000,Tons,0,,0.000,Tons,0.000,Tons,1.000,Tons,147912.000,Tons,1207784.000,Tons,1648643.000,Tons,1637353.000,Tons,2608568.000,Tons,3105062.000,Tons
458,Malaysia,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1407241.000,Tons,1575530.000,Tons,1901046.000,Tons,5411202.000,Tons,2865397.000,Tons,1757896.000,Tons,2018598.000,Cubic meters,2929271.000,Tons,2503080.000,Tons,2386256.000,Tons,2279252.000,Tons,2141819.000,Tons,2032433.000,Tons,5775852.000,Cubic meters,4199570.000,Cubic meters,4738076.000,Cubic meters,3467557.000,Cubic meters,3592619.000,Cubic meters,2958421.000,Cubic meters,2304926.000,Cubic meters,2911447.000,Cubic meters,3809253.000,Cubic meters,4051959.000,Cubic meters,3052435.000,Cubic meters
458,Malaysia,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",129927.000,Tons,558073.000,Tons,1240368.000,Tons,1874145.000,Tons,1928057.000,Tons,1848879.000,Tons,2283300.000,Tons,999657.000,Tons,947516.000,Tons,164459.000,Tons,335405.000,Tons,271870.000,Tons,919800.000,Tons,1080465.000,Tons,1381730.000,Tons,2128431.000,Tons,2224460.000,Tons,2049085.000,Tons,971034.000,Tons,636315.000,Tons,618683.000,Tons,712781.000,Tons,460287.000,Tons,899375.000,Tons
458,Malaysia,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,3380502.000,Tons,3905815.000,Tons,3669072.000,Tons,2737635.000,Tons,2107854.000,Tons,2380891.000,Tons,2299641.000,Tons,2476622.000,Tons,2991887.000,Tons,3133630.000,Tons,4856268.000,Tons,3672356.000,Tons,4320188.000,Tons,3335287.000,Tons,2429720.000,Tons,2096213.000,Tons,1612879.000,Tons,1725123.000,Tons,1197708.000,Tons,837656.000,Tons
458,Malaysia,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1715626.000,Tons,1462832.000,Tons,1770139.000,Tons,1670240.000,Tons,1651980.000,Tons,1804528.000,Tons,1495222.000,Tons,761386.000,Tons,1245328.000,Tons,1364870.000,Tons,685481.000,Tons,705750.000,Tons,527277.000,Tons,340443.000,Tons,189814.000,Tons,434931.000,Tons,344403.000,Tons,280179.000,Tons,613883.000,Tons,38498.000,Tons,74913.000,Tons,183841.000,Tons,43382.000,Tons,614173.000,Tons
458,Malaysia,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",915506.000,Tons,1249800.000,Tons,1411317.000,Tons,1522102.000,Tons,1631674.000,Tons,1918865.000,Tons,1649865.000,Tons,2539746.000,Tons,4016487.000,Tons,1598052.000,Tons,917976.000,Tons,1037123.000,Tons,833099.000,Tons,3351886.000,Tons,3273445.000,Tons,2265835.000,Tons,861496.000,Tons,546159.000,Tons,1786930.000,Tons,559271.000,Tons,33938.000,Tons,305438.000,Tons,206942.000,Tons,354152.000,Tons
458,Malaysia,608,Philippines,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",511671.000,Tons,437571.000,Tons,520620.000,Tons,664164.000,Tons,472226.000,Tons,476449.000,Tons,698277.000,Tons,429256.000,Tons,1098644.000,Tons,293643.000,Tons,360710.000,Tons,142778.000,Tons,507692.000,Tons,849420.000,Tons,581692.000,Tons,291369.000,Tons,461011.000,Tons,529496.000,Tons,153468.000,Tons,218301.000,Tons,112248.000,Tons,244025.000,Tons,41743.000,Tons,84457.000,Tons
