reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
458,Malaysia,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2329093,3050666,5027224,6906137,9102443,10055015,13813147,8151636,13312049,13915261,13456737,12271931,12577707,9041003,8213114,11364060,15704733,13808762,8698226,15453159,30447077,37859638,46016074,37828843
458,Malaysia,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",337707,499414,530227,149641,63468,323536,710478,1088511,1274890,1382331,969343,526277,189378,105375,814087,2631464,4836109,5620412,3795932,8879955,21740572,28228977,38283723,31022551
458,Malaysia,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",285513,533961,1366170,1383210,1630823,2131960,2831468,1636076,3519317,3503282,4279872,4005254,4405186,2019979,1843535,2420513,3501319,2062755,1366520,2419801,2519690,2221996,2015958,1845403
458,Malaysia,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",297942,364601,604899,1974880,1524838,1006866,1400026,1365185,1574802,2192026,2128015,2006291,1669015,2219852,1406471,1860727,1805139,1797570,1043917,1198162,2316138,2461641,2470415,1692253
458,Malaysia,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",48,10,0,0,0,0,0,2,1,0,0,0,0,4,0,1,0,1,53338,699195,1402277,1146546,1611660,1632250
458,Malaysia,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",24981,135054,446520,739456,790872,936994,1709684,448204,607781,140094,280308,241617,758673,476023,496296,946223,1273252,1089641,346402,333841,556440,482269,301061,497369
458,Malaysia,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,1833068,2219673,3066566,1266286,1269536,1921735,2016071,2064293,2433440,1431806,1709010,1587313,2457270,1747750,914848,1043509,1407694,2645177,827452,483407
458,Malaysia,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",331249,352932,576230,721507,882013,1018946,1240779,366467,763899,1210449,607226,616311,450039,155855,78296,206118,211111,147550,226387,19618,67573,114534,27404,365005
458,Malaysia,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",182378,299548,463465,686662,944163,1215763,1344104,1234918,2423299,1361728,800348,846144,620235,1496185,1084864,884394,485979,284471,441457,275585,20434,175325,122006,199547
458,Malaysia,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",420208,334372,354830,335188,569754,573694,597064,285092,480062,1129965,1196784,896109,662526,304983,279033,269838,328692,279073,179807,207051,166406,106863,0,48160
458,Malaysia,608,Philippines,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",103587,105823,155185,280205,256247,314407,508646,206709,662632,240292,316158,118618,420127,383039,204499,119578,259098,273448,75271,157679,99777,181939,25386,42898
458,Malaysia,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,73715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,Malaysia,152,Chile,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",44373,40880,0,50091,0,0,0,61606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,Malaysia,170,Colombia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,Malaysia,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
458,Malaysia,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,3,0,0,1,0,1,1,2,0
458,Malaysia,554,New Zealand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",116026,82598,92433,171527,232703,181649,336832,106979,351138,344589,621662,755755,969083,418338,195501,405823,497630,453677,240655,175095,0,0,0,0
458,Malaysia,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57812,0
458,Malaysia,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",103512,205974,295957,298642,186255,67241,67500,85601,82177,64620,0,0,0,12671,79479,15570,0,0,0,0,0,0,0,0
458,Malaysia,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
458,Malaysia,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82106,0
458,Malaysia,490,Chinese Taipei,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,16151,20572,0,12884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,Malaysia,586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39536,0,0,0,0
458,Malaysia,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",17661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,Malaysia,144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",63908,79348,120736,115128,175355,64286,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
458,Malaysia,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553,0,0
458,Malaysia,470,Malta,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
458,Malaysia,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
458,Malaysia,716,Zimbabwe,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
458,Malaysia,752,Sweden,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
458,Malaysia,090,Solomon Islands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,3,47,11,163,1,,3,0,45,11,0,
458,Malaysia,104,Myanmar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
458,Malaysia,418,Lao People's Democratic Republic,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,,,,,0,0,0,19,0,0,0,0,0,0,204,0,156,0,,
458,Malaysia,566,Nigeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,
458,Malaysia,634,Qatar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,191088,
458,Malaysia,704,Viet Nam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,302515,350421,0,195232,0,2568,11704,10789,49091,52412,0,0,143381,61286,0,
458,Malaysia,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,0,,0,0,,,,4,0,1,1,0,0,0,0,0,2,0,0,0,
458,Malaysia,266,Gabon,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
458,Malaysia,598,Papua New Guinea,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,,,,,,,0,240941,,,,,,,1,13483,4130,6490,31518,0,
458,Malaysia,050,Bangladesh,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,,14272,10328,5543,42,,,,,,,
