reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
276,Germany,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1041677.735,Tons,442179.000,Tons,457857.065,Tons,276644.953,Tons,166235.000,Tons,374162.000,Tons,174814.660,Tons,,Mixed,552877.000,Tons,115979.000,Tons,178662.000,Tons,309441.000,Tons,436711.425,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,47275.675,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed
276,Germany,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",50.000,Tons,46.000,Tons,0.000,Tons,0,,0,,3.000,Tons,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,6.127,Tons,2.746,Tons,6.015,Tons,0,,0,,0,,0,,0,,31762.000,Tons
276,Germany,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",91793.000,Tons,4.000,Tons,4.000,Tons,29244.000,Tons,87839.000,Tons,103257.000,Tons,87627.000,Tons,61359.000,Tons,9832.000,Tons,6.000,Tons,2.000,Tons,7.000,Tons,7.000,Tons,101.000,Tons,4.000,Tons,273.000,Tons,1496.000,Tons,115.000,Tons,16.000,Tons,442.000,Tons,112.000,Tons,36.000,Tons,1504.000,Tons,15363.000,Tons
276,Germany,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",551469.000,Tons,269966.000,Tons,324837.000,Tons,41617.000,Tons,55504.000,Tons,34455.000,Tons,0,,2.000,Tons,34488.000,Tons,15456.000,Tons,102048.000,Tons,167336.000,Tons,99162.000,Tons,137768.000,Tons,78383.000,Tons,20910.000,Tons,120765.000,Tons,32614.000,Tons,762.000,Tons,399201.000,Tons,139464.000,Tons,179.000,Tons,174203.000,Tons,5483.000,Tons
276,Germany,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,85184.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20.000,Cubic meters,0,,4.000,Cubic meters,0,,0,,0,,4.000,Cubic meters,0,,5022.000,Cubic meters
276,Germany,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,3704.000,Tons,3926.000,Tons,4055.000,Tons,3397.000,Tons,2990.000,Tons,22942.000,Tons,2105.000,Tons,9339.000,Tons,7853.000,Tons,8925.000,Tons,9917.000,Tons,1781.000,Tons,3262.000,Tons,2683.000,Tons,2487.000,Tons,764.000,Tons,386.000,Tons,737.000,Tons,3413.000,Tons,3278.000,Tons,2890.000,Tons
276,Germany,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",57.000,Tons,12.000,Tons,6.000,Tons,3.000,Tons,4.000,Tons,117.000,Tons,296.000,Tons,232.000,Tons,6.000,Tons,0.000,Tons,130.000,Tons,6.000,Tons,1.000,Tons,1.000,Tons,411.000,Tons,15.000,Tons,230.000,Tons,99.000,Tons,72.000,Tons,143.000,Tons,200.000,Tons,67.000,Tons,13702.000,Tons,194.000,Tons
276,Germany,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,3.000,Tons,0,,0,,0,,0,,2.000,Tons,0,,0,,24.000,Tons,2.000,Tons,0,,8.000,Cubic meters,1.000,Cubic meters,0,,0.000,Cubic meters,5.000,Cubic meters,0,,4.000,Cubic meters,0.000,Cubic meters,8.000,Cubic meters,3.000,Cubic meters,40.000,Cubic meters
276,Germany,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7.000,Cubic meters
276,Germany,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",24850.000,Tons,1791.000,Tons,31.000,Tons,55.000,Tons,45.000,Tons,17.000,Tons,13.000,Tons,73.000,Tons,185002.000,Tons,59754.000,Tons,66001.000,Tons,33893.000,Tons,29959.000,Tons,57181.000,Tons,26.000,Tons,87234.000,Tons,30.000,Tons,11.000,Tons,42.000,Tons,48.000,Tons,39.000,Tons,1208.000,Tons,2.000,Tons,1.000,Tons
