reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
818,Egypt,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",803519,947485,1389906,1101372,2389468,2043745,3464479,3198350,4383343,7559026,7381158,7259872,7093781,4987897,3680511,4461300,5358879,4715215,3036386,3139952,2982945,2296911,1334145,2466955
818,Egypt,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,508777,707258,891582,1254312,1049980,2208450,1750679,1801256,1474910,968622,620705,700250,927070,1088745,847046,1479045,1330056,641165,321202,1761426
818,Egypt,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",46529,0,16986,42598,31195,74714,0,0,157723,520089,283225,580140,922665,562665,455721,379800,502281,512949,313725,652718,808788,752353,562580,324281
818,Egypt,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",514184,310070,548059,252882,1047123,605330,1273273,772893,834180,1291559,1276225,801787,1263771,988767,479308,428320,690226,519804,449129,294499,162389,171047,35359,207295
818,Egypt,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,84010,48392,273628,468202,474540,823243,479139,507617,1301533,1055748,1138698,1161498,1187526,521501,740427,619627,787918,392865,215016,180201,317800,311985,45860
818,Egypt,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,40661,46402,207566,184174,33295,0,162876,260621,352349,306462,436753,134870,84983,395550,427836,132494,176313,107582,0,73277,97278,0,39038
818,Egypt,512,Oman,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35777
818,Egypt,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",7678,36906,29870,21439,0,1251,75260,199720,520935,568871,440644,843050,714259,121606,67278,25037,37749,82539,27888,0,107182,32024,16754,30236
818,Egypt,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",13695,0,0,19903,0,0,0,8083,25247,0,124300,48960,33722,58021,0,23568,44082,9862,2,1,28812,0,0,16066
818,Egypt,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,25338,130241,0,30874,0,0,27136,45399,0,0,0,0,20993,10750,0,0,0,0,0,0,0,0,6976
818,Egypt,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,56322,37747,59495,0,30320,48419,61836,9261,6366,0,0,0,0,0,0,0,0,0
818,Egypt,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,70852,61729,0,0,148603,58061,329264,540168,526070,738749,278646,163791,0,157252,86265,0
818,Egypt,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,14044,0,16166,24376,35045,0,0,395557,881212,621076,1050614,706771,619988,252744,875188,1128148,389602,434708,232272,124505,0,0,0
818,Egypt,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",19311,0,150832,75958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,Egypt,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,18208,34898,0,0,36898,59010,56405,0,0,0,15604,0,0,0,0,0,0,0,0,0
818,Egypt,642,Romania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,20211,65986,46018,0,0,0,0,0,0,0,0,0,0,627,0,0,0,54678,0,0,0
818,Egypt,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,28181,0,0,0,0,103864,0,0,0,0,0,0,0,0,35491,0,0,0,0,0,0,0,0
818,Egypt,757,Switzerland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,72415,25282,17825,0,18399,34719,15929,0,0,0,0,0,0,0,0,0,0
818,Egypt,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",186314,323472,354626,39755,0,0,0,0,53300,122647,0,234453,436131,115643,65151,0,34938,96821,118506,0,113057,0,0,0
818,Egypt,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,23880,0,66441,10553,31396,240850,184001,298307,173752,1384713,203227,0,26463,182332,166474,471875,311912,66289,0,0,52173,0,0
818,Egypt,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,31460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75784,0,0,0,0
818,Egypt,384,Côte d'Ivoire,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,32043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,Egypt,504,Morocco,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,51361,54078,0,0,0,0,0,0,0,0,0,0,0,0
818,Egypt,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,29463,64488,32782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
