reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit
566,Nigeria,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",86706.000,Tons,793808.000,Tons,,,,,3810095.000,Tons,0,No quantity,0,No quantity,165649.000,Tons,786815.000,Tons,168959.000,Tons,174225.000,Tons,239102.000,Cubic meters,1415801.000,Cubic meters,0.000,Mixed,0,No quantity,0,No quantity,15986225.000,Tons,100306.000,Tons,89595.000,Tons,75633.000,Tons,171220.000,Tons,525656.000,Tons,172904.000,Tons
566,Nigeria,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5389.000,Tons,43215.000,Tons,,,,,715654.000,Tons,0,,0,,6905.000,Tons,3318.000,Tons,7361.000,Tons,6438.000,Tons,14747.000,Cubic meters,87453.000,Cubic meters,0.000,Mixed,0,,0,,938608.000,Tons,6515.000,Tons,2720.000,Tons,4179.000,Tons,7650.000,Tons,39277.000,Tons,20213.000,Tons
566,Nigeria,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5513.000,Tons,50180.000,Tons,,,,,7865.000,Tons,0,,0,,4771.000,Tons,3891.000,Tons,6169.000,Tons,10142.000,Tons,20780.000,Cubic meters,143038.000,Cubic meters,0.000,Mixed,0,,0,,1433526.000,Tons,10897.000,Tons,9447.000,Tons,9484.000,Tons,21968.000,Tons,42046.000,Tons,18698.000,Tons
566,Nigeria,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1151.000,Tons,18832.000,Tons,,,,,179093.000,Tons,0,,0,,3267.000,Tons,5089.000,Tons,3509.000,Tons,12358.000,Tons,24798.000,Cubic meters,149702.000,Cubic meters,0.000,Mixed,0,,0,,2677994.000,Tons,11000.000,Tons,9642.000,Tons,5440.000,Tons,24006.000,Tons,75445.000,Tons,16418.000,Tons
566,Nigeria,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",29849.000,Tons,307907.000,Tons,,,,,1417409.000,Tons,0,,0,,34011.000,Tons,37344.000,Tons,30406.000,Tons,27035.000,Tons,27301.000,Cubic meters,22349.000,Cubic meters,0.000,Mixed,0,,0,,1537458.000,Tons,6651.000,Tons,2880.000,Tons,3335.000,Tons,13305.000,Tons,43228.000,Tons,14442.000,Tons
566,Nigeria,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",11401.000,Tons,79469.000,Tons,,,,,11141.000,Tons,0,,0,,12372.000,Tons,11326.000,Tons,13237.000,Tons,35449.000,Tons,29281.000,Cubic meters,247578.000,Cubic meters,0.000,Mixed,0,,0,,3319124.000,Tons,18593.000,Tons,14979.000,Tons,15265.000,Tons,28208.000,Tons,46582.000,Tons,13227.000,Tons
566,Nigeria,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5255.000,Tons,26546.000,Tons,,,,,0,,0,,0,,1485.000,Tons,1449.000,Tons,1443.000,Tons,2930.000,Tons,6741.000,Cubic meters,100108.000,Cubic meters,0.000,Mixed,0,,0,,605624.000,Tons,3498.000,Tons,2502.000,Tons,3693.000,Tons,16633.000,Tons,43004.000,Tons,12086.000,Tons
566,Nigeria,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1177.000,Tons,25060.000,Tons,,,,,153220.000,Tons,0,,0,,4125.000,Tons,4009.000,Tons,2285.000,Tons,2633.000,Tons,4371.000,Cubic meters,280.000,Cubic meters,0.000,Mixed,0,,0,,303974.000,Tons,3289.000,Tons,2446.000,Tons,4334.000,Tons,6304.000,Tons,37248.000,Tons,12062.000,Tons
566,Nigeria,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3703.000,Tons,22846.000,Tons,,,,,2359.000,Tons,0,,0,,5959.000,Tons,6459.000,Tons,11773.000,Tons,8763.000,Tons,16813.000,Cubic meters,56120.000,Cubic meters,0.000,Mixed,0,,0,,416153.000,Tons,5062.000,Tons,3855.000,Tons,3556.000,Tons,7725.000,Tons,22523.000,Tons,10700.000,Tons
566,Nigeria,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2129.000,Tons,20166.000,Tons,,,,,779091.000,Tons,0,,0,,3917.000,Tons,2584.000,Tons,4351.000,Tons,4943.000,Tons,8063.000,Cubic meters,83578.000,Cubic meters,0.000,Mixed,0,,0,,970439.000,Tons,7624.000,Tons,9326.000,Tons,3338.000,Tons,3456.000,Tons,22152.000,Tons,9767.000,Tons
