reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
764,Thailand,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",457429,652632,833997,1397466,1574091,1159167,1734445,1038375,837418,1378847,1662199,1163529,420968,63417,496061,696764,817187,662120,389942,420281,509384,358620,583036,353708
764,Thailand,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,21,2,12227,259428,18478,37602,42197,3,5,19,11,6,3050,167584,271933,328386,227546,155146,47644,336646,232636,313291,320531
764,Thailand,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",143727,352450,274280,546117,565995,539025,557081,252211,107921,243199,522530,444258,0,1,232423,248631,325969,296273,180689,257659,144464,71732,219126,0
764,Thailand,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,18247,10922,5,61953,27345,43046,121095,176238,190836,209622,118539,78374,35890,82227,102856,101810,119965,48882,71360,28274,1,29279,14187
764,Thailand,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21337,18986
764,Thailand,116,Cambodia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,2,3,6,4,2,4,1,0,0,0,0,0,0,3,2
764,Thailand,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",157824,78517,79644,79391,181091,108972,106736,24911,0,0,0,0,0,0,0,0,21578,18333,0,21228,0,27393,0,0
764,Thailand,050,Bangladesh,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,24,0,14,0,0,0,0,0
764,Thailand,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,Thailand,104,Myanmar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
