reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
699,India,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,6953,22593,79462,36719,64827,225,205,37132,3351,133683,237,34204,68777,325,154880,277084,72711,13412,22844,2296,31049,93087,289
699,India,634,Qatar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,30819,92949,
699,India,222,El Salvador,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,34,42,10,8,40,87,0,44,30
699,India,144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,22593,40820,36554,38857,4,3,50,13,150,153,7,2,32,21,,0,0,0,0,0,36,
699,India,320,Guatemala,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,19,55,0,0,0,0,0,0,0,35,0
699,India,554,New Zealand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,19,0,22,3
699,India,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
699,India,012,Algeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,,,,,,,0,
699,India,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,34114,25336,0,0,0,0,0,0,0,0,0,0
699,India,044,Bahamas,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,
