reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
124,Canada,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",11482206,14605779,19370360,24789084,33454082,39019837,63663071,37619239,50458802,69477186,74803785,79372943,88119818,50267028,39528975,54073530,67223878,68097522,47612911,81978146,119876334,99604635,107499738,100799391
124,Canada,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",11482206,14586046,19362802,24777689,33404891,38776338,63583477,37298528,50208706,69065911,74168284,78396094,85197086,49761824,38865682,53238990,64011543,66095943,45849081,79826100,116819230,96680922,102812708,90684642
124,Canada,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,57858,107927,88872,53694,337872,122547,89392,630382,865313,324141,97451,229708
124,Canada,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,7321,0,1,0,7,7,199850,652693,683639,261324,339943,240326,1035512,604411,396015,355660,983879,931076,530316,757758
124,Canada,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,33996,23447,11160,0,265878,593061,432776,233789,295872,948382,695932,1426605
124,Canada,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,1,8,34,8,3,25427,73788,0,1,0,38948,11,4,204127,146359,128129,193065,176819
124,Canada,152,Chile,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,22079,0,0,0,0,203920,0,0,0,50469,0,0,173274,0,0,0,0
124,Canada,372,Ireland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,101489,39269,48884,166007,67831,0,0,0
124,Canada,344,"Hong Kong, China",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,38246,0,0,0,35519,0,58355,112130,85546,36073,316635,869487
124,Canada,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,19734,0,0,0,150383,59043,161209,169947,411254,435626,130309,43876,83508,0,201424,411969,193456,210400,111318,0,0,1750818,4499602
124,Canada,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,11395,0,0,0,0,0,0,0,75149,1356465,28997,150258,219638,420975,372312,441304,96910,110817,46247,0,230406
124,Canada,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39330,33528,0,32794,105182,0,42339,357078
124,Canada,757,Switzerland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26433,0,0,37220,0
124,Canada,348,Hungary,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,0,0,0,0
124,Canada,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,7558,0,0,93115,20522,35563,41760,0,0,31192,50963,0,0,0,0,0,12852,3239,0,0,384062,812101
124,Canada,262,Djibouti,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0
124,Canada,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,1,0,0,0,0,0,0,8922,0,26043,42985,25901,2,328753,471027,466408,707336
124,Canada,496,Mongolia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
124,Canada,012,Algeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Canada,024,Angola,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Canada,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,Canada,044,Bahamas,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,108551,0,0,37678,0,0,0,0,0,0,0,0
124,Canada,052,Barbados,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
