reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2025,2025_unit
566,Nigeria,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,Mixed
566,Nigeria,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",7840355.000,Cubic meters
566,Nigeria,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",6942188.000,Tons
566,Nigeria,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",6684130.000,Tons
566,Nigeria,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4630625.000,Tons
566,Nigeria,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3209165.000,Cubic meters
566,Nigeria,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3100697.000,Tons
566,Nigeria,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2832745.000,Tons
566,Nigeria,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2826505.000,Tons
566,Nigeria,384,Côte d'Ivoire,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2580309.000,Tons
566,Nigeria,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2574612.000,Tons
566,Nigeria,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1604988.000,Tons
566,Nigeria,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1122861.000,Cubic meters
566,Nigeria,757,Switzerland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1079769.000,Tons
566,Nigeria,604,Peru,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1076252.000,Tons
566,Nigeria,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1049594.000,Tons
566,Nigeria,686,Senegal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1037026.000,Tons
566,Nigeria,620,Portugal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",938236.000,Tons
566,Nigeria,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",904284.000,Tons
566,Nigeria,858,Uruguay,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",688047.000,Tons
566,Nigeria,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",577679.000,Cubic meters
566,Nigeria,752,Sweden,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",543959.000,Tons
566,Nigeria,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",374891.000,Tons
566,Nigeria,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",253713.000,Tons
566,Nigeria,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",233797.000,Tons
566,Nigeria,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",172372.000,Tons
566,Nigeria,688,Serbia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",147941.000,Tons
566,Nigeria,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",111380.000,Tons
566,Nigeria,579,Norway,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",88265.000,Tons
566,Nigeria,024,Angola,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0.000,Tons
566,Nigeria,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0.000,No quantity
