Country,Jan2002,Feb2002,Mar2002,Apr2002,May2002,Jun2002,Jul2002,Aug2002,Sep2002,Oct2002,Nov2002,Dec2002,Jan2003,Feb2003,Mar2003,Apr2003,May2003,Jun2003,Jul2003,Aug2003,Sep2003,Oct2003,Nov2003,Dec2003,Jan2004,Feb2004,Mar2004,Apr2004,May2004,Jun2004,Jul2004,Aug2004,Sep2004,Oct2004,Nov2004,Dec2004,Jan2005,Feb2005,Mar2005,Apr2005,May2005,Jun2005,Jul2005,Aug2005,Sep2005,Oct2005,Nov2005,Dec2005,Jan2006,Feb2006,Mar2006,Apr2006,May2006,Jun2006,Jul2006,Aug2006,Sep2006,Oct2006,Nov2006,Dec2006,Jan2007,Feb2007,Mar2007,Apr2007,May2007,Jun2007,Jul2007,Aug2007,Sep2007,Oct2007,Nov2007,Dec2007,Jan2008,Feb2008,Mar2008,Apr2008,May2008,Jun2008,Jul2008,Aug2008,Sep2008,Oct2008,Nov2008,Dec2008,Jan2009,Feb2009,Mar2009,Apr2009,May2009,Jun2009,Jul2009,Aug2009,Sep2009,Oct2009,Nov2009,Dec2009,Jan2010,Feb2010,Mar2010,Apr2010,May2010,Jun2010,Jul2010,Aug2010,Sep2010,Oct2010,Nov2010,Dec2010,Jan2011,Feb2011,Mar2011,Apr2011,May2011,Jun2011,Jul2011,Aug2011,Sep2011,Oct2011,Nov2011,Dec2011,Jan2012,Feb2012,Mar2012,Apr2012,May2012,Jun2012,Jul2012,Aug2012,Sep2012,Oct2012,Nov2012,Dec2012,Jan2013,Feb2013,Mar2013,Apr2013,May2013,Jun2013,Jul2013,Aug2013,Sep2013,Oct2013,Nov2013,Dec2013,Jan2014,Feb2014,Mar2014,Apr2014,May2014,Jun2014,Jul2014,Aug2014,Sep2014,Oct2014,Nov2014,Dec2014,Jan2015,Feb2015,Mar2015,Apr2015,May2015,Jun2015,Jul2015,Aug2015,Sep2015,Oct2015,Nov2015,Dec2015,Jan2016,Feb2016,Mar2016,Apr2016,May2016,Jun2016,Jul2016,Aug2016,Sep2016,Oct2016,Nov2016,Dec2016,Jan2017,Feb2017,Mar2017,Apr2017,May2017,Jun2017,Jul2017,Aug2017,Sep2017,Oct2017,Nov2017,Dec2017,Jan2018,Feb2018,Mar2018,Apr2018,May2018,Jun2018,Jul2018,Aug2018,Sep2018,Oct2018,Nov2018,Dec2018,Jan2019,Feb2019,Mar2019,Apr2019,May2019,Jun2019,Jul2019,Aug2019,Sep2019,Oct2019,Nov2019,Dec2019,Jan2020,Feb2020,Mar2020,Apr2020,May2020,Jun2020,Jul2020,Aug2020,Sep2020,Oct2020,Nov2020,Dec2020,Jan2021,Feb2021,Mar2021,Apr2021,May2021,Jun2021,Jul2021,Aug2021,Sep2021,Oct2021,Nov2021,Dec2021,Jan2022,Feb2022,Mar2022,Apr2022,May2022,Jun2022,Jul2022,Aug2022,Sep2022,Oct2022,Nov2022,Dec2022,Jan2023,Feb2023,Mar2023,Apr2023,May2023,Jun2023,Jul2023,Aug2023,Sep2023,Oct2023,Nov2023,Dec2023,Jan2024,Feb2024,Mar2024,Apr2024,May2024,Jun2024,Jul2024,Aug2024,Sep2024,Oct2024,Nov2024,Dec2024,Jan2025,Feb2025,Mar2025,Apr2025,May2025,Jun2025,Jul2025,Aug2025,Sep2025,Oct2025,Nov2025,Dec2025,Jan2026,Feb2026
Albania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Algeria,9424,7812,10695,9150,10261,6930,9207,10106,9420,10726,11580,10943,11935,10024,11160,11160,8835,9450,9765,10385,10050,10044,9600,11935,9455,11629,13609,12570,12400,8700,6603,12276,11340,11749,11190,12679,12245,12236,10075,11490,14694,8940,12090,13454,13710,9889,13170,13764,13051,11676,12462,12750,10540,10890,12989,13268,13050,14105,12390,13454,12400,13020,10385,8280,13702,11130,12834,14043,13980,14570,13920,14136,13702,13746,10974,9600,14198,14070,14229,14570,13650,14539,13410,13795,13888,11928,10757,9930,14787,14610,14601,15903,15000,16058,16740,14601,18383,16296,17887,14700,13423,18450,18600,18290,16470,16182,16770,17980,14415,15988,18941,17250,17670,16290,16058,16771,15000,15221,15030,15748,15376,14268,17019,17310,18662,15150,9796,13144,-,15004,16320,13299,12431,11956,11780,12570,13981,18270,18817,18910,15300,13485,16290,20398,20367,19348,20057,18270,20584,19320,20367,20026,20250,20646,20430,17794,19406,14308,20677,19920,17360,17280,20770,-,19740,20832,19230,20708,19623,18763,19127,19530,19530,18990,20150,19623,17910,14260,19410,20336,19158,18620,20739,16080,14477,19500,19375,20863,17100,19437,16710,20150,20212,18956,19561,21270,17670,15720,13702,19809,20880,20801,20250,20367,17236,16744,19840,-,19654,20280,-,-,15420,13237,17640,19065,18414,18038,18910,17490,18383,18840,19065,18817,17760,15500,14610,19964,19995,18200,20274,18960,17949,18210,18693,17391,15510,15097,19290,18414,16554,17360,20026,18840,19995,19680,19902,19499,18900,17360,18360,20460,17980,18396,20863,19590,17329,16920,17701,19840,19380,20770,18210,20243,20615,19343,-,19890,12989,20310,20863,20739,20040,20894,20160,20863,20894,17808,20584,18210,17949,19740,20119,19499,18660,18755,19830,21266,18569,16156
Angola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,790,783,912,1041,1155,1163,1094,1110,798,1292,1216,1064,1543,1269,1520,1482,1505,1604,-,-,-,23,23,30,1984,1624,1767,1560,1860,1770,1674,1767,1590,2201,2130,2201,2139,1566,1674,-,-,-,1860,1767,870,1085,1020,1178,1612,1008,1364,1140,1178,930,1178,899,780,1395,1290,1519,0,1400,1085,960,651,0,0,1085,960,-,1380,1054,1209,1148,1271,1140,1054,1200,1302,1271,1140,1550,900,1271,1147,1015,1147,1410,1519,1170,1085,1240,1230,1209,810,1488,930,840,1581,1590,1488,1230,1426,1085,1200,1550,1320,1488,1426,1260,1364,1260,1023,630,1178,1519,1410,1581,1620,1736,1240,1316,1612,1470,1612,1560,1612,1953,1650,1891,1590,1767,1550,1537,1736,1590,1705,1800,1829,1643,1020,1767,1740,1488,1705,1596,1581,1410,1705,1710,1426,1550,1530,1643,1260,1612,1178,1624,1550,1680,1643,1530,1488,1333,1680,0,0,248,1457,1540,1612,1800,0,1410,1550,1519,1710,1488,1680,1736,1705,1595,1798,1440,1395,690,1271,1302,1410,1240,1410,1488,837,812,1519,1140,992,2190,1271,1550,1320,2108,780,1550,1674,1624,1364,1590,1240,1260,1581,1426,1230,1581,1290,1457,2201,1652,1860,1620,1209,1320,1457,558,1140,1147,2130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argentina,13208,11495,12973,13116,13402,12494,12171,11805,12690,13352,12946,14274,14824,13448,14485,14141,14834,14583,15489,15389,15284,15000,15203,14790,19220,16547,18743,17613,18293,18280,19443,18594,18833,19546,16915,19363,18106,17619,19331,17024,17357,17571,17920,18966,18908,19455,18420,19443,19189,18075,19487,18853,19088,19047,19415,20395,17765,18095,19433,20081,20041,18739,21048,19897,20975,20654,21461,21525,19971,21488,19600,19827,20236,19077,20093,20435,23027,19798,20054,21362,21253,21058,19118,21004,19776,17694,19258,20078,19113,18695,18329,18447,16971,16807,19011,19341,20942,19757,21781,21141,20786,19881,20208,21262,20392,19914,20707,19924,19192,17573,20183,18909,17725,18737,19457,17568,19935,18674,17747,19401,19100,17643,19438,18602,19351,19274,20442,20714,20561,20647,20595,21917,20841,18962,21885,18929,19659,20812,21048,21430,21308,21284,20787,21876,21494,19167,19084,19837,19745,21063,21608,21008,23300,21019,19859,21526,22458,20318,22386,21969,22335,21148,23009,22036,20985,22105,20934,21820,21584,20676,21463,20661,20816,21014,21615,20845,21157,22024,20388,21916,21388,18628,20985,20467,20102,21033,19991,20488,21010,19690,20371,22224,21519,20317,21595,19840,19840,18113,18027,19909,19552,25479,19122,20465,20388,17790,20717,18398,20676,18479,20233,19929,18436,17214,19577,20798,21006,19366,14933,12544,14869,18479,19033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australia,23233,21531,23617,22551,23664,21822,23892,23139,22402,22433,23594,23609,23280,20990,24001,23421,23884,20387,19501,21704,20355,21539,21673,22268,22660,20371,21751,21335,20653,20018,22276,21163,21767,21492,22065,24237,22762,19320,22880,21116,19516,21704,20755,19132,21202,20841,18716,19838,19799,17744,18952,19061,18207,17235,19979,19391,17964,19454,20355,22574,21524,17572,21265,21171,20810,20849,20763,22998,20661,21822,19846,21437,20998,17125,20347,20253,20489,19869,20590,20755,20449,21312,20967,21155,21058,19570,20420,20210,21618,20810,20996,20563,19431,19666,19564,21696,21132,19221,20413,20214,19414,19353,21925,21564,19823,20539,20949,21175,20235,19954,22349,21301,20287,21524,20895,21563,19807,18145,20749,21979,19808,19762,20874,15403,19677,20556,20951,21539,20398,20950,19603,21020,21693,18436,18738,17859,18123,18880,18629,19128,18020,19967,19184,20677,18954,17752,19994,18781,16880,17192,19520,20332,17878,17749,17082,18218,16663,16180,16309,16504,13487,11640,14816,14288,13354,12942,13286,15259,14505,13657,14926,14615,14578,14650,14346,14784,13539,13872,13860,14346,14621,11271,11108,14468,14581,14079,15159,13872,14128,14478,14715,15200,15746,14308,15866,15265,16175,16011,16225,15316,16378,15361,14987,16445,15695,14906,16420,15739,16112,15622,15698,13761,14474,13827,14203,17036,15845,14936,15779,12401,9676,10161,11157,10556,10813,13599,14144,14492,13776,11274,10886,10890,11030,10818,10220,9145,7657,7757,7892,8777,8722,7130,8195,8449,8340,8073,8142,6753,8570,8041,8166,8474,8342,7677,7898,8061,8153,7073,7865,7176,8429,7974,8202,8210,7757,7971,8248,7988,8250,7854,7430,6518,7694,8018,7668,8640,7840,7576,7855,8419,7475,7589,7534,7212,7330,7663,7339,8581,8226,7242
Austria,5929,5124,6064,5516,5722,5907,5900,5836,5786,6335,5751,5516,5316,5074,5565,5402,6485,6064,5829,5672,5394,5843,5444,5943,5608,5345,5309,4960,4974,5266,5701,5608,6007,6335,5808,5886,6278,4938,5074,6078,5943,5765,5687,5323,5665,6278,6185,6086,5729,4639,5416,5002,6107,5701,5259,5708,5715,6470,5893,6021,5829,5052,5587,4554,5373,6164,6278,5473,5822,6071,5644,6000,6143,5494,5644,5480,5836,5608,5929,5815,6000,5850,5850,5694,6192,5621,6309,5624,6418,5627,6111,6138,5612,6122,6179,6067,5604,5003,5773,5919,4685,4011,6321,5745,6465,6785,6197,5942,6110,5696,6097,6649,5218,5574,6410,5804,6188,6946,6037,6236,5679,4936,5881,5504,5882,5881,6261,6128,6038,6302,5703,5882,5470,5056,5595,6073,5904,6064,6517,6168,5778,6170,6109,5947,6178,5390,5599,4465,6331,6076,5940,6193,5861,6511,6299,6487,6144,5593,6218,6060,6295,5904,5827,6435,6067,6092,6112,6415,5445,5635,5641,2520,5740,6125,6215,6555,6157,6474,6071,6142,6152,5643,6319,3633,4139,5039,6439,6222,6220,6107,5784,6228,6000,5392,5969,5594,6070,6431,6560,6299,6294,6531,6073,6551,6777,5999,6387,6477,6632,6460,6418,6570,6206,6227,6221,6490,6194,5967,5517,5174,5457,4315,6343,6524,6160,6295,4673,5059,5521,4605,5068,5286,5638,5287,5550,5953,5511,5440,5423,5942,5964,5031,5656,4038,2377,1673,2112,1651,1752,5925,5672,5955,5754,5372,5888,5763,5721,4431,4161,4999,5346,5756,5212,5431,5514,4717,5076,5354,4780,5493,5866,5637,5534,6013,5586,6050,6052,5465,5714,5456,5999,5780,6118,5876,5081,5539,5526,5862,5316,5259
Azerbaijan,3178,2963,3286,3100,3834,3617,3514,3621,3202,3239,3003,3258,3380,3459,3577,3415,3090,2807,3036,3529,3351,3227,3661,4712,3686,3630,4113,3356,3537,3674,3679,3836,3590,3644,3445,3920,3748,3057,3700,5058,4613,4100,4074,4054,4482,4931,4752,4663,3940,4980,4289,3876,4587,4308,4774,4423,3401,3761,4180,4930,4607,3429,4287,4209,4229,4547,4684,4067,3679,4552,4279,5250,3712,4085,4030,3251,3703,3657,3753,3587,3777,3888,4014,4024,4022,2952,3133,3464,3362,3379,3748,3952,3943,3691,3381,3808,3629,3745,4192,4355,3533,3544,4204,3960,4235,4277,3966,4343,3764,2729,4051,4099,4126,3308,4357,4240,4263,4042,3442,4154,3483,3199,3771,3404,3831,3752,3708,4122,3780,3324,3582,3561,4176,3599,3815,3641,3976,4054,3874,3898,3592,3865,3970,3885,3778,3290,4011,2506,2980,4505,4896,4576,4458,4459,4049,3764,3626,3418,4328,4460,3949,2014,4474,4057,4053,4188,3998,3535,3868,3547,4016,3305,3672,3158,3762,2145,3820,3918,3593,3389,3666,3393,3123,3522,3501,2932,3453,2049,2899,3367,3692,3686,3686,3315,3534,3778,3865,3587,3889,4313,3564,2808,2967,4549,3521,3554,3698,3409,4023,3788,4307,4042,3877,1787,3979,4354,4356,3554,3961,3102,3550,3384,3509,3982,1385,3589,3776,3622,3477,3157,3897,4307,4392,4194,4796,4578,4384,3864,4104,4177,4590,3743,3875,1739,2125,4168,4974,4317,4214,4721,4049,4243,3947,3572,4433,4006,3279,4432,4147,4111,4033,4345,3938,3999,3419,4266,4328,4035,3601,3638,4009,4541,4131,4184,314,2253,4043,4633,2231,3125,4331,4342,4517,4071,4103,4326,3715,4048,3458,-
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5197,4814,5121,5371,5604,5491,5440,5514,2792,5151,4906,5249,6699,6305,6906,6721,7035,6807,7051,7146,6910,7208,7096,6960,6926,6453,7061,6070,7149,6987,7198,7217,6724,7380,6533,6102,6715,5297,7056,6694,7070,6668,6903,6895,6623,6986,6596,6913,6673,6212,6931,6295,6774,6640,6546,6830,6623,5452,6174,6555,8306,6261,5826,8421,8580,8075,8455,8487,8196,8523,8193,8494,8776,7662,8440,8114,8308,8064,8520,8681,8373,8595,7985,8522,8487,7708,5503,7467,8529,8107,8583,8535,7868,8369,8392,8600,8498,8031,8142,8327,8680,7645,8661,8454,8204,7812,8336,9205,8615,6925,7686,8705,8632,8271,8200,8637,8770,8783,8427,9056,8739,7978,7138,6628,9096,8907,9037,9073,8196,9148,8613,8677,9126,7833,8952,7822,8055,8256,8637,8681,8311,8732,8412,8915,8675,8060,8812,7201,8652,8581,8536,8819,8235,8299,6859,7320,8430,7680,8392,7991,8464,8436,8463,8765,8486,8545,6933,7763,6957,8072,8549,8010,8356,8528,8775,8474,8205,8404,7426,8377,8799,7938,8687,7855,8166,8065,8343,8773,7662,8485,8570,8523,7976,6883,7469,7230,5715,7623,7564,7835,7458,5241,5970,7000,6522,6364,7666,5292,6146,6218,7313,6836,7855,8768,8406,7521,8075,7988,8566,8229,8529,8133,8536,7196,6039,6214,7559,8751,8025,4852,8055,7911,8394,7868,8183,8337,8593,8635,8533,8396,8848,8453,8956,7999,8779,8127,8472,9244,8287,7912,8141,9043,8606,8079,7976,8618,8352,7404,8562,9299,11578,12371,12758,13196,12940,12274
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,926,879,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
