reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
398,Kazakhstan,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",39182812.061,Tons,0,No quantity,52419346.000,Tons,52404684.000,Tons,54568900.000,Tons,60796354.000,Tons,60708680.000,Tons,67262229.000,Tons,67467167.000,Tons,69611496.000,Tons,68138469.000,Tons,70697377.000,Tons,68215707.000,Tons,63581716.000,Tons,62278638.000,Tons,68703623.000,Tons,69790206.000,Tons,70009090.000,Tons,70583853.000,Tons,65707717.000,Tons,65202597.000,Tons,70665927.000,Tons,71022740.000,Tons,76032210.000,Tons
398,Kazakhstan,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4636093.000,Tons,0,,9575377.000,Tons,9003386.000,Tons,10076636.000,Tons,12089555.000,Tons,14377221.000,Tons,15822684.000,Tons,15935167.000,Tons,17703536.000,Tons,17745856.000,Tons,19671494.000,Tons,19515332.000,Tons,17883823.000,Tons,21716249.000,Tons,21283372.000,Tons,21027248.000,Tons,17074562.000,Tons,19665707.000,Tons,17912964.000,Tons,18215607.000,Tons,24184330.000,Tons,30738599.000,Tons,28857438.000,Tons
398,Kazakhstan,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,516747.000,Tons,810522.000,Tons,1916503.000,Tons,2762375.000,Tons,3901945.000,Tons,4935469.000,Tons,6992661.000,Tons,8104783.000,Tons,7950209.000,Tons,9406855.000,Tons,8120918.000,Tons,8867209.000,Tons,7850633.000,Tons,9424058.000,Tons,9520221.000,Tons,7410979.000,Tons,7929919.000,Tons,8188826.000,Tons,6108956.000,Tons,5978586.000,Tons,7669430.000,Tons,10595382.000,Tons
398,Kazakhstan,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,5520092.000,Tons,7254442.000,Tons,6850631.000,Tons,7349859.000,Tons,6903836.000,Tons,7410857.000,Tons,7319474.000,Tons,6105468.000,Tons,6153018.000,Tons,6168408.000,Tons,5543147.000,Tons,5551643.000,Tons,4999956.000,Tons,7029774.000,Tons,6661158.000,Tons,7024677.000,Tons,4675461.000,Tons,4565221.000,Tons,3739707.000,Tons,4363858.000,Tons,5264713.000,Tons,5569492.000,Tons
398,Kazakhstan,642,Romania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",770721.726,Tons,0,,28000.000,Tons,940936.000,Tons,1494885.000,Tons,1359394.000,Tons,1220648.000,Tons,1935189.000,Tons,2386669.000,Tons,2877032.000,Tons,3681546.000,Tons,2991210.000,Tons,4031925.000,Tons,3074062.000,Tons,2406033.000,Tons,2409161.000,Tons,2992116.000,Tons,3697112.000,Tons,3485523.000,Tons,3296737.000,Tons,3587563.000,Tons,4720856.000,Tons,4512928.000,Tons,5323056.000,Tons
398,Kazakhstan,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",18945.000,Tons,0,,0,,222423.000,Tons,709646.000,Tons,703683.000,Tons,524974.000,Tons,1369060.000,Tons,1721143.000,Tons,639183.000,Tons,704261.000,Tons,877896.000,Tons,2315983.000,Tons,2721281.000,Tons,2594706.000,Tons,1998600.000,Tons,2035531.000,Tons,2584368.000,Tons,4008114.000,Tons,2605611.000,Tons,2131942.000,Tons,3594491.000,Tons,4405236.000,Tons,4258904.000,Tons
398,Kazakhstan,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",634973.000,Tons,0,,2382537.000,Tons,1172803.000,Tons,2933375.000,Tons,5735124.000,Tons,5659046.000,Tons,5922244.000,Tons,9730661.000,Tons,11036376.000,Tons,10608595.000,Tons,11167961.000,Tons,6269909.000,Tons,5097891.000,Tons,3240914.000,Tons,2357088.000,Tons,1646992.000,Tons,2460428.000,Tons,3824308.000,Tons,3616627.000,Tons,5345815.000,Tons,5748270.000,Tons,2899766.000,Tons,3773526.000,Tons
398,Kazakhstan,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,936420.000,Tons,1172249.000,Tons,1855872.000,Tons,1247690.000,Tons,1148294.000,Tons,1369228.000,Tons,1534357.000,Tons,1234237.000,Tons,709244.000,Tons,2176412.000,Tons,2702650.000,Tons,2513366.000,Tons,2937845.000,Tons,3484406.000,Tons,3183390.000,Tons,4231279.000,Tons,3363198.000,Tons,3473510.000,Tons,2956358.000,Tons,2319884.000,Tons,2102947.000,Tons,2606671.000,Tons
398,Kazakhstan,757,Switzerland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2323497.000,Tons,0,,15171561.000,Tons,16285568.000,Tons,15825910.000,Tons,15978656.000,Tons,14469130.000,Tons,5802548.000,Tons,136476.000,Tons,4546925.000,Tons,2695829.000,Tons,4050342.000,Tons,5244186.000,Tons,5955268.000,Tons,8402514.000,Tons,7459367.000,Tons,5204627.000,Tons,5276194.000,Tons,4332322.000,Tons,2251113.000,Tons,1698580.000,Tons,1786650.000,Tons,1995627.000,Tons,1891407.000,Tons
398,Kazakhstan,792,Türkiye,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",256971.000,Tons,0,,170997.000,Tons,0,,85465.000,Tons,561951.000,Tons,1079832.000,Tons,580235.000,Tons,487380.000,Tons,1096037.000,Tons,1097949.000,Tons,1353165.000,Tons,1253726.000,Tons,695394.000,Tons,535245.000,Tons,469474.000,Tons,817491.000,Tons,3356767.000,Tons,3473158.000,Tons,3484241.000,Tons,4055892.000,Tons,3478574.000,Tons,1978382.000,Tons,2859713.000,Tons
398,Kazakhstan,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",190988.000,Tons,0,,687304.000,Tons,1324222.000,Tons,502457.000,Tons,423025.000,Tons,83177.000,Tons,521629.000,Tons,308182.000,Tons,608230.000,Tons,0,,0,,0,,18679.000,Tons,0,,0,,1024540.000,Tons,1049969.000,Tons,684752.000,Tons,979294.000,Tons,818608.000,Tons,1356400.000,Tons,1763412.000,Tons,643768.000,Tons
398,Kazakhstan,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,942795.000,Tons,1512262.000,Tons,270554.000,Tons,2375506.000,Tons,4889535.000,Tons,5875210.000,Tons,2268032.000,Tons,3306950.000,Tons,5754040.000,Tons,5535844.000,Tons,1723365.000,Tons,1456493.000,Tons
398,Kazakhstan,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,76620.000,Tons,134791.000,Tons,286180.000,Tons,200096.000,Tons,231978.000,Tons,868830.000,Tons,532530.000,Tons,215423.000,Tons,2372194.000,Tons,3135537.000,Tons,3350005.000,Tons,1602384.000,Tons,1751509.000,Tons
398,Kazakhstan,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",719255.000,Tons,0,,81999.000,Tons,235857.000,Tons,88000.000,Tons,292916.000,Tons,131998.000,Tons,844510.000,Tons,1088046.000,Tons,168513.000,Tons,428169.000,Tons,15015.000,Tons,118963.000,Tons,126997.000,Tons,202191.000,Tons,150224.000,Tons,186996.000,Tons,5008.000,Tons,18633.000,Tons,108790.000,Tons,141248.000,Tons,688410.000,Tons,1522069.000,Tons,1857391.000,Tons
398,Kazakhstan,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,93029.000,Tons,79753.000,Tons,0,,0,,25013.000,Tons,269265.000,Tons,1213524.000,Tons,407599.000,Tons,500714.000,Tons,1527370.000,Tons,1296326.000,Tons,2720157.000,Tons,4860521.000,Tons,3231190.000,Tons,2205543.000,Tons,400667.000,Tons,486193.000,Tons,391942.000,Tons
398,Kazakhstan,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",106643.000,Tons,0,,39962.000,Tons,0,,0,,202000.000,Tons,335000.000,Tons,425372.000,Tons,297664.000,Tons,655985.000,Tons,403630.000,Tons,80006.000,Tons,11990.000,Tons,29247.000,Tons,80076.000,Tons,444563.000,Tons,316651.000,Tons,555414.000,Tons,517766.000,Tons,619697.000,Tons,75399.000,Tons,9016.000,Tons,424496.000,Tons,331329.000,Tons
398,Kazakhstan,191,Croatia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",23931.000,Tons,0,,393264.000,Tons,84936.000,Tons,0,,191315.000,Tons,0,,225262.000,Tons,37041.000,Tons,102127.000,Tons,181975.000,Tons,562066.000,Tons,285297.000,Tons,301948.000,Tons,38697.000,Tons,723858.000,Tons,593694.000,Tons,227253.000,Tons,831583.000,Tons,1126531.000,Tons,474638.000,Tons,646097.000,Tons,393232.000,Tons,705359.000,Tons
398,Kazakhstan,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",728916.000,Tons,0,,397037.000,Tons,446163.000,Tons,1631306.000,Tons,1205475.000,Tons,690090.000,Tons,692299.000,Tons,865685.000,Tons,715940.000,Tons,492223.000,Tons,676591.000,Tons,292914.000,Tons,168734.000,Tons,0,,276058.000,Tons,0,,129222.000,Tons,0,,0,,809989.000,Tons,272202.000,Tons,274500.000,Tons,827841.000,Tons
398,Kazakhstan,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,229289.000,Tons,1103120.000,Tons,1690105.000,Tons,784360.000,Tons,787780.000,Tons,263752.000,Tons,524800.000,Tons
