reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
276,Germany,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",193772,96378,121771,96903,68186,196335,121951,26921,303355,81566,148374,243599,344072,91384,22084,102578,105192,17154,16006,228161,120248,9921,133837,37050
276,Germany,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",104264,57946,88852,13885,19715,17798,0,1,20734,12963,96123,136737,86756,70872,18772,8621,60488,14574,595,226462,109362,229,88113,7465
276,Germany,752,Sweden,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,2729,13147,41367,9183,113,0,0,0,0,0,0,5,10,3,0,38459,1,1,8,89,0,22480,0
276,Germany,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",40,4,12,16,6,275,757,532,30,2,45,17,634,2,140,17,109,163,111,146,321,111,13819,437
276,Germany,634,Qatar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,2,0,0,0,3,,0,0,0,0,0,0,6066,5997,
276,Germany,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,1270,1583,1769,2122,1028,10233,1453,6846,5543,5730,3242,424,1088,1184,992,256,108,464,1706,1522,1126
276,Germany,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,185,575,938,1192,780,1087,1524,1365,1433,1210,923,781,874,950,944,14737,850,1105,1268,1111,686
276,Germany,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",14000,8,8,10483,35690,41262,53561,23134,3112,5,1,4,5,85,31,1545,2869,389,188,443,8795,169,778,10856
276,Germany,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3882,347,17,48,13,18,8,86,80432,34315,42284,22199,18182,15287,115,40025,18,17,63,23,40,349,8,0
276,Germany,442,Luxembourg,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",43,4,5,8,4,1,0,2,6,9,8,14,1,4,1,1,19,22,15,27,19,10,5,2
276,Germany,372,Ireland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",16,0,0,8,0,108420,63603,15,56397,42,24,36,593,792,1645,2484,1010,6,9,2,0,0,2,1
276,Germany,508,Mozambique,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
276,Germany,008,Albania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
276,Germany,012,Algeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,,,,,,,0,
276,Germany,024,Angola,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
276,Germany,031,Azerbaijan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0
276,Germany,032,Argentina,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Germany,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
276,Germany,048,Bahrain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,5,12,0,0,0,0,0,0,
276,Germany,068,"Bolivia, Plurinational State of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
276,Germany,072,Botswana,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
276,Germany,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",29224,0,0,0,0,25575,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Germany,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0
276,Germany,120,Cameroon,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,
276,Germany,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,1,0,0,0,0,2,0,0,20,1,0,1,0,0,0,1,0,0,0,2,0,27
276,Germany,144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,1,10,11,15,0,5,3,0,12,3,1,1,0,,0,0,0,0,0,0,
276,Germany,152,Chile,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Germany,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Germany,178,Congo,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,
