reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
398,Kazakhstan,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5027886,7012513,11417126,17395248,23611993,28125876,43507923,26206872,36982293,55174351,56442432,57249535,53626939,26773013,19378014,26584364,37796202,33563062,23703746,31089837,46920647,42314945,42878761,39898423
398,Kazakhstan,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",581016,736544,2342596,3182486,4835725,5940504,10738830,6399116,9152128,14525110,14902657,16169065,15730875,7892581,7299325,8450658,11467144,8197470,6534242,8624600,13321249,14483984,18350310,15217565
398,Kazakhstan,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,62273,118281,268669,856517,1364558,2956103,2034688,3804540,6188405,6666263,7668243,6419480,3734939,2376480,3643674,5200235,3597897,2549027,3732852,4299088,3360016,4686782,5568891
398,Kazakhstan,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,251463,1458430,2645478,3128730,3559485,5114069,2947668,4133805,5057837,5271742,5208486,4548291,2418080,1576244,2806045,3702541,3429687,1603806,2088067,2723751,2653360,3230893,3009588
398,Kazakhstan,642,Romania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",98898,0,6321,370843,713940,671201,980895,818565,1239702,2208389,2897614,2341464,3062803,1298519,693068,878703,1465991,1717404,1235893,1428057,2386422,2673684,2651105,2600676
398,Kazakhstan,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3145,1569,0,99311,329958,354239,411379,506564,940423,514130,603432,735926,1884988,1259575,791207,799596,1126364,1229319,1282523,1217747,1535684,2211016,2754930,2340850
398,Kazakhstan,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",79087,305306,491311,417546,1317197,2646237,4103827,2298125,5374405,8602331,8713378,8690390,4879512,2048072,876512,853409,829488,1179232,1194215,1859566,4099745,3762236,1887592,2034766
398,Kazakhstan,792,Türkiye,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",32013,37692,37129,0,37897,283120,861495,273113,273564,927493,958344,1129439,1038334,333893,175816,180092,463265,1557473,1243809,1668301,2898124,2101964,1217715,1505963
398,Kazakhstan,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,6009,249702,436131,892319,613460,828923,538649,857841,962989,583815,1755149,2202842,1084234,914124,1380174,1773503,2076557,1083603,1561981,2196276,1419936,1317578,1432835
398,Kazakhstan,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",106420,19286,14698,75844,32156,116875,78710,355860,547600,116233,350550,11013,55361,49737,54868,55985,87737,2134,4640,57113,124534,427580,927079,976959
