reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
784,United Arab Emirates,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",15300468,20841991,27256039,40342636,56424306,61447784,94557298,47167587,61904310,93065706,102362811,106402987,97991832,52589006,40651515,51642452,67105652,69710059,48461172,75290914,134496502,111038021,115683798,108017173
784,United Arab Emirates,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",8881887,10964662,14467784,20658762,25799921,26401175,39078860,17557533,22324095,33104005,33455492,33313984,31784340,17496284,12887702,15645624,20681106,21852893,13724993,21963646,38469480,31896701,31469695,27808960
784,United Arab Emirates,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,194043,413006,1028950,1468467,1880432,3355750,1526865,3109351,5518694,7479299,8367315,9088933,5129799,3856653,4098922,6682707,7526758,9929602,16374298,32246641,26595729,22001147,20818102
784,United Arab Emirates,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,2823669,4953110,9965895,5026346,7276577,10815660,12968659,12053004,11679081,6250231,5631135,6557152,9023430,9750575,7817226,11715461,17839385,8633512,14344319,15033944
784,United Arab Emirates,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1325232,1926222,3491565,5436700,6914053,6517088,10667648,6315213,7984381,12626697,14028738,15762380,10637329,6504863,4665488,5767157,8642714,5970174,4340103,6796353,14909507,14693289,14884375,12281957
784,United Arab Emirates,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",787422,905606,1263512,1470038,2603791,3051268,4547855,2808676,3963087,7563865,11515763,11262039,10074153,4701679,4018932,5879811,5813109,6620993,3419386,7004463,9504453,7300099,7942052,11027842
784,United Arab Emirates,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2875165,4188643,5455057,7804830,10496272,10238282,16547976,7284372,8778961,9804779,9869396,12502990,11602208,5612349,3842089,5048849,5330948,5965735,3604869,3767657,9224971,9799588,11960756,8764643
784,United Arab Emirates,586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,286629,315246,999264,1119930,1110298,1693503,898372,1079223,2295024,2932462,2632096,2757305,1383836,1099212,1844653,2944689,2511903,1279417,1743532,2633414,1194788,2369887,2974294
784,United Arab Emirates,490,Chinese Taipei,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",270968,358406,502557,855883,1558228,1401769,1631042,821209,1271930,1802135,2445187,2218789,2810207,1405764,750439,1655476,2049443,2356461,1214990,1946899,2498570,2031649,2382550,2755740
784,United Arab Emirates,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",29659,190378,208364,364354,512259,687742,1108971,479413,699328,670460,1402474,1442998,1299584,394558,371195,576020,288603,1026268,364795,375674,1955718,2286130,3003643,2604455
784,United Arab Emirates,608,Philippines,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",327300,433192,19280,127532,258316,1100106,1314871,701397,1270530,1573351,1823356,926797,738235,381794,404655,513180,1184545,714747,19376,310019,1099411,1173300,1218774,1269221
784,United Arab Emirates,144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",52432,18011,16514,0,0,53625,0,0,1,0,58308,661659,1057995,609170,488550,602753,,749645,404838,489548,135756,845325,776507,797169
784,United Arab Emirates,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",67862,104689,77961,242042,165837,243707,171033,721972,24496,295599,0,0,652639,37933,260422,413990,141382,61614,106580,459704,462932,570371,1203473,745424
784,United Arab Emirates,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249093,221907,186525,1083336,680744,505466,429772
784,United Arab Emirates,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,41924,0,0,304033,0,26597,0,0,0,0,0,0,0,0,244960,1451549,618399,428982
784,United Arab Emirates,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,14733,0,258718,182545,185906,553753,224330,555489,474378,452514,256137,677268,530262,214263,46518,408929,1043209,207311,74342,0,0,0,104323
784,United Arab Emirates,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1,0,0,63582,528989,518915,274237,92415,71761,282295,2,122591,232085,210408,114465,120905,0,1,1,2,492997,604938,135785,91045
784,United Arab Emirates,512,Oman,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",214,0,2354,389,1250,1411,1339,1427,308,183,3830,5316,4289,0,0,126,0,11,23,105,151,156,27381,54169
