Country,Jan2002,Feb2002,Mar2002,Apr2002,May2002,Jun2002,Jul2002,Aug2002,Sep2002,Oct2002,Nov2002,Dec2002,Jan2003,Feb2003,Mar2003,Apr2003,May2003,Jun2003,Jul2003,Aug2003,Sep2003,Oct2003,Nov2003,Dec2003,Jan2004,Feb2004,Mar2004,Apr2004,May2004,Jun2004,Jul2004,Aug2004,Sep2004,Oct2004,Nov2004,Dec2004,Jan2005,Feb2005,Mar2005,Apr2005,May2005,Jun2005,Jul2005,Aug2005,Sep2005,Oct2005,Nov2005,Dec2005,Jan2006,Feb2006,Mar2006,Apr2006,May2006,Jun2006,Jul2006,Aug2006,Sep2006,Oct2006,Nov2006,Dec2006,Jan2007,Feb2007,Mar2007,Apr2007,May2007,Jun2007,Jul2007,Aug2007,Sep2007,Oct2007,Nov2007,Dec2007,Jan2008,Feb2008,Mar2008,Apr2008,May2008,Jun2008,Jul2008,Aug2008,Sep2008,Oct2008,Nov2008,Dec2008,Jan2009,Feb2009,Mar2009,Apr2009,May2009,Jun2009,Jul2009,Aug2009,Sep2009,Oct2009,Nov2009,Dec2009,Jan2010,Feb2010,Mar2010,Apr2010,May2010,Jun2010,Jul2010,Aug2010,Sep2010,Oct2010,Nov2010,Dec2010,Jan2011,Feb2011,Mar2011,Apr2011,May2011,Jun2011,Jul2011,Aug2011,Sep2011,Oct2011,Nov2011,Dec2011,Jan2012,Feb2012,Mar2012,Apr2012,May2012,Jun2012,Jul2012,Aug2012,Sep2012,Oct2012,Nov2012,Dec2012,Jan2013,Feb2013,Mar2013,Apr2013,May2013,Jun2013,Jul2013,Aug2013,Sep2013,Oct2013,Nov2013,Dec2013,Jan2014,Feb2014,Mar2014,Apr2014,May2014,Jun2014,Jul2014,Aug2014,Sep2014,Oct2014,Nov2014,Dec2014,Jan2015,Feb2015,Mar2015,Apr2015,May2015,Jun2015,Jul2015,Aug2015,Sep2015,Oct2015,Nov2015,Dec2015,Jan2016,Feb2016,Mar2016,Apr2016,May2016,Jun2016,Jul2016,Aug2016,Sep2016,Oct2016,Nov2016,Dec2016,Jan2017,Feb2017,Mar2017,Apr2017,May2017,Jun2017,Jul2017,Aug2017,Sep2017,Oct2017,Nov2017,Dec2017,Jan2018,Feb2018,Mar2018,Apr2018,May2018,Jun2018,Jul2018,Aug2018,Sep2018,Oct2018,Nov2018,Dec2018,Jan2019,Feb2019,Mar2019,Apr2019,May2019,Jun2019,Jul2019,Aug2019,Sep2019,Oct2019,Nov2019,Dec2019,Jan2020,Feb2020,Mar2020,Apr2020,May2020,Jun2020,Jul2020,Aug2020,Sep2020,Oct2020,Nov2020,Dec2020,Jan2021,Feb2021,Mar2021,Apr2021,May2021,Jun2021,Jul2021,Aug2021,Sep2021,Oct2021,Nov2021,Dec2021,Jan2022,Feb2022,Mar2022,Apr2022,May2022,Jun2022,Jul2022,Aug2022,Sep2022,Oct2022,Nov2022,Dec2022,Jan2023,Feb2023,Mar2023,Apr2023,May2023,Jun2023,Jul2023,Aug2023,Sep2023,Oct2023,Nov2023,Dec2023,Jan2024,Feb2024,Mar2024,Apr2024,May2024,Jun2024,Jul2024,Aug2024,Sep2024,Oct2024,Nov2024,Dec2024,Jan2025,Feb2025,Mar2025,Apr2025,May2025,Jun2025,Jul2025,Aug2025,Sep2025,Oct2025,Nov2025,Dec2025,Jan2026,Feb2026
Albania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Algeria,0,0,0,0,186,180,186,124,180,186,210,186,558,280,186,0,310,180,341,0,390,31,420,0,186,203,155,210,248,150,124,279,210,217,240,248,248,112,0,240,155,180,248,248,240,217,240,248,186,224,217,240,217,150,248,248,0,248,240,186,186,112,186,210,279,300,310,310,330,310,330,310,310,319,0,0,279,270,341,341,270,186,240,248,279,168,248,270,248,300,372,341,240,124,240,279,217,140,217,240,248,240,217,217,90,155,210,155,124,224,0,300,186,90,186,31,150,124,150,62,186,174,217,210,248,420,186,217,-,248,120,217,124,0,0,240,248,210,248,0,0,248,0,0,372,0,0,420,186,240,0,186,420,248,0,186,0,0,186,240,186,0,0,-,150,434,0,434,0,0,434,210,0,240,186,0,240,155,0,403,0,168,248,0,155,0,155,403,0,62,180,217,155,0,434,0,155,180,0,0,240,0,180,0,0,280,0,-,217,0,-,-,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,180,0,180,0,186,0
Angola,-,-,-,-,-,-,-,-,-,-,-,-,22,52,22,37,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argentina,0,280,697,0,0,0,0,0,0,0,0,0,7,0,0,390,490,405,5,0,14,5,472,5,398,108,5,91,112,859,251,1079,0,453,14,345,270,106,101,272,188,215,95,0,75,86,83,65,174,144,123,2,0,0,0,14,18,89,0,0,31,18,85,21,13,0,10,5,0,19,30,54,9,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,312,0,165,430,148,373,0,0,270,0,192,528,0,0,695,0,653,1287,497,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australia,11851,14062,10937,10451,11763,11143,11033,13347,9021,13185,11821,14438,15971,8726,14622,14047,10473,12794,9426,10060,11357,9301,10075,11556,9618,12986,13384,12787,11107,10488,12861,10885,11217,12536,13539,14526,9905,11954,15455,11844,11143,12529,13310,10045,9493,13325,9773,10819,12072,12242,13421,10687,12138,11770,10104,12367,11468,10325,10488,14711,12875,11306,13620,11821,13517,12396,12514,14887,12352,13428,14430,12956,13340,10967,12404,12566,9677,10863,13347,11342,11888,12124,9692,12934,10679,11969,9706,11799,12757,12271,14777,11107,11519,10178,12190,16030,12757,13730,13038,15138,12087,14968,15153,14747,15035,11785,15691,18646,13480,14954,18322,14416,14268,18101,13561,16804,11659,13480,12883,16162,15448,14430,15632,12418,16148,13384,17629,18978,14416,13635,16708,13657,12934,14320,13775,13163,14733,12109,15212,12057,13214,14865,14136,13841,14607,17025,11254,12610,11564,14482,14445,13082,15219,11394,11903,12794,11740,12175,11269,12175,7812,9227,8748,8719,5638,9846,8417,10134,9065,8925,10244,11475,11040,10679,9478,11210,10495,8741,10126,10244,10252,7215,11084,7871,13517,7812,11158,10362,10163,11350,10554,10812,10812,9751,11188,11011,11431,11512,8873,12057,10827,10289,13214,10716,12124,9647,10222,8800,10053,10126,9411,9920,7097,11527,6662,14305,9787,7724,11615,11379,3066,3191,4466,6471,5557,8136,9198,6493,7540,7746,8144,6567,5528,8033,5808,5284,5329,6567,3877,5144,5262,4400,6220,5675,4415,4120,6699,4989,4466,5984,5292,4562,4105,5373,4311,4319,4525,3685,4931,4076,4673,5616,4533,5852,2019,6117,4687,4842,6670,4017,3110,4673,4326,5211,4768,5343,5078,4061,5535,4680,5535,6161,2469,4319,4842,6604,5896,6183,5815,5174
Austria,5168,4635,5295,3533,5160,5520,5385,5385,5025,5535,5190,5070,4133,4395,4950,4725,4845,5618,4680,5108,4568,5168,4830,5625,5318,4800,4673,2963,3143,5033,4920,5198,5528,5423,5085,4628,4718,4365,4748,4463,5220,5385,4913,4283,5093,5175,4875,5505,5123,3953,4433,3548,5295,5408,3630,5310,4620,5205,5738,5475,4575,4425,5303,2130,4493,5543,5018,5130,4358,5445,5310,5205,4538,4725,4860,4703,5228,5265,5070,5355,4860,4598,4785,4988,4252,4334,4230,4326,4798,4002,5476,4444,4415,4908,4533,4997,3965,4105,4297,4680,2064,1673,4791,4533,4429,5144,5159,5012,4680,3788,4967,4061,4393,4216,4503,4400,4429,4533,4997,4791,4341,4157,4393,4842,4334,4628,4938,4886,4901,5395,4135,4127,4275,4024,4525,4768,4732,4960,5233,5026,4621,4886,5159,5115,4577,4503,4304,2941,5093,4577,5218,4982,4319,5026,4857,4967,5461,4908,4584,5107,5093,4518,4547,4724,5712,4599,5174,5107,4393,4444,4761,280,4334,4931,5270,5211,4650,5314,5255,5218,5247,4732,4481,1872,3656,3855,4555,5601,5063,5078,5048,4017,5196,4039,5491,4525,5159,4975,5225,4982,5542,5218,5218,5830,5012,5682,5550,5034,5469,4997,5107,5321,5299,5417,5093,5343,5690,4466,4989,4768,4061,2941,5631,5424,4931,5410,3361,3162,4975,3913,3810,5004,5056,4628,4938,4665,5012,5012,4326,4429,5822,4569,4569,2992,870,1916,884,848,685,4407,5159,5159,4363,5373,5107,4304,5247,3869,4297,4216,4945,4857,4356,4849,4673,3965,4702,4252,4459,4356,5638,4717,4577,5336,4702,4916,5535,4768,4864,4407,5491,5520,5284,5535,4311,5380,4894,4953,3928,4975
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,840,1047,1201,818,848,612,332,199,1150,3331,1002,1172,310,-
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,6670,7044,6876,7022,6516,7125,7147,3093,7022,6898,7147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,7323,7081,5248,6538,6942,7326,5410,4540,7075,7444,7112,7399,7237,7149,7355,7171,7436,7355,6736,7392,7156,7341,7068,7392,7348,7127,7363,6906,7259,7200,6537,4378,6316,7171,6810,7016,7083,6611,6979,6876,7119,7031,6522,6486,6721,7024,6102,7068,6729,6751,6213,6854,7002,7178,5542,5977,6817,6780,6758,6758,6943,6545,6884,6707,7053,6891,6242,5012,4945,6847,6618,6861,6839,6618,6965,6699,6581,7002,6338,6965,6279,6147,6331,6876,6847,6574,6839,6648,6810,6898,6493,6729,5528,6928,6670,6876,6891,6670,6729,5446,5940,7097,6191,7142,6736,7149,7002,7031,7186,6891,7223,5557,6265,5174,6552,7068,6648,7075,6987,7289,7127,5962,7385,6213,6891,7363,6515,7267,6250,6817,6898,7105,7193,6066,7060,7083,6994,6331,5395,6007,5218,4393,5881,6014,6427,5771,3744,4702,5690,5041,4989,6095,3899,4518,4894,5564,5476,6213,7164,6847,5977,6685,6537,7267,7060,7237,6965,7134,6110,4894,5004,6250,7274,6736,3457,6729,6707,6463,6301,6198,6397,7002,7171,7031,6522,7296,6854,7259,6626,6655,6139,6861,7252,6803,6574,6611,7820,7296,6861,6515,6943,6994,5999,7149,7576,9537,10768,10804,11453,10090,9817
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
