reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
124,Canada,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",82702.000,Tons,0,No quantity,0,No quantity,0,No quantity,0,No quantity,0,No quantity,0,No quantity,53230755.000,Tons,117576027.000,Tons,124281962.000,Tons,0,No quantity,0,No quantity,111693904.000,Tons,176122536.000,Cubic meters,176835600.000,Cubic meters,195074221.000,Cubic meters,206519060.000,Cubic meters,217769560.000,Cubic meters,209243819.000,Cubic meters,219941140.000,Cubic meters,222332000.000,Cubic meters,229178633.000,Cubic meters,245995467.000,Cubic meters,253404041.000,Cubic meters
124,Canada,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",82702.000,Tons,0,,0,,0,,0,,0,,0,,52776953.000,Tons,116993269.000,Tons,123546266.000,Tons,0,,0,,107989273.000,Tons,174675182.000,Cubic meters,174737627.000,Cubic meters,192558976.000,Cubic meters,199007971.000,Cubic meters,212396610.000,Cubic meters,202475480.000,Cubic meters,214757863.000,Cubic meters,217179866.000,Cubic meters,222939028.000,Cubic meters,235285011.000,Cubic meters,228012542.000,Cubic meters
124,Canada,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,228109.000,Tons,396001.000,Tons,735659.000,Tons,0,,0,,55614.000,Tons,311583.000,Cubic meters,0,,591347.000,Cubic meters,1161973.000,Cubic meters,651754.000,Cubic meters,1063133.000,Cubic meters,268378.000,Cubic meters,0,,0,,3984542.000,Cubic meters,11523231.000,Cubic meters
124,Canada,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,43090.000,Tons,47894.000,Cubic meters,22486.000,Cubic meters,0,,676735.000,Cubic meters,1557475.000,Cubic meters,1493585.000,Cubic meters,579541.000,Cubic meters,851953.000,Cubic meters,2070281.000,Cubic meters,1688221.000,Cubic meters,3610262.000,Cubic meters
124,Canada,344,"Hong Kong, China",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,48477.000,Tons,0,,0,,0,,80757.000,Cubic meters,0,,343571.000,Cubic meters,358516.000,Cubic meters,182390.000,Cubic meters,95647.000,Cubic meters,745774.000,Cubic meters,2223758.000,Cubic meters
124,Canada,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,50321.000,Tons,97307.000,Tons,0,,0,,0,,64597.000,Tons,0,,0,,0,,0,,0,,54246.000,Cubic meters,8585.000,Cubic meters,0,,0,,885147.000,Cubic meters,2090905.000,Cubic meters
124,Canada,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,17.000,Tons,13.000,Tons,0,,0,,866528.000,Tons,713224.000,Cubic meters,1156036.000,Cubic meters,663961.000,Cubic meters,2265847.000,Cubic meters,1573391.000,Cubic meters,1426022.000,Cubic meters,790453.000,Cubic meters,1430837.000,Cubic meters,1948620.000,Cubic meters,1234944.000,Cubic meters,1817393.000,Cubic meters
124,Canada,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,1.000,Tons,0,,0,,0,,0,,0,,0,,17974.000,Cubic meters,0,,56028.000,Cubic meters,176358.000,Cubic meters,107267.000,Cubic meters,9.000,Cubic meters,510146.000,Cubic meters,940083.000,Cubic meters,948680.000,Cubic meters,1691872.000,Cubic meters
124,Canada,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,102963.000,Cubic meters,88715.000,Cubic meters,0,,132563.000,Cubic meters,152077.000,Cubic meters,0,,85623.000,Cubic meters,875078.000,Cubic meters
124,Canada,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1719351.000,Tons,123221.000,Cubic meters,447464.000,Cubic meters,632086.000,Cubic meters,954375.000,Cubic meters,905898.000,Cubic meters,1555075.000,Cubic meters,216071.000,Cubic meters,230436.000,Cubic meters,102020.000,Cubic meters,0,,529363.000,Cubic meters
124,Canada,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,73337.000,Tons,251430.000,Cubic meters,228786.000,Cubic meters,247183.000,Cubic meters,741907.000,Cubic meters,316618.000,Cubic meters,362087.000,Cubic meters,1433520.000,Cubic meters,1350318.000,Cubic meters,638245.000,Cubic meters,203350.000,Cubic meters,512001.000,Cubic meters
