reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
251,France,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",90924.000,Tons,91090.000,Tons,39.000,Tons,20374.000,Tons,2675.000,Tons,190.000,Tons,65.000,Tons,1689.000,Tons,164774.523,Tons,467914.000,Tons,427246.000,Tons,67524.000,Tons,5405.302,Tons,40473.000,Tons,2825.000,Tons,70595.000,Tons,3869.000,Tons,70936.000,Tons,85579.000,Tons,2054697.000,Tons,2621843.000,Tons,2957023.000,Tons,2606580.000,Tons,3129496.000,Tons
251,France,757,Switzerland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,24.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,1976248.000,Tons,2617961.000,Tons,2894169.000,Tons,2582147.000,Tons,3126877.000,Tons
251,France,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1.000,Tons,0,,0,,1.000,Tons,0,,0,,0,,0,,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,67430.000,Tons,0.000,Tons,1.000,Tons,0.000,Tons,2.000,Tons,0.000,Tons,25069.000,Tons,12418.000,Tons,0.000,Tons
251,France,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3.000,Tons,0,,0,,0,,0,,0,,1.000,Tons,63.000,Tons,39.000,Tons,60.000,Tons,57.000,Tons,14604.000,Tons,0.000,Tons,3.000,Tons,3.000,Tons,0,,0,,0,,0,,0.000,Tons,5.000,Tons,34172.000,Tons,9297.000,Tons,0,
251,France,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",10000.000,Tons,10597.000,Tons,4.000,Tons,0.000,Tons,2.000,Tons,3.000,Tons,1.000,Tons,8.000,Tons,79300.000,Tons,5827.000,Tons,221886.000,Tons,4234.000,Tons,4342.000,Tons,3736.000,Tons,2671.000,Tons,2595.000,Tons,3388.000,Tons,4001.000,Tons,3269.000,Tons,7361.000,Tons,3672.000,Tons,3494.000,Tons,2631.000,Tons,2552.000,Tons
251,France,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",80.000,Tons,65.000,Tons,0,,84.000,Tons,0,,70.000,Tons,32.000,Tons,247.000,Tons,198.000,Tons,128.000,Tons,83.000,Tons,70.000,Tons,1061.302,Tons,72.000,Tons,72.000,Tons,69.000,Tons,36.000,Tons,48.000,Tons,37.000,Tons,71.000,Tons,73.000,Tons,76.000,Tons,81.000,Tons,64.000,Tons
251,France,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,20.000,Tons,2.000,Tons,2.000,Tons,2616.000,Tons,2.000,Tons,1.000,Tons,918.000,Tons,3419.523,Tons,142450.000,Tons,40124.000,Tons,2.000,Tons,2.000,Tons,2.000,Tons,15.000,Tons,3.000,Tons,4.000,Tons,2.000,Tons,82052.000,Tons,2546.000,Tons,2.000,Tons,9.000,Tons,4.000,Tons,1.000,Tons
251,France,348,Hungary,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.000,Tons,0,
251,France,012,Algeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,5.000,Tons,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,33.000,Tons,0,,0.000,Tons,0,,0,,0.000,Tons,0,,0,,17.000,Tons,0,,0.000,Tons,0,,0,,0,
251,France,024,Angola,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,10.000,Tons,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0.000,Tons,0,,0,,0.000,Tons,0,
251,France,031,Azerbaijan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,
251,France,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,7.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,070,Bosnia and Herzegovina,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3.000,Tons,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0.000,Tons,0,,0.000,Tons,0.000,Tons
251,France,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5.000,Tons,0,,0,,0,
251,France,120,Cameroon,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,1.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
