reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
381,Italy,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",138032,166994,177342,370733,406944,704299,811263,224994,220741,550025,724031,453910,382435,309078,227964,364296,325200,44185,246781,464643,487400,721965,617964,579404
381,Italy,792,Türkiye,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",82251,79319,33861,0,12862,183103,320488,68687,65215,91241,204227,201475,129848,115148,8019,49142,38046,0,0,64696,33939,284812,268871,263681
381,Italy,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",8915,7378,15193,71170,16140,28493,64856,17861,30751,29614,29494,49429,26329,35687,41667,51178,22709,30303,148557,298325,318390,262483,233945,197158
381,Italy,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",11662,10600,18303,20490,28912,35849,63488,15425,23217,198651,223510,115954,141516,66782,50402,122408,53361,9346,27228,20670,46888,73222,36875,20707
381,Italy,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",35203,33149,62281,158707,179811,196058,81722,0,41,92776,66716,1,63581,36581,74578,81232,78418,989,18369,34107,43497,23785,33416,29
381,Italy,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,21985,64,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,17186,74154
381,Italy,376,Israel,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,40385,0,0,0,0,0,0,3707,0,0,35592,15214,12020
381,Italy,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,6,0,0,0,3,0,0,0,0,0,0,31295,20352,10630,14054,0,0,0,0,0,10862,115
381,Italy,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,16145,95905,66859,140496,20379,52187,14691,120928,190090,46541,20800,0,9307,10415,98629,0,25655,22881,27718,0,1529,0
381,Italy,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
