reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
724,Spain,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1,0,8,9,15,16,16,53,6,28,67,51,1576364,769681,323474,674153,768241,664463,353055,612343,570696,1493815,1884604,187426
724,Spain,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,31,5,744725,533824,163517,291104,311950,259885,147498,248379,415660,1125973,1214432,87701
724,Spain,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,480453,141390,91292,212889,294387,259466,95672,253901,121745,229246,410369,61518
724,Spain,705,Slovenia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,129895,26086,14260,23012,22505,20551,13218,42550,0,25940,75433,0
724,Spain,620,Portugal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,9,2,2,5,3,2,7,7,7,86316,41576,52759,124675,104078,48942,25100,58931,8428,27320,60738,17095
724,Spain,470,Malta,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,18115,0,9227,13712,0,13089,5712,0,0,56416,0
724,Spain,191,Croatia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,38753,20969
724,Spain,372,Ireland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13168,0,0,0,0,0,29296,28370,0
724,Spain,634,Qatar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,10,44,29,22
724,Spain,170,Colombia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,1,5,29,7,10,11,11,14,12,22,14,21,20,4
724,Spain,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,2,11,4
724,Spain,192,Cuba,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1,0,0,0,0,0,0,0,0,0,0,0,149,43,0,0,5,54,0,6,8,50,8,0
