reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
410,"Korea, Republic of",000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",91257,2825,134787,15960,95332,258743,227311,835646,190432,871308,817572,530846,405869,401884,311909,353677,285979,455010,285958,103394,218140,2715879,1144259,200362
410,"Korea, Republic of",699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,73652,0,62783,531806,104843,70168,74675,0,0,110255,100403,132994,0,0,0,44396,198429,2715463,1144006,200153
410,"Korea, Republic of",320,Guatemala,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,58,82,47,100,135,170,319,8,118,280,112,220,353,434,414,252,209
410,"Korea, Republic of",528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,1,0
410,"Korea, Republic of",036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,25396,0,0,0,0,0,0,9376,19277,0,0,0
410,"Korea, Republic of",040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,12752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,"Korea, Republic of",096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13424,0,0,0,0,
410,"Korea, Republic of",104,Myanmar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,,,,,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,
410,"Korea, Republic of",120,Cameroon,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
410,"Korea, Republic of",144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,32,0,0,0,0,
410,"Korea, Republic of",156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,5135,0,0,165292,0,0,0,0,0,0,0,152027,0,0,0,0,46064,0,0,0,0,0
410,"Korea, Republic of",188,Costa Rica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
