reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
643,Russian Federation,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,Mixed,,Mixed,214816475.000,Tons,198769344.000,Tons
643,Russian Federation,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",86248075.000,Tons,107035825.000,Tons,108478985.000,Tons,100855331.000,Tons
643,Russian Federation,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",37020204.000,Tons,81814008.000,Tons,89719423.000,Tons,85044840.000,Tons
643,Russian Federation,703,Slovakia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5194936.000,Tons,4574412.000,Tons,4246803.000,Tons,5110849.000,Tons
643,Russian Federation,348,Hungary,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4957773.000,Tons,4728310.000,Tons,4816720.000,Tons,4280875.000,Tons
643,Russian Federation,031,Azerbaijan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",199603.000,Tons,1303999.000,Tons,1672839.000,Tons,1527421.000,Tons
643,Russian Federation,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",285279.000,Tons,289935.000,Tons,1219420.000,Tons,952300.000,Tons
643,Russian Federation,203,Czech Republic,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4161550.000,Tons,4223352.000,Tons,2715880.000,Tons,526941.000,Tons
643,Russian Federation,268,Georgia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",695.000,Tons,6897.000,Tons,10534.000,Tons,225284.000,Tons
643,Russian Federation,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,307672.000,Tons,106302.000,Tons,170385.000,Tons
643,Russian Federation,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1924943.000,Tons,92289.000,Tons,0,,75001.000,Tons
643,Russian Federation,398,Kazakhstan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",632.000,Tons,488777.000,Tons,0,,117.000,Tons
643,Russian Federation,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",376427.000,Cubic meters,0,,0,,0,
643,Russian Federation,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",123258.000,Tons,9257.000,Tons,0,,0,
643,Russian Federation,051,Armenia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,422.000,Tons,0,
643,Russian Federation,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5695.000,Tons,0,,0,,0,
643,Russian Federation,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",6038998.000,Tons,5540062.000,Tons,0,,0,
643,Russian Federation,144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",379516.000,Tons,159384.000,Tons,0,,0,
643,Russian Federation,208,Denmark,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",72873.000,Tons,0,,0,,0,
643,Russian Federation,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1660217.000,Tons,0,,0,,0,
643,Russian Federation,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2495936.000,Tons,0,,0,,0,
643,Russian Federation,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",22801925.000,Tons,115395.000,Tons,21245.000,Tons,0,
643,Russian Federation,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",427992.000,Tons,0,,0,,0,
643,Russian Federation,372,Ireland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0.000,No quantity,0,,0,
643,Russian Federation,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",9602980.000,Tons,0,,0,,0,
643,Russian Federation,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3145312.000,Tons,0,,0,,0,
643,Russian Federation,417,Kyrgyzstan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2700.000,Tons,6797.000,Tons,0,,0,
643,Russian Federation,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1099627.000,Tons,0,,0,,0,
643,Russian Federation,454,Malawi,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0.000,Tons,0,,0,
643,Russian Federation,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",290732.000,Tons,0,,93422.000,Tons,0,
643,Russian Federation,496,Mongolia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,7286.000,Tons,10509.000,Tons,0,
643,Russian Federation,512,Oman,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,107748.000,Tons,0,,0,
643,Russian Federation,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",16085810.000,Tons,830721.000,Tons,1163950.000,Tons,0,
643,Russian Federation,586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,109330.000,Tons,0,,0,
