reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
024,Angola,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",36278486.091,Tons,36579972.000,Tons,40448261.000,Tons,54855733.000,Tons,67274663.000,Tons,75948752.000,Tons,91312502.000,Tons,85021473.000,Tons,89255926.000,Tons,79833334.000,Tons,84443419.000,Tons,,Mixed,81218044.000,Tons,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed,,Mixed
024,Angola,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",5705063.000,Tons,10102597.000,Tons,16207542.000,Tons,17462159.000,Tons,23452010.000,Tons,24996495.000,Tons,29894398.000,Tons,32173244.000,Tons,39381269.000,Tons,31148838.000,Tons,40151984.000,Tons,40009855.000,Tons,40647654.000,Tons,38705959.000,Tons,43739481.000,Tons,50423862.000,Tons,47387584.000,Tons,47341947.000,Tons,41772382.000,Tons,39154905.000,Tons,30087909.000,Tons,30029579.000,Tons,28722401.000,Tons,29760881.000,Tons
024,Angola,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,407948.000,Tons,1697084.000,Tons,2006944.000,Tons,7237675.000,Tons,8376839.000,Tons,7628673.000,Tons,9662379.000,Tons,8527028.000,Tons,7243899.000,Tons,7622966.000,Tons,5388187.000,Tons,7780439.000,Tons,6472928.000,Tons,5779499.000,Tons,4017852.000,Tons,3123981.000,Tons,4341309.000,Tons,3917082.000,Tons,5787916.000,Tons,6110889.000,Tons
024,Angola,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,383029.000,Tons,1133890.000,Tons,0,,0,,0,,0,,0,,0,,124822.000,Tons,600935.000,Tons,254908.000,Tons,254622.000,Tons,1565992.000,Tons,673817.000,Tons,915809.000,Tons,1247057.000,Tons,129737.000,Tons,0,,901657.000,Tons,1088413.000,Tons,1802540.000,Tons,2946861.000,Tons,3735458.000,Tons
024,Angola,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",17390337.000,Tons,19519330.000,Tons,15990768.000,Tons,22084514.000,Tons,24842054.000,Tons,25023236.000,Tons,25228605.000,Tons,22235633.000,Tons,20064817.000,Tons,16004339.000,Tons,11228087.000,Tons,10190326.000,Tons,6420018.000,Tons,7323517.000,Cubic meters,9394107.000,Cubic meters,7250415.000,Cubic meters,5300761.000,Cubic meters,1768569.000,Cubic meters,1698508.000,Cubic meters,2213644.000,Cubic meters,2205880.000,Cubic meters,1915952.000,Cubic meters,3237822.000,Cubic meters,1619602.000,Cubic meters
024,Angola,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",65222.091,Tons,0,,866195.000,Tons,676482.000,Tons,759153.000,Tons,3053617.000,Tons,3598443.000,Tons,3816774.000,Tons,3408528.000,Tons,1947947.000,Tons,3356389.000,Tons,2443933.000,Tons,2611564.000,Tons,3347821.000,Tons,4002152.000,Tons,3420127.000,Tons,2352291.000,Tons,1153351.000,Tons,129481.000,Tons,662027.000,Tons,668134.000,Tons,514115.000,Tons,1264183.000,Tons,1538519.000,Tons
024,Angola,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1674304.000,Tons,130880.000,Tons,656205.000,Tons,1682160.000,Tons,948194.000,Tons,1323900.000,Tons,2719284.000,Tons,1900243.000,Tons,1052746.000,Tons,726670.000,Tons,1784578.000,Tons,3730059.000,Tons,5135544.000,Tons,5931933.000,Tons,2983132.000,Tons,2532682.000,Tons,2684947.000,Tons,2150401.000,Tons,1618437.000,Tons,679048.000,Tons,2178530.000,Tons,4169540.000,Tons,3786470.000,Tons,1421713.000,Tons
024,Angola,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3552617.000,Tons,3026555.000,Tons,2692364.000,Tons,4436147.000,Tons,3055027.000,Tons,4618653.000,Tons,5523632.000,Tons,7663727.000,Tons,3676163.000,Tons,2193904.000,Tons,1386692.000,Tons,1580743.000,Tons,3025223.000,Tons,4175024.000,Tons,3372232.000,Tons,768853.000,Tons,1123634.000,Tons,898959.000,Tons,1348316.000,Tons,403588.000,Tons,2881313.000,Tons,2170868.000,Tons,2718980.000,Tons,1308017.000,Tons
024,Angola,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",182701.000,Tons,42008.000,Tons,0,,161836.000,Tons,154173.000,Tons,0,,2633777.000,Tons,875076.000,Tons,1057568.000,Tons,1169509.000,Tons,928149.000,Tons,1735473.000,Tons,1661051.000,Tons,0,,546335.000,Tons,0,,47716.000,Tons,122902.000,Tons,907267.000,Tons,288104.000,Tons,2318260.000,Tons,2845185.000,Tons,1093030.000,Tons,1184893.000,Tons
024,Angola,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,927221.000,Tons,1663691.000,Tons,2558469.000,Tons,263364.000,Tons,662249.000,Tons,390287.000,Tons,0,,761873.000,Tons,1301674.000,Tons,0,,0,,0,,0,,0,,34325.000,Tons,0,,747495.000,Tons,1059179.000,Tons,1657053.000,Tons,791221.000,Tons
