reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
076,Brazil,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1691371,2121932,2527656,4164752,6894528,8905066,13682759,9351031,16293417,21603316,20289442,12956638,16356786,11781324,10073805,16625024,25130987,24002334,19613858,30608982,42688099,42611149,44964285,44669335
076,Brazil,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,22266,210130,541630,835846,839897,1702458,1338299,4053449,4883734,4834737,4034516,3472943,4138635,3908156,7351046,14334414,15395141,11345919,14252235,16784036,19776698,19964084,20088153
076,Brazil,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",186305,348191,358408,691464,1958332,3138674,4351081,2385616,3849581,5780232,5561219,3481274,3407144,1923922,1120848,2648443,3076150,3191908,1359496,3079456,5049604,4683969,5830984,4728952
076,Brazil,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",10348,46530,32891,0,39980,81786,278487,260546,371797,454675,432267,535409,328904,396983,411084,959338,2029113,791020,1044396,1086987,3548054,3188476,4817080,3244339
076,Brazil,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",186196,102418,52649,230312,129859,605036,539373,290969,781903,538178,796843,681629,344277,179696,194986,135024,0,404309,550727,1212252,2150615,3535715,3176708,3199423
076,Brazil,620,Portugal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",115319,146295,235634,356694,628187,644009,682736,439105,496298,1139167,823100,179666,423473,206583,78577,359518,356357,264445,911467,1632825,2512285,2136486,2279617,2001159
076,Brazil,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",333434,255219,0,52102,199609,0,12956,872717,1254966,1702541,3431956,1586755,2335201,1103342,671429,1498101,1138950,967568,1224302,2243934,1847667,625113,1214471,1941219
076,Brazil,152,Chile,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",79171,210096,329568,510005,1143299,1392966,1497274,518601,1103023,2184164,1071568,1119708,2124350,1120995,1088695,1507701,2057618,1190402,637122,1963716,3151844,3107832,1920224,1855907
076,Brazil,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,126852,113667,146705,241620,116093,0,22409,0,0,0,0,0,0,0,0,0,58947,597295,1462092,1718302,1066190,1133894,1783866
076,Brazil,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,174939,0,0,63593,54928,255091,586000,1010466,1432853,1165750,1597363,1242163
