reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
251,France,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",13298,19464,14,4780,2463,990,477,6027,101338,411049,368722,57492,3831,18505,1498,23342,2435,39326,40789,17711,3891,42877,16100,2361
251,France,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1,0,0,1,0,0,0,0,0,0,0,5,2,2,0,21253,0,2,7,2,5,16185,7099,1
251,France,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1,0,0,0,0,0,1,36,129,204,242,10633,0,2,1,0,0,0,0,0,6,23424,6294,0
251,France,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1957,2055,1,0,0,1,1,17,53394,4843,194876,3308,3072,1355,788,985,1703,1798,933,3806,2660,2053,1515,1257
251,France,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",277,267,0,379,0,816,397,2310,1491,1220,728,788,752,674,679,917,583,798,827,1233,1148,1121,1170,1077
251,France,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,31,0,0,2416,1,1,2290,2103,124462,32524,2,1,1,5,1,2,1,38900,1413,1,7,10,6
251,France,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
251,France,579,Norway,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,1,0,3,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,3,1
251,France,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",11003,16987,0,4298,0,0,0,0,0,276454,95258,42752,0,16451,0,28,14,36716,0,11235,2,1,3,3
251,France,348,Hungary,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
